Id	Order	Text
1	1	Drag the army unit to attack the enemy.
2	2	Defeat the enemy to unlock the stage.
3	3	Tap the stage entrance to progress.
4	4	Tap the stage entrance to progress.
5	5	Tap the stage entrance to progress.
6	6	Tap the stage entrance to progress.
7	7	Drag the army to attack enemies across the bridge.
8	8	Defeat the enemy to unlock the stage.
9	9	Defeat the enemy to unlock the stage.
10	10	Defeat the enemy to unlock the stage.
11	11	Tap the stage entrance to progress.
12	12	Defeat the enemy to unlock the stage.
13	13	Defeat the enemy to unlock the stage.
14	14	Tap the stage entrance to progress.
15	15	Tap the stage entrance to progress.
16	16	Defeat the enemy to unlock the stage.
17	17	Tap the stage entrance to progress.
18	18	Defeat all enemies to unlock the stage.
19	19	Defeat all enemies to unlock the stage.
20	20	Defeat all enemies to unlock the stage.
21	21	Defeat all enemies to unlock the stage.
22	22	Tap the stage entrance to progress.
23	23	Tap the stage entrance to progress.
24	24	Tap the stage entrance to progress.
25	25	Tap the stage entrance to progress.
26	26	The battle is at a standstill. Prioritize low-defense enemies.
27	27	The battle is at a standstill. Prioritize low-defense enemies.
28	28	Tap the stage entrance to progress.
29	29	Tap the stage entrance to progress.
30	30	Defeating low-defense enemies grants this army major bonuses.
31	31	Defeat all enemies to unlock the stage.
32	32	Defeat all enemies to unlock the stage.
33	33	Defeat all enemies to unlock the stage.
34	34	Defeat all enemies to unlock the stage.
35	35	Defeat all enemies to unlock the stage.
36	36	Defeat all enemies to unlock the stage.
37	37	Defeat all enemies to unlock the stage.
38	38	Defeat all enemies to unlock the stage.
39	39	Defeat all enemies to unlock the stage.
40	40	Defeat all enemies to unlock the stage.
41	41	Defeat all enemies to unlock the stage.
42	42	Defeat all enemies to unlock the stage.
43	43	Defeat all enemies to unlock the stage.
44	44	Tap the stage entrance to progress.
45	45	Tap the stage entrance to progress.
46	46	Tap the stage entrance to progress.
47	47	Tap the stage entrance to progress.
