Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory1388.jpg'}
2	2		104							{1: '0|0|-200', 2: '0'}
3	3		401							{1: '2', 2: '4231'}
4	4		401			AniZhuanchangEnd				{1: '1', 2: '6226'}
5	5		301			DialogEnable				{3: 'The car glides through the streets, taking Bianca and you toward your destination. Beyond the windows, the night is a brilliant tapestry of city lights.'}
6	6		301				DialogDisable			{3: 'In less than an hour, the press conference for your new play begins, as well as the moment you will present Bianca to the world as your leading lady.'}
7	7		104						200.0	{1: '0|0|0', 2: '2'}
8	8		205							{1: '999', 2: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront46.png', 3: '0', 4: '1', 5: '1'}
9	9		104							{1: '0|0|-200', 2: '0', 4: '3'}
10	10		104						1200.0	{1: '0|0|0', 2: '1.8', 4: '3'}
11	11		402							{1: '4231'}
12	12		301			DialogEnable				"{3: ""The car's interior is hushed. Beside you, Bianca is a quiet silhouette, her attention captured by the night view. When she senses your gaze, she turns from the window and offers a gentle, knowing smile.""}"
13	13		211							{1: '1', 2: '1021058', 3: '1', 7: '1'}
14	14		301							{1: '1', 2: 'Bianca', 3: 'You seem preoccupied. Is there something you wish to discuss?', 4: '101', 18: '100014592', 19: '1', 21: 'v420bianka'}
15	15		302							"{2: ""I hope having you accompany me isn't taking too much from your rehearsal time."", 3: '16'}"
16	16		214							{1: '1', 2: '9'}
17	17		301							{2: 'Bianca', 3: 'It is always my pleasure to honor your requests. And to be here at your side is its own reward.', 4: '101', 18: '100014593', 19: '1', 21: 'v420bianka'}
18	18		214							{1: '1', 2: '2'}
19	19		301							"{3: ""Bianca's warm smile lingers for a moment before fading, replaced by an inquisitive look as a question surfaces in her mind.""}"
20	20		301							"{2: 'Bianca', 3: 'You have entrusted me with the lead, yet the role of ""Gray Raven"" remains uncast.', 4: '101', 18: '100014594', 19: '1', 21: 'v420bianka'}"
21	21		214							{1: '1', 2: '1'}
22	22		301							{2: 'Bianca', 3: 'While I confess my own hopes for the part, I would be most interested to hear your thoughts.', 4: '101', 18: '100014595', 19: '1', 21: 'v420bianka'}
23	23		301				DialogDisable			{3: 'The pivotal question comes, just as you expected. A spark of mischief prompts you to sidestep the answer.'}
24	24		302							"{2: ""I think I'll keep that particular answer to myself, for the moment."", 3: '25'}"
25	25		401							{1: '2', 2: '1543'}
26	26		213						550.0	{1: '1', 2: '0.5', 5: '-50'}
27	27		301			DialogEnable				"{3: ""It seems she sees the playful deception in your eyes, and a knowing look passes between you. She doesn't expose it. Instead, her response is a gentle pressure as her hand slips into yours, a wordless agreement to play along.""}"
28	28		214							{1: '1', 2: '9'}
29	29		301				AniZhuanchangBegin			{2: 'Bianca', 3: 'Then I shall wait with patience, though I do hope your revelation will not be too long in coming.', 4: '101', 18: '100014596', 19: '1', 21: 'v420bianka'}
30	30		212							{1: '1'}
31	31		205							{1: '999'}
32	32		306							{1: '1'}
33	33		401						2000.0	{1: '1', 2: '36'}
34	34		401							{1: '1', 2: '381'}
35	35		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory1019.jpg'}
36	36		401							{1: '2', 2: '6453'}
37	37		401							{1: '2', 2: '212'}
38	38		201							{1: '2', 2: '500137', 4: '-700', 7: '1'}
39	39		201							{1: '3', 2: '501024', 4: '-250', 7: '1'}
40	40		201							{1: '4', 2: '500863', 4: '300', 7: '1'}
41	41		201							{1: '5', 2: '500969', 4: '650', 7: '1'}
42	42		401							{1: '2', 2: '4930'}
43	43		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
44	44		301			AniZhuanchangEnd				{1: '1', 3: 'The press conference venue is a sea of bodies, a wall of expectant faces turning you and Bianca into the unmissable center of attention.'}
45	45		301							{3: 'Camera flashes detonate like silent strobe lights, painting the stage in bursts of white as reporters jostle and shift for the perfect shot.'}
46	46		211							{1: '1', 2: '1021062', 7: '1'}
47	47		301							{1: '1', 3: 'From the crowd, a single reporter is the first to break the surface, her hand shooting up as she leans forward to pose her question.'}
48	48		306							
49	49		402							{1: '6453'}
50	50		301							{2: 'Reporter', 3: 'Given that your new play is a romance, can you tell us who will be playing the love interest opposite Ms. Bianca?', 4: '101', 18: '100014597', 19: '1', 21: 'v420bianka'}
51	51		301							"{2: 'Reporter', 3: 'As your audience knows, you\'ve always written under the pen name ""Gray Raven"", a name that\'s also become the beloved protagonist in your work, embodying all those admirable qualities.', 4: '101', 18: '100014598', 19: '1', 21: 'v420bianka'}"
52	52		301							"{2: 'Reporter', 3: 'But until now, ""Gray Raven"" has always been a virtual figure in various adaptations. This is the first live stage production, which means we\'ll finally see a physical incarnation.', 4: '101', 18: '100014599', 19: '1', 21: 'v420bianka'}"
53	53		301							"{2: 'Reporter', 3: 'So, my question is, who will have the honor of bringing ""Gray Raven"" to life?', 4: '101', 18: '100014600', 19: '1', 21: 'v420bianka'}"
54	54		402							{1: '212'}
55	55		301							"{3: ""The reporter's question strikes, plunging the entire venue into a vacuum of silence. She has seized the perfect moment to voice the million-dollar question—the one secret everyone is dying to learn.""}"
56	56		401							{1: '2', 2: '6453'}
57	57		401							{1: '2', 2: '4930'}
58	58		501						150.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
59	59		401							{1: '2', 2: '4930'}
60	60		501						100.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
61	61		401							{1: '2', 2: '4930'}
62	62		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
63	63		301							"{3: ""As if on cue, the camera flashes intensify into a relentless storm, and the weight of the room's attention becomes a palpable pressure.""}"
64	64		306							{1: '1'}
65	65		402							{1: '6453'}
66	66		202							{1: '2', 2: '3', 3: '4', 4: '5', 6: '1'}
67	67		212							{1: '1', 6: '1'}
68	68		211							{1: '1', 2: '1021058', 7: '1'}
69	69		301				DialogDisable			{1: '1', 3: 'In the breathless tension, Bianca turns to you. Her eyes are not just expectant; they are boundless, pleading.'}
70	70		306							
71	71		304							"{1: '<i><size=50>""Please, tell me the answer.""</size></i>', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront43.png', 7: '-4', 9: '1', 10: '1'}"
72	72		301			DialogEnable				{3: 'Her gaze repeats the unanswered question from the car, making this moment solely about the two of you.'}
73	73		301				DialogDisable			{3: 'Ignoring the sea of reporters, you offer a quiet smile to her hopeful face. Looking directly into her eyes, you give your answer.'}
74	74		304							"{1: '<i><size=50>I am ""Gray Raven"".</size></i>', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront43.png', 7: '-4', 10: '1'}"
75	75		304							{1: '<i><size=50>I will be portraying the character myself.</size></i>', 2: 'ffffffff', 4: 'Assets/Product/Texture/Image/BgStoryFront/BgStoryFront43.png', 7: '-1', 9: '1', 10: '1'}
76	76		214							{1: '1', 2: '9'}
77	77		301			DialogEnable				"{3: ""The moment your answer lands, a knowing smile blossoms on Bianca's face, a silent testament to the deep understanding you share.""}"
78	78		214							{1: '1', 2: '4'}
79	79		301							"{2: 'Bianca', 3: '""In the radiance of your enduring light, I have found a warmth that never fades from my side.""', 4: '101', 18: '100014601', 19: '1', 21: 'v420bianka'}"
80	80		301							"{2: 'Bianca', 3: '""And I, a lily long held in winter\'s grasp, unfold at last in splendor beneath your gentle care.""', 4: '101', 18: '100014602', 19: '1', 21: 'v420bianka'}"
81	81		214							{1: '1', 2: '9'}
82	82		301				DialogDisable			{3: 'Those are verses from your own pen, but hearing them shaped by her voice strikes a chord deep within you—especially knowing the sentiment in your heart is perfectly mirrored in hers.'}
83	83		401							{1: '2', 2: '981'}
84	84		501						600.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiMovie/FxUiMovieLianyi.prefab', 2: '1'}
85	85		205						550.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory0.png', 3: '0', 4: '1', 5: '0.5'}
86	86		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
87	87		205							{1: '999'}
88	88		301			DialogEnable	AniZhuanchangBegin			{3: 'The noise of the crowd blurs into a distant hum as ripples of feeling spread through your chest, leaving only the universe of this shared moment.'}
89	89		502						300.0	{1: 'DialogDisable'}
90	90		101			AniZhuanchangEnd			250.0	{1: 'Assets/Product/Texture/Image/BgStory/BgStory1019.jpg'}
91	91		302							"{2: '""Here I remain, within this garden of lilies, with no desire to ever depart.""', 3: '92'}"
92	92		302							"{2: '""For a thousand blossoms turn their faces, each and every one, solely for her.""', 3: '93'}"
93	93		301			DialogEnable				{3: 'You answer with the second half of the verse. Your eyes meet, and in that silent understanding, your hands find one another, clasping tight as a shared smile blossoms.'}
94	94		401							{1: '2', 2: '6453'}
95	95		401							{1: '2', 2: '4930'}
96	96		501						100.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
97	97		401							{1: '2', 2: '4930'}
98	98		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
99	99		301				AniZhuanchangBegin			{3: 'The barrage of camera flashes does not intrude; it merely etches this timeless scene into eternity.'}
100	100		402							{1: '6453'}
101	101		212							{2: '1', 6: '1'}
102	102		401						2000.0	{1: '1', 2: '36'}
103	103		401							{1: '1', 2: '6179'}
104	104		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory121.png'}
105	105		401							{1: '2', 2: '5840'}
106	106		201							{1: '3', 2: '500137', 4: '-700', 7: '1'}
107	107		201							{1: '15', 2: '501024', 4: '-250', 7: '1'}
108	108		201							{1: '16', 2: '500863', 4: '250', 7: '1'}
109	109		201							{1: '4', 2: '500969', 4: '650', 7: '1'}
110	110		301			AniZhuanchangEnd				{1: '1', 3: 'The night has grown late, yet the press conference venue remains packed, the dinner and dance sustaining a vibrant, festive atmosphere.'}
111	111		301							"{3: ""The reporters, who hours ago were jockeying for position, have now relaxed into the evening's merriment.""}"
112	112		301							{3: 'You carry yourself with the poise of the guest of honor, gracefully meeting every expectation. After several elegant dances, however, you realize your partner, Bianca, has vanished.'}
113	113		203							{1: '3', 2: '0.4', 3: '-800'}
114	114		203							{1: '15', 2: '0.4', 3: '-350'}
115	115		203							{1: '16', 2: '0.4', 3: '400'}
116	116		203						350.0	{1: '4', 2: '0.4', 3: '800'}
117	117		211							{1: '2', 2: '1021058', 7: '1'}
118	118		301							{1: '1', 3: 'Your gaze cuts through the bustling crowd, scanning back and forth until you find that graceful figure. She stands in the farthest corner of the ballroom, her eyes meeting yours across the sea of people.'}
119	119		212							{1: '2', 6: '1'}
120	120		202							{1: '15', 2: '16', 6: '1'}
121	121		201							{1: '2', 2: '501024', 4: '-350', 7: '1'}
122	122		201							{1: '5', 2: '500863', 4: '400', 7: '1'}
123	123		211							{1: '1', 2: '1021062', 3: '1', 7: '1'}
124	124		301							{1: '1', 3: 'She offers a gentle smile but makes no move to approach. The instant you step toward her, a swarm of reporters surrounds you, pulling you back into the spotlight.'}
125	125		402							{1: '5840'}
126	126		213							{1: '1', 2: '0.4', 5: '-50'}
127	127		301							{2: 'Reporter', 3: 'Maestro Gray Raven, could I trouble you for an autograph?', 4: '101', 18: '100014603', 19: '1', 21: 'v420bianka'}
128	128		301							"{2: 'Reporter', 3: ""May I get a photo with just you? It's been my dream forever!"", 4: '101', 18: '100014604', 19: '1', 21: 'v420bianka'}"
129	129		203							{1: '3', 2: '0.4', 3: '-750', 5: '-50'}
130	130		203						100.0	{1: '2', 2: '0.4', 3: '-300', 5: '-50'}
131	131		203						150.0	{1: '5', 2: '0.4', 3: '350', 5: '-50'}
