Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
2	2		501				AniZhuanchangEnd			{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiFogNew.prefab', 2: '1'}
3	3		401							{1: '1', 2: '12'}
4	4		201							{1: '1', 2: '501450', 3: '8'}
5	5		301			DialogEnable	DialogDisable			{1: '1', 3: 'Rosetta drifts in and out of uneasy sleep, the endless darkness of the polar night washing over her dreams again and again.'}
6	6		205						500.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory1039.png', 3: '0', 4: '1', 5: '0.4'}
7	7		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory1039.png'}
8	8		205							{1: '999'}
9	9		301			DialogEnable	DialogDisable			{3: 'Night follows night, darkness follows darkness. Her dream becomes a chamber of thick mercury, trapping whatever clarity or reason she has left.'}
10	10		204							{1: '1', 2: '3'}
11	11		205						500.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory970.jpg', 3: '0', 4: '1', 5: '0.4'}
12	12		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory970.jpg'}
13	13		205							{1: '999'}
14	14		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiFogNew.prefab'}
15	15		111							{1: '1', 2: 'Assets/Product/Effect/Prefab/FxUiFight/FxUiMohuTest.prefab'}
16	16		301			DialogEnable	DialogDisable			"{3: ""Between dreams, she is somehow awake. Her consciousness doesn't move in a straight line—it drifts like scattered fragments on that ocean of mercury. Sometimes the world forms blurry shapes, sometimes it warps into things she can't even recognize.""}"
17	17		202							{2: '1', 6: '1'}
18	18		104						360.0	{1: '0|30|-50', 2: '0.3'}
19	19		104							{1: '0|0|-100', 2: '0.4'}
20	20		301			DialogEnable				"{3: ""She watches herself from impossible angles, until even the concept of language decays and collapses. There is no describing, no reasoning—words simply can't hold something that slips beyond them.""}"
21	21		401							{1: '2', 2: '4092'}
22	22		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
23	23		201							{1: '1', 2: '500967', 7: '1'}
24	24		301			PanelActor1Shake	DialogDisable			{1: '1', 2: '???', 3: 'Rosetta!', 4: '1', 18: '100015115'}
25	25		502						200.0	{1: 'RImgBg1Shake'}
26	26		401							{1: '2', 2: '2559'}
27	27		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
28	28		202							{1: '1', 6: '1'}
29	29		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory971.jpg'}
30	30		501						800.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiActivityBriefBase/FxUiActivityBriefGlassBroken.prefab', 2: '2'}
31	31		205						600.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory0.png', 3: '0', 4: '1', 5: '0.5'}
32	32		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
33	33		205							{1: '999'}
34	34		301			DialogEnable	AniZhuanchangBegin			{3: 'Her name—her anchor. The moment it echoes through her mind, all her scattered senses rebuild themselves around it. The dark, muddled dream collapses in on itself, and her consciousness tears through the thick membrane, pulling her back to you.'}
35	35		502							{1: 'DialogDisable'}
36	36		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiActivityBriefBase/FxUiActivityBriefGlassBroken.prefab'}
37	37		401						1000.0	{1: '1', 2: '36'}
38	38		101				AniZhuanchangEnd			{1: 'Assets/Product/Texture/Image/BgStory/BgStory1392.jpg'}
39	39		107							{1: 'New Murmansk'}
40	40		309	1						{2: 'New Murmansk'}
41	41		108						300.0	{1: '1'}
