Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory103.png'}
2	2		401							{1: '1', 2: '280'}
3	3		401							{1: '2', 2: '5165'}
4	4		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiFogNew.prefab', 2: '1'}
5	5		501							{1: 'Assets/Product/Ui/Prefab/UiEffect/UiMovie/FxUiMovieBgSnowfall.prefab', 2: '2'}
6	6		306			AniZhuanchangEnd				{1: '1'}
7	7		301			DialogEnable	DialogDisable			{3: 'You and Rosetta choose to use the blizzard as cover to break through the sealed enemy perimeter.'}
8	8		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiDuihualiziLoopWhite.prefab', 2: '1', 5: '11'}
9	9		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiDuihualiziLoopWhite.prefab', 2: '1', 5: '12'}
10	10		511							{1: '11', 2: '0', 3: '-1350|650|0'}
11	11		511							{1: '12', 2: '0', 3: '1350|650|0'}
12	12		401							{1: '2', 2: '2704'}
13	13		104						1200.0	{1: '15|0|-80', 2: '1', 4: '1'}
14	14		301			DialogEnable	DialogDisable			{3: 'The snowfields roar like something dying. Sky and ground churn together into a boiling vat of white, thick enough to choke on.'}
15	15		511							{1: '11', 2: '1', 3: '-1050|650|0'}
16	16		511							{1: '12', 2: '1', 3: '1050|650|0'}
17	17		401							{1: '2', 2: '2704'}
18	18		104						1200.0	{1: '-15|0|-160', 2: '1', 4: '1'}
19	19		301			DialogEnable	DialogDisable			{3: 'The light turns into a ghostly gray-white haze. Every direction blends into every other. The world shrinks into a spinning cage of snow, and beyond it, nothing exists.'}
20	20		511							{1: '11', 2: '1', 3: '-850|650|0'}
21	21		511							{1: '12', 2: '1', 3: '850|650|0'}
22	22		401							{1: '2', 2: '2704'}
23	23		104						1200.0	{1: '10|0|-260', 2: '1', 4: '1'}
