Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory627.jpg'}
2	2		401							{1: '1', 2: '119'}
3	3		301			DialogEnable				{3: 'No, something is wrong...'}
4	4		301							{3: 'The path she points to will lead the entire world toward its end...'}
5	5		301							{3: 'Amid the chaos in your mind, one thought rises with absolute clarity.'}
6	6		301				DialogDisable			{3: 'Like someone drowning, you cling to the only rope within reach and force yourself to rise against the current.'}
7	7		302							"{2: ""No, Nirvatia. I don't agree with your idea of an ideal world."", 3: '8'}"
8	8		302							{2: 'Justice built on a mountain of corpses is bound to collapse.', 3: '9'}
9	9		302							"{2: 'You\'re wrong. You never asked the people of this world if they\'d give up their lives for this ""noble"" cause.', 3: '10'}"
10	10		201							{1: '1', 2: '501282', 3: '14'}
11	11		301			DialogEnable				{1: '1', 2: 'Nirvatia', 3: '...Then tell me, Gray Raven, how do you plan to save this world?', 4: '1'}
12	12		301							"{3: ""There's no disappointment in her eyes, and no anger either. Only pity.""}"
13	13		204							{1: '1', 2: '8'}
14	14		301							"{2: 'Nirvatia', 3: ""I've seen countless tragedies that no mortal could prevent... Even you have died in some of them."", 4: '1'}"
15	15		204							{1: '1', 2: '14'}
16	16		301							"{2: 'Nirvatia', 3: ""Look at what's left of the Sanctuary. The so-called Cardinal Deity is nothing more than a machine that keeps the Supreme Heaven in power. He crossed the star gate and came all the way from another world to enslave the people of this planet."", 4: '1'}"
17	17		301							"{2: 'Nirvatia', 3: 'The rules of this world are designed to keep us fighting each other. And while we fight, he watches and picks a handful of lucky survivors to become ""Ascendants."" Then he sends them through the star gate, using them as pawns to expand his empire.', 4: '1'}"
18	18		204							{1: '1', 2: '4'}
19	19		301							"{2: 'Nirvatia', 3: ""I won't let anyone be turned into a puppet by Supreme Heaven. And I will never let this world be handed over to that parasite."", 4: '1'}"
20	20		204							{1: '1', 2: '8'}
21	21		301							{3: 'As she speaks, the Night Sovereign lowers her arm and places her hand over her chest.'}
