Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory1373.jpg'}
2	2		401							{1: '2', 2: '5959'}
3	3		401							{1: '2', 2: '569'}
4	4		401							{1: '1', 2: '6392'}
5	5		502							{1: 'RImgBg1Shake2Loop'}
6	6		104							{1: '0|200|-300', 2: '30'}
7	7		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiRainNew.prefab', 2: '1'}
8	8		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory821.png', 4: '4'}
9	9		301			DialogEnable				"{3: ""Night rain slices through Elysium's fog, pierces its hazy neon glow, and slips past the towering holographic advertisements. The raindrops spatter against car windows, etching diagonal streaks across the glass. It's been raining for days.""}"
10	10		301							"{3: ""The anti-grav car glides through this steel jungle, heading for the city's heart: the Elysium Central Building.""}"
11	11		301				AniZhuanchangBegin			{3: 'There, various government departments are stacked atop one another. The Crime Investigation Bureau—a division of the Department of Public Safety—occupies three of them: the 25th, 26th, and 27th floors.'}
12	12		104						600.0	{1: '0|0|0', 2: '0'}
13	13		101			DialogDisable				{1: 'Assets/Product/Texture/Image/BgStory/BgStory1364.jpg'}
14	14		502							{1: 'AniZhuanchangEnd'}
15	15		104						1000.0	{1: '80|0|-150', 2: '2'}
16	16		301			DialogEnable	DialogDisable			"{3: ""Bypassing the ground level entirely, the anti-grav car ascends directly to the Bureau's parking area on the 25th floor.""}"
17	17		402							{1: '569'}
18	18		401							{1: '2', 2: '5845'}
19	19		505							{1: 'RImgBg1Shake2Loop'}
20	20		502						800.0	{1: 'RImgBg1Shake2Disable'}
21	21		401							{1: '2', 2: '6366'}
22	22		402							{1: '5959'}
23	23		104							{1: '0|0|-150', 2: '0.3'}
24	24		401							{1: '2', 2: '5327'}
25	25		101						200.0	{1: 'Assets/Product/Texture/Image/BgStory/BgStory821.png', 4: '4', 5: '1'}
26	26		401							{1: '2', 2: '5159'}
27	27		301			DialogEnable				{3: 'Teddy, Moineau, and Moore step out into the rain-laced air.'}
28	28		402							{1: '5159'}
29	29		201							{1: '1', 2: '501419', 3: '14'}
30	30		301							{1: '1', 2: 'Moore', 3: 'Seriously, why is the bureau even in the Central Building?', 4: '1'}
31	31		301							"{2: 'Moore', 3: ""Public Safety has branches all over the city. We're investigators, and nearly every other floor here is admin. I stick out like a sore thumb every time we report in."", 4: '1'}"
32	32		204							{1: '1', 2: '14'}
33	33		301							{2: 'Moore', 3: 'If only our department had its own building.', 4: '1'}
34	34		301			DialogShake				"{2: 'Moore', 3: ""Where does this city's tax money even go? Straight into the sewers?"", 4: '1'}"
35	35		201							{1: '18', 2: '501420', 3: '2', 5: '-100'}
36	36		301							{1: '1', 2: 'Moineau', 3: 'Keep joking about taxes, and someone will make your life difficult.', 4: '18'}
37	37		202							{1: '18', 6: '1'}
38	38		204							{1: '1', 2: '1'}
39	39		301							"{2: 'Moore', 3: ""That's a basic social skill every adult should master."", 4: '1'}"
40	40		202							{1: '1'}
41	41		201							{1: '1', 2: '500864', 3: '13'}
42	42		301							"{1: '1', 2: 'Teddy', 3: ""Wanting a whole new building just for personal preference isn't a great use of taxes either."", 4: '1'}"
43	43		204							{1: '1'}
44	44		301							"{2: 'Teddy', 3: ""Alright, I'm going to review the data chip from the dock storage unit. The initial scan was rushed."", 4: '1'}"
45	45		301				DialogDisable			"{2: 'Teddy', 3: ""Christina wouldn't have collected that data without a reason. There has to be a lead in there."", 4: '1'}"
46	46		203						200.0	{1: '1', 2: '0.3', 3: '-400'}
47	47		201							{1: '2', 2: '501419', 4: '400'}
48	48		301			DialogEnable				"{1: '1', 2: 'Moore', 3: ""I need to file the field report. We recovered Jack's body, but there are too many unanswered questions."", 4: '2'}"
49	49		301							"{2: 'Moore', 3: ""I'll request that the Chief consolidate the cases. The sewers, the rioting machines..."", 4: '2'}"
50	50		204							{1: '2', 2: '4'}
51	51		301							"{2: 'Moore', 3: ""I'm getting to the bottom of this."", 4: '2'}"
52	52		204							{1: '2', 2: '1'}
53	53		301							{2: 'Moore', 3: 'Oh right, and I should call Elean first.', 4: '2'}
54	54		204							{1: '1'}
55	55		204							{1: '2'}
56	56		301							{3: 'Then, Teddy and Moore turn to look at Moineau.'}
57	57		201							{1: '18', 2: '501420', 3: '4', 5: '-100'}
58	58		301							"{1: '1', 2: 'Moineau', 3: ""...Can I just clock out? It's already the middle of the night."", 4: '18'}"
59	59		202							{1: '18', 6: '1'}
60	60		204							{1: '1', 2: '5'}
61	61		204							{1: '2', 2: '4'}
62	62		301							{3: 'They fix her with a pair of disapproving stares.'}
63	63		201							{1: '18', 2: '501420', 3: '8', 5: '-100'}
64	64		301							"{1: '1', 2: 'Moineau', 3: ""Fine, fine, you win. I'll look into Rokubishi Electric."", 4: '18'}"
65	65		202							{1: '18', 6: '1'}
66	66		204							{1: '1', 2: '1'}
67	67		204							{1: '2', 2: '1'}
68	68		301				AniZhuanchangBegin			{3: 'Their stern expressions soften into nods of approval.'}
69	69		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiRainNew.prefab'}
70	70		202							{1: '1', 2: '2', 6: '1'}
71	71		401						1000.0	{1: '1', 2: '36'}
72	72		401							{1: '1', 2: '6390'}
73	73		402							{1: '6366'}
74	74		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory1368.jpg'}
75	75		104							{1: '0|0|0', 2: '0'}
76	76		502							{1: 'DialogDisable'}
77	77		107			AniZhuanchangEnd				{1: 'Elysium Criminal Investigation Bureau Office', 2: 'Late Night'}
78	78		309	1						{2: 'Late night, Elysium Crime Investigation Bureau office.'}
79	79		108							{1: '1'}
80	80		306							{1: '1'}
81	81		401							{1: '2', 2: '6382'}
82	82		301			DialogEnable	DialogDisable			{3: 'The office lighting is dismal, but then, nowhere in Elysium has good lighting. A perpetual overcast smothers the city, blurring the line between day and night into a constant, twilight gloom. No wonder they call it the City of Night.'}
83	83		104							{1: '0|0|-150', 2: '0.5'}
84	84		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiTheatre3/FxUiTheatre3PlayMainScreenBlueEx.prefab', 2: '2'}
85	85		401							{1: '2', 2: '5546'}
86	86		301			DialogEnable				{3: 'In one corner, a solitary lamp fights a losing battle against the shadows. It is here that Teddy sits, her face illuminated by the pale blue glow of holographic screens floating from her terminal. She is currently scrolling through the data stored on that chip.'}
87	87		306							
88	88		201							{1: '1', 2: '500864', 6: '-100'}
89	89		301							"{1: '1', 2: 'Teddy', 3: ""Last year's GDP... 3.20457 trillion... growth rate 3.2%..."", 4: '1'}"
90	90		301							{2: 'Teddy', 3: 'Foreign trade volume... industrial exports...', 4: '1'}
91	91		204							{1: '1', 2: '4'}
92	92		301							{2: 'Teddy', 3: 'Urban development investment...', 4: '1'}
93	93		202							{1: '1'}
