Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
2	2		401							{1: '2', 2: '18511011'}
3	3		501						350.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStorySlash.prefab', 2: '1'}
4	4		401							{1: '2', 2: '9342060'}
5	5		501						200.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStorySlash02.prefab', 2: '1'}
6	6		501						200.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiZhuanchangBaiEnd.prefab', 2: '3'}
7	7		401							{1: '1', 2: '7111'}
8	8		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStorySugorokuScreen01.prefab', 2: '3'}
9	9		101							{1: 'Assets/Product/Texture/Image/BgCg/Cg6201_19.jpg'}
10	10		401							{1: '2', 2: '4339'}
11	11		104							{1: '200|-135|-200', 2: '0'}
12	12		104						2000.0	{1: '-50|-135|-200', 2: '1.5'}
13	13		301			DialogEnable	DialogDisable			{3: 'The centaur charges through the enemy ranks like a tempest.'}
14	14		501						1500.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStoryFreezeScreen.prefab', 2: '3'}
15	15		301			DialogEnable	DialogDisable			{3: 'Her silver body reflects the gleam of the ice, four hooves shattering the frozen earth. Each thrust of her blade breaks Corrupted apart in her wake.'}
16	16		401							{1: '2', 2: '10112408'}
17	17		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
18	18		104							{1: '0|0|0', 2: '0'}
19	19		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStoryFreezeScreen.prefab'}
20	20		502							{1: 'RImgBg1Shake'}
21	21		301			DialogEnable				{3: 'Rosetta bursts from the encirclement like an arrow through ice, scattering the horde behind her in a whirlwind of severed limbs and shattered parts.'}
22	22		301							{3: 'On the battlefield of Sophiasburgh, nothing can withstand her.'}
23	23		502							{1: 'RImgBg1Shake'}
24	24		301				AniZhuanchangBegin			{2: 'Rosetta', 3: 'Charge with me!'}
25	25		502							{1: 'DialogDisable'}
26	26		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory87.png'}
27	27		201							{1: '2', 2: '500013', 4: '1500'}
28	28		201							{1: '1', 2: '501444'}
29	29		502							{1: 'DialogEnable'}
30	30		502							{1: 'DialogShake'}
31	31		301			AniZhuanchangEnd				{1: '1', 2: 'Mina', 3: 'Hahaha! Eat this, you freaks!', 4: '1'}
32	32		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLineSpreadNew.prefab', 2: '1'}
33	33		203							{1: '1', 2: '0.25', 4: '-50', 5: '-100'}
34	34		202							{1: '1', 6: '1'}
35	35		401							{1: '2', 2: '1508'}
36	36		203							{1: '2', 2: '0.3'}
37	37		301			DialogShake				{1: '1', 2: 'Corrupted', 3: '—!', 4: '2'}
38	38		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLineSpreadNew.prefab'}
39	39		501						100.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '2'}
40	40		401							{1: '2', 2: '10007001'}
41	41		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLouDianNew.prefab', 2: '2', 3: '2'}
42	42		301			PanelActor2Shake	DialogDisable			{3: 'The sounds of combat tear through the polar wind as green and red auroras writhe violently overhead. Mina swings her ice-breaking hammer, crushing a Corrupted to the ground. Though its head is slick with black mechanical oil, her grin only sharpens, wild and feral.'}
43	43		401							{1: '2', 2: '3077'}
44	44		203						200.0	{1: '2', 2: '0.25', 4: '-1080'}
45	45		202						300.0	{1: '2'}
46	46		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLouDianNew.prefab', 4: '2'}
47	47		201							{1: '1', 2: '501444', 3: '1'}
48	48		301			DialogEnable				"{1: '1', 2: 'Mina', 3: ""With this array boosting me, I'm unstoppable! Let me show you the real power of my Arctic relic—this ice-breaker!"", 4: '1'}"
49	49		201							{1: '1', 2: '501459'}
50	50		301			PanelActor1Shake				"{1: '1', 2: 'Dr. Bear', 3: ""What are you doing, Dr. Mina? The array isn't calibrated for humans! Stay put and don't move!"", 4: '1'}"
51	51		201							{1: '1', 2: '501444', 3: '5'}
52	52		301			DialogShake	DialogDisable			{1: '1', 2: 'Mina', 3: 'Are you nuts? You expect me to just stand here as target practice?', 4: '1'}
53	53		203						250.0	{1: '1', 2: '0.25', 3: '600'}
54	54		201							{1: '2', 2: '500013', 4: '-200', 7: '1'}
55	55		401							{1: '2', 2: '10007001'}
56	56		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
57	57		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStorySugorokuScreen01.prefab'}
58	58		401							{1: '2', 2: '3077'}
59	59		203						300.0	{1: '2', 2: '0.25', 3: '-200', 4: '-1080'}
60	60		202							{1: '2'}
