Id	Name
1	<color=#000000ff><size=35>                                                                                                       ——</size></color>
2	\n\n\n\n\n\n
3	<color=#ffffffff><size=35><i>                                                                                                     Nel suo profondo vidi che s’interna，</i></size></color>
4	<color=#ffffffff><size=35><i>                                                                                                      In the heart of that light, I saw a new ending.</i></size></color>
5	\n
6	<color=#ffffffff><size=35><i>                                                                                                     legato con amore in un volume，</i></size></color>
7	<color=#ffffffff><size=35><i>                                                                                                       It is love that binds everything scattered across the stars.</i></size></color>
8	\n
9	<color=#ffffffff><size=35><i>                                                                                                     ciò che per l’universo si squaderna.</i></size></color>
10	<color=#ffffffff><size=35><i>                                                                                                       And as you turn each page, I will be right there with you.</i></size></color>
11	\n
12	\n\n\n\n\n\n\n\n\n\n\n\n\n
13	<color=#000000ff><size=35>                                                                                                       ——</size></color>
