Id	Name	IconPath	Text	Param
KURO_BBS	X	Assets/Product/Texture/Atlas/Common/CommonKujiequ.png	Punishing: Gray Raven	
QQ	QQ	Assets/Product/Texture/Atlas/Common/CommonQQ.png	Punishing: Gray Raven	
QQ_ZONE	Qzone	Assets/Product/Texture/Atlas/Common/CommonQzone.png	Punishing: Gray Raven	
WECHAT	WeChat	Assets/Product/Texture/Atlas/Common/CommonWeixin.png	Punishing: Gray Raven	
WECHAT_MOMENTS	WeChat Moments	Assets/Product/Texture/Atlas/Common/CommonCircleOfFriend.png	Punishing: Gray Raven	
BILIBILI	Bilibili	Assets/Product/Texture/Atlas/Common/CommonBilibili.png	Punishing: Gray Raven	
WEI_BO	Weibo	Assets/Product/Texture/Atlas/Common/CommonWeibo.png	Punishing: Gray Raven	
DOU_YIN	TikTok	Assets/Product/Texture/Atlas/Common/CommonKujiequ.png	Not Enabled	
LITTLE_RED_BOOK	RedNote	Assets/Product/Texture/Atlas/Common/CommonKujiequ.png	Not Enabled	
TAP_TAP	Taptap	Assets/Product/Texture/Atlas/Common/CommonTaptap.png	Punishing: Gray Raven	
