TextId	ActorName	ActorTalk	Cv	Desc
1	Imogen	Sigh...		
2		What are you doing here?		
3		What happened?		
4	Imogen	Huh...? Oh! Gray Raven Commandant? I can't believe I ran into you here.		
5	[PlayerName]	Nice to meet you. Are you... dealing with something? You look a bit troubled.		
6	Imogen	"Is it that obvious? Guess I can't hide my ""loser"" aura after all."		
7	Imogen	"Are you familiar with the ""Vortex School""? I'm part of it. We're an art movement inspired by cosmic systems and galaxies."		
8		I've heard a bit about it.		
9		Not much.		
10	Imogen	We're not well-known at all. Our exhibition applications were rejected again and again. Even when one finally passed, it got pulled.		
11	Imogen	Did we do something wrong? Or... or is my work just not good enough?		
12		Maybe the organizers had other considerations.		
13		I believe your work will be seen.		
14	Imogen	Other considerations?		
15	[PlayerName]	Humanity's future may not lie in distant space, but in the homeland that raised us. Under this exhibition's theme, that might be what the organizers wanted to express.		
16	Imogen	So it's not that we're not good enough, just that... maybe we don't quite fit this exhibition's theme?		
17	[PlayerName]	At the very least, I think your ideas are great. Keep going.		
18	Imogen	Sniff... do you really think so?		
19	[PlayerName]	Art is a cycle of expression and resonance. The Vortex School started from nothing too, gathering kindred spirits along the way, right?		
20	Imogen	Yes...		
21	[PlayerName]	Then keep going, and wait for those who truly resonate with you. I'm sure they're already on their way.		
