TextId	ActorName	ActorTalk	Cv	Desc
1	Anchedore	What a coincidence, Commandant of Gray Raven. Liv is part of your squad, right?		
2		Yeah.		
3		Is there something you need?		
4	Anchedore	Glad I got that right. Oh, by the way, my classmates and I want to get something to thank her.		
5	Anchedore	We just want to put something together to thank her properly, that's all.		
6		Thank her?		
7	Anchedore	Yes. She's been coming by a lot to help care for the plants. I thought it was a mission at first, but it turns out she's doing it on her own initiative.		
8	Anchedore	There are plenty of people like her, but for some reason, every plant she tends grows especially well. Some of them are even part of our research...		
9	Anchedore	Ahem... if I keep talking, this could take a while. Long story short, we want to get Liv a thank-you gift. What do you think would be good?		
10		(Tell her about Liv's preferences)		
11		Give her something that feels meaningful to you.		
12	Anchedore	I see. A biosphere... alright, I'll talk it over with my classmates. Thanks for the suggestion.		
13	Anchedore	Something meaningful... maybe new microbial cultures, or synthetic fertilizer... no, I should think this through a bit more.		
