TextId	ActorName	ActorTalk	Cv	Desc
1	[PlayerName]	(Could this be connected to some kind of health tracker? Like a fitness band or sensor?)		
2	[PlayerName]	Lee, has your frame been acting up lately? Or are you running some kind of test?		
3	Lee	No...	510010029	
4		You've hidden injuries before, remember?		
5		Then I'll have to check you myself.		
6		(Touch Lee's waist)		
7		(Touch Lee's chest)		
8	Lee	Mmh.	510010030	
9	Lee	You'd better actually be examining me.	510010031	
10		Avoiding it only proves you're hiding something, Lee.		
11	Lee	Fine. Do what you want.	510010032	
12	Lee	Pretty sure fooling around isn't part of standard examination protocol, [PlayerName].	510010033	
13	Lee	And how long do you plan to keep touching me?	510010034	
14		Just being thorough. Better double-check.		
15	Lee	Then next time, I'll return the favor, with the same method.	510010035	
16	Lee	Examination complete. See? No injuries anywhere.	510010036	
17		Maybe you're hiding a micro detector somewhere...		
18		(Inspect Lee's neck)		
19		(Inspect Lee's hands)		
20	Lee	You've got a pretty unique idea of where people hide things. What's next? My shoes? My hair?	510010037	
21	Lee	See? Nothing on my hands or arms. Planning to search the rest of me too?	510010038	
22	Lee	What more—[PlayerName]! Look out!	510010039	
23	Lee	Good thing you're not hurt... ngh.	510010049	
24		Even a small wound needs attention.		
25	Lee	...Oh no.	510010041	
26		Is that a comm from Liv?		
27	Lee	Looks like Gray Raven's mandatory health screening has caught up to us.	510010042	
28		Health screening? Wait, is it related to those numbers above your head?		
29	Lee	You can see them? That explains your behavior just now.	510010043	
30	Lee	It's a health monitoring system Liv asked me to test first. She said if the readings fluctuate too much, she'll have the entire Gray Raven squad checked to make sure everyone keeps an eye on their condition.	510010044	
31		So what does this alarm mean then?		
32	Lee	Probably because my frame data spiked too much. That's why Liv contacted us.	510010045	
33		Think we can still sneak away before she finds us?		
34	Lee	Too late. Let's go. Liv said you'd be the first on her priority list anyway. Consider it the consequence of your own actions.	510010046	
35	Lee	I'll personally oversee your health monitoring. Hopefully that keeps you from needing another visit to the Star of Life anytime soon.	510010047	
36	Lee	"I'll be watching everything from your meals to your training. Step one starts with that little ""examination"" you just gave me."	510010048	
37	Lee	It's just a scratch, don't look at me like that. I'm not that fragile, [PlayerName].	510010052	
