TextId	ActorName	ActorTalk	Cv	Desc
1	[PlayerName]	Why are there two elevator control panels here?		
2	Teddy	That's not an elevator panel. Go on, put your hand on it.		
3	[PlayerName]	Huh? A screen popped up.		
4	Teddy	It's a program I put together. It creates a virtual world for firearm training.		
5	Teddy	Ideally it belongs in a simulation room, but approvals take time. For now, it's staying outside, waiting for the right person to find it.		
6	[PlayerName]	Won't someone trigger it by accident if it's next to the elevator?		
7	Teddy	Don't worry. I've locked it down. Only authorized people can start it.		
8	[PlayerName]	Thoughtfully designed.		
9	[PlayerName]	Nicely done.		
10	Teddy	Of course, you're on the list too. Since you're one of the chosen few, want to test the program with me?		
11	[PlayerName]	Looks like I don't have much of a reason to say no.		
12	Lee	This should be the spot Teddy mentioned.		
13	Rosetta	Oh, Commandant is here too.		
14	Teddy	You two, this is the place.		
15	[PlayerName]	Lee? Rosetta? What are you two doing here?		
16	Lee	Teddy said there's a new combat sim to test, so here I am.		
17	Rosetta	Same here. Teddy invited me, and I ran into Mr. Lee on the way.		
18	[PlayerName]	So what do we do next?		
19	Teddy	We enter the virtual space, pick a location, and it starts automatically. Each session needs two people...		
20	Lee	I'll team up with the Commandant.		
21	Rosetta	Me neither.		
22	Teddy	Then it's settled. You'll spar with each of us in turn, Commandant. That works for you, right?		
23	[PlayerName]	I'm fine with it.		
24	[PlayerName]	Let's get started, then.		
25	[PlayerName]	Challenge Teddy.		
26	[PlayerName]	Challenge Lee.		
27	[PlayerName]	Challenge Rosetta.		
