TextId	ActorName	ActorTalk	Cv	Desc
1	Wanshi	Commandant?	510023001	
2	[PlayerName]	What are you doing?		
3	Wanshi	The Youth Center's seminar moved on to ecology, so I'm here gathering materials... preparing for class.	510023002	
4	Wanshi	...Hmm?	510023003	
5	[PlayerName]	Huh? What's wrong?		
6	Wanshi	Looks like bionic bees for simulated pollination.	510023004	
7	[PlayerName]	You okay?		
8	Wanshi	I'm fine. Don't worry, these bees only mimic pollination. They're not aggressive. Wait...	510023005	
9	Wanshi	"Hmm... since the kids filled my pockets with bionic frogs and birds last time, I should bring them a little ""surprise"" too."	510023006	
10	[PlayerName]	...Well, at least bionic bees can fly and don't feel slimy.		
