Id	Key	UiTemplate	UiCotainer	RollCharRandomRangeHorizontal	RollCharRandomRangeVertical	RollCharMinDir	RollCharMaxDir	RollCharSpeed	RollCharLifeTime	RollCharBeginOpacity	RollCharEndOpacity	RollCharChangeOpacityTime	RollCharStayDuration	RollCharStayTime	RollCharOffsetX	RollCharOffsetY	GeneralTemplate	IconUrl	IconColor	IconColorAlpha	TextColor	TextScale
1	Normal	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
2	Crit	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	100.0	150.0						1.5
3	Fire	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
4	Electric	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
5	Ice	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
6	Dark	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	100.0	150.0						1.5
7	Lifesteal	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/SuckBloodTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	100.0	150.0						1.5
8	Cure	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/CureTemplate.prefab	NormalContainer	15.0	15.0			160.0	0.75		1.0	0.2	1.5	0.5								1.5
9	Execute	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/Execution.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	100.0	150.0						1.5
10	DoubleCrit	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/Execution.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	100.0	150.0						1.5
11	NormalMyself	Assets/Product/Ui/ComponentPrefab/UiFightDlc/FightNumber/NormalToSelfTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-100.0	-150.0						1.5
