ItemId	BasePrice
101001	200
101002	300
102001	500
102002	700
102003	800
103001	4700
103002	2454
103003	4557
103004	3187
103005	2048
103006	4695
103007	4465
103008	4901
103009	3128
103010	4376
103011	4169
103012	4162
103013	4243
103014	2190
103015	2138
103016	2871
103017	3995
103018	4224
103019	3418
103020	2738
104001	23616
104002	27737
104003	36781
104004	32149
104005	25764
104006	33775
104007	21560
104008	47258
104009	42583
104010	46691
104011	46970
104012	26817
104013	33133
104014	20123
104015	49161
105001	461065
105002	362312
105003	285698
105004	300141
105005	297717
105006	459266
105007	320424
105008	323370
105009	214023
105010	376834
