Id	Text	IncreaseScore	Type	Params
10	Resources Recycled x1		1	[99999]
11	Resources Recycled ×2		1	[99999]
12	Resources Recycled ×3		1	[99999]
13	Resources Recycled ×4		1	[99999]
14	Resources Recycled ×5		1	[99999]
15	Resources Recycled ×6		1	[99999]
16	Resources Recycled ×7		1	[99999]
17	Resources Recycled ×8		1	[99999]
18	Resources Recycled ×9		1	[99999]
19	Resources Recycled ×10		1	[99999]
20	Resources Recycled ×11		1	[99999]
21	Resources Recycled ×12		1	[99999]
22	Resources Recycled ×13		1	[99999]
23	Resources Recycled ×14		1	[99999]
24	Resources Recycled ×15		1	[99999]
25	Resources Recycled ×16		1	[99999]
26	Resources Recycled ×17		1	[99999]
27	Resources Recycled ×18		1	[99999]
28	Resources Recycled ×19		1	[99999]
29	Resources Recycled ×20		1	[99999]
30	Resources Recycled ×21		1	[99999]
31	Resources Recycled ×22		1	[99999]
32	Resources Recycled ×23		1	[99999]
33	Resources Recycled ×24		1	[99999]
34	Resources Recycled ×25		1	[99999]
35	Resources Recycled ×26		1	[99999]
36	Resources Recycled ×27		1	[99999]
37	Resources Recycled ×28		1	[99999]
38	Resources Recycled ×29		1	[99999]
39	Resources Recycled ×30		1	[99999]
40	Resources Recycled ×31		1	[99999]
41	Resources Recycled ×32		1	[99999]
42	Resources Recycled ×33		1	[99999]
43	Resources Recycled ×34		1	[99999]
44	Resources Recycled ×35		1	[99999]
45	Resources Recycled ×36		1	[99999]
46	Resources Recycled ×37		1	[99999]
47	Resources Recycled ×38		1	[99999]
48	Resources Recycled ×39		1	[99999]
49	Resources Recycled ×40		1	[99999]
50	Resources Recycled ×41		1	[99999]
51	Resources Recycled ×42		1	[99999]
52	Resources Recycled ×43		1	[99999]
53	Resources Recycled ×44		1	[99999]
54	Resources Recycled ×45		1	[99999]
55	Resources Recycled ×46		1	[99999]
56	Resources Recycled ×47		1	[99999]
57	Resources Recycled ×48		1	[99999]
58	Resources Recycled ×49		1	[99999]
59	Resources Recycled ×50		1	[99999]
60	Resources Recycled ×51		1	[99999]
61	Resources Recycled ×52		1	[99999]
62	Resources Recycled ×53		1	[99999]
63	Resources Recycled ×54		1	[99999]
64	Resources Recycled ×55		1	[99999]
65	Resources Recycled ×56		1	[99999]
66	Resources Recycled ×57		1	[99999]
67	Resources Recycled ×58		1	[99999]
68	Resources Recycled ×59		1	[99999]
69	Resources Recycled ×60		1	[99999]
70	Resources Recycled ×61		1	[99999]
71	Resources Recycled ×62		1	[99999]
72	Resources Recycled ×63		1	[99999]
73	Resources Recycled ×64		1	[99999]
74	Resources Recycled ×65		1	[99999]
75	Resources Recycled ×66		1	[99999]
76	Resources Recycled ×67		1	[99999]
77	Resources Recycled ×68		1	[99999]
78	Resources Recycled ×69		1	[99999]
79	Resources Recycled ×70		1	[99999]
80	Resources Recycled ×71		1	[99999]
81	Resources Recycled ×72		1	[99999]
82	Resources Recycled ×73		1	[99999]
83	Resources Recycled ×74		1	[99999]
84	Resources Recycled ×75		1	[99999]
85	Resources Recycled ×76		1	[99999]
86	Resources Recycled ×77		1	[99999]
87	Resources Recycled ×78		1	[99999]
88	Resources Recycled ×79		1	[99999]
89	Resources Recycled ×80		1	[99999]
90	Resources Recycled ×81		1	[99999]
91	Resources Recycled ×82		1	[99999]
92	Resources Recycled ×83		1	[99999]
93	Resources Recycled ×84		1	[99999]
94	Resources Recycled ×85		1	[99999]
95	Resources Recycled ×86		1	[99999]
96	Resources Recycled ×87		1	[99999]
97	Resources Recycled ×88		1	[99999]
98	Resources Recycled ×89		1	[99999]
99	Resources Recycled ×90		1	[99999]
100	Resources Recycled ×91		1	[99999]
101	Resources Recycled ×92		1	[99999]
102	Resources Recycled ×93		1	[99999]
103	Resources Recycled ×94		1	[99999]
104	Resources Recycled ×95		1	[99999]
105	Resources Recycled ×96		1	[99999]
106	Resources Recycled ×97		1	[99999]
107	Resources Recycled ×98		1	[99999]
108	Resources Recycled ×99		1	[99999]
109	Resources Recycled ×100		1	[99999]
110	Resources Recycled ×101		1	[99999]
111	Resources Recycled ×102		1	[99999]
112	Resources Recycled ×103		1	[99999]
113	Resources Recycled ×104		1	[99999]
114	Resources Recycled ×105		1	[99999]
115	Resources Recycled ×106		1	[99999]
116	Resources Recycled ×107		1	[99999]
117	Resources Recycled ×108		1	[99999]
118	Resources Recycled ×109		1	[99999]
119	Resources Recycled ×110		1	[99999]
120	Resources Recycled ×111		1	[99999]
121	Resources Recycled ×112		1	[99999]
122	Resources Recycled ×113		1	[99999]
123	Resources Recycled ×114		1	[99999]
124	Resources Recycled ×115		1	[99999]
125	Resources Recycled ×116		1	[99999]
126	Resources Recycled ×117		1	[99999]
127	Resources Recycled ×118		1	[99999]
128	Resources Recycled ×119		1	[99999]
129	Resources Recycled ×120		1	[99999]
