Id	Desc	ProgressDesc	Type	Params
1011	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[1020034]
1012	Recycle 280 space resources	Recycle Resources: [1]	8	[280]
1013	Recycle 500 space resources	Resources Recycled: [1]	8	[500]
1021	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[1010032]
1022	Recycle 440 space resources	Recycle Resources: [1]	8	[440]
1023	Recycle 900 space resources	Resources Recycled: [1]	8	[900]
1031	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[1030072]
1032	Recycle 680 space resources	Recycle Resources: [1]	8	[680]
1033	Recycle 1200 space resources	Resources Recycled: [1]	8	[1200]
1041	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[1040047]
1042	Recycle 940 space resources	Recycle Resources: [1]	8	[940]
1043	Recycle 1600 space resources	Resources Recycled: [1]	8	[1600]
2011	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[2010002]
2012	Recycle 720 space resources	Recycle Resources: [1]	8	[720]
2013	Recycle 1200 space resources	Resources Recycled: [1]	8	[1200]
2021	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[2020020]
2022	Recycle 820 space resources	Recycle Resources: [1]	8	[820]
2023	Recycle 1400 space resources	Resources Recycled: [1]	8	[1400]
2031	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[2030002]
2032	Recycle 1200 space resources	Recycle Resources: [1]	8	[1200]
2033	Recycle 2300 space resources	Resources Recycled: [1]	8	[2300]
2041	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[2040002]
2042	Recycle 1400 space resources	Recycle Resources: [1]	8	[1400]
2043	Recycle 2600 space resources	Resources Recycled: [1]	8	[2600]
3011	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[6010013]
3012	Recycle 1200 space resources	Recycle Resources: [1]	8	[1200]
3013	Drone takes damage no more than 15 times	Times Damaged: [0]/[1]	9	[15]
3021	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[6020006]
3022	Recycle 1200 space resources	Recycle Resources: [1]	8	[1200]
3023	Drone takes damage no more than 15 times	Times Damaged: [0]/[1]	9	[15]
3031	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[6020006]
3032	Recycle 1200 space resources	Recycle Resources: [1]	8	[1200]
3033	Drone takes damage no more than 15 times	Times Damaged: [0]/[1]	9	[15]
4011	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[5010006]
4012	Recycle 1200 space resources	Recycle Resources: [1]	8	[1200]
4013	Drone takes damage no more than 15 times	Times Damaged: [0]/[1]	9	[15]
4021	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[5020004]
4022	Recycle 1200 space resources	Recycle Resources: [1]	8	[1200]
4023	Drone takes damage no more than 15 times	Times Damaged: [0]/[1]	9	[15]
4031	Reach the Drone Recycle Station	Reach the Drone Recycle Station	7	[5020004]
4032	Recycle 2400 space resources	Resources Recycled: [1]	8	[2400]
4033	Drone takes damage no more than 20 times	Times Damaged: [0]/[1]	9	[20]
