Id	Name	Icon	Type	EquipOccupationType	Quality	MainSkillFactorId	MainSkillFactorLevel	MainSkillFactorAbility	AddSlotNum	AddFactorLevel	MainFactorId	MainFactorLevel	LevelWeights	FactorAbility	Ability
11077101	Max DMG I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1	1	1				2	1	11077	[1]	[100]	[10]	10
11077102	Max DMG II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1	1	2				2	1	11077	[3]	[100]	[30]	30
11077103	Max DMG III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1	1	3				2	1	11077	[6]	[100]	[60]	60
11077104	Max DMG IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink019.png	1	1	4				2	1	11077	[12]	[100]	[120]	120
11072101	ATK Up I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1	1	1				2	1	11072	[1]	[100]	[10]	10
11072102	ATK Up II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1	1	2				2	1	11072	[3]	[100]	[30]	30
11072103	ATK Up III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1	1	3				2	1	11072	[6]	[100]	[60]	60
11072104	ATK Up IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink020.png	1	1	4				2	1	11072	[12]	[100]	[120]	120
11005101	CRIT I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1	1	1				2	1	11005	[1]	[100]	[10]	10
11005102	CRIT II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1	1	2				2	1	11005	[3]	[100]	[30]	30
11005103	CRIT III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1	1	3				2	1	11005	[6]	[100]	[60]	60
11005104	CRIT IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink021.png	1	1	4				2	1	11005	[12]	[100]	[120]	120
11007101	CRIT DMG I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1	1	1				2	1	11007	[1]	[100]	[10]	10
11007102	CRIT DMG II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1	1	2				2	1	11007	[3]	[100]	[30]	30
11007103	CRIT DMG III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1	1	3				2	1	11007	[6]	[100]	[60]	60
11007104	CRIT DMG IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink022.png	1	1	4				2	1	11007	[12]	[100]	[120]	120
12001101	HP Buff I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1	3	1				2	1	12001	[1]	[100]	[10]	10
12001102	HP Buff II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1	3	2				2	1	12001	[3]	[100]	[30]	30
12001103	HP Buff III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1	3	3				2	1	12001	[6]	[100]	[60]	60
12001104	HP Buff IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink023.png	1	3	4				2	1	12001	[12]	[100]	[120]	120
11067101	DMG Reduction I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1	2	1				2	1	11067	[1]	[100]	[10]	10
11067102	DMG Reduction II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1	2	2				2	1	11067	[3]	[100]	[30]	30
11067103	DMG Reduction III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1	2	3				2	1	11067	[6]	[100]	[60]	60
11067104	DMG Reduction IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink024.png	1	2	4				2	1	11067	[12]	[100]	[120]	120
11001201	ATK I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2	1	1						11001	[1]	[100]	[10]	10
11001202	ATK II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2	1	2						11001	[3]	[100]	[30]	30
11001203	ATK III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2	1	3						11001	[6]	[100]	[60]	60
11001204	ATK IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink025.png	2	1	4						11001	[12]	[100]	[120]	120
11000201	HP I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2	3	1						11000	[1]	[100]	[10]	10
11000202	HP II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2	3	2						11000	[3]	[100]	[30]	30
11000203	HP III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2	3	3						11000	[6]	[100]	[60]	60
11000204	HP IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink026.png	2	3	4						11000	[12]	[100]	[120]	120
11014201	DMG Bonus I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2	1	1						11014	[1]	[100]	[10]	10
11014202	DMG Bonus II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2	1	2						11014	[3]	[100]	[30]	30
11014203	DMG Bonus III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2	1	3						11014	[6]	[100]	[60]	60
11014204	DMG Bonus IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink027.png	2	1	4						11014	[12]	[100]	[120]	120
11084201	Imbalance Buff I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2	1	1						11084	[1]	[100]	[10]	10
11084202	Imbalance Buff II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2	1	2						11084	[3]	[100]	[30]	30
11084203	Imbalance Buff III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2	1	3						11084	[6]	[100]	[60]	60
11084204	Imbalance Buff IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink028.png	2	1	4						11084	[12]	[100]	[120]	120
11010201	Shield Bonus I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2	2	1						11010	[1]	[100]	[10]	10
11010202	Shield Bonus II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2	2	2						11010	[3]	[100]	[30]	30
11010203	Shield Bonus III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2	2	3						11010	[6]	[100]	[60]	60
11010204	Shield Bonus IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink029.png	2	2	4						11010	[12]	[100]	[120]	120
11083201	Healing Efficiency Buff I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2	3	1						11083	[1]	[100]	[10]	10
11083202	Healing Efficiency Buff II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2	3	2						11083	[3]	[100]	[30]	30
11083203	Healing Efficiency Buff III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2	3	3						11083	[6]	[100]	[60]	60
11083204	Healing Efficiency Buff IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink030.png	2	3	4						11083	[12]	[100]	[120]	120
11096201	Aggro Focus I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2	2	1						11096	[1]	[100]	[10]	10
11096202	Aggro Focus II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2	2	2						11096	[3]	[100]	[30]	30
11096203	Aggro Focus III	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2	2	3						11096	[6]	[100]	[60]	60
11096204	Aggro Focus IV	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink046.png	2	2	4						11096	[12]	[100]	[120]	120
13096201	Aggro Concealment I	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2	3	1						13096	[1]	[100]	[10]	10
13096202	Aggro Concealment II	Assets/Product/Texture/Image/UiDlcRelink/Equip/IconDlcRelink054.png	2	3	2						13096	[3]	[100]	[30]	30
