LevelId	Name	PreLevelId	ChapterId	Type	TimeId	Condition	IsRank	FirstDropIds	DropIds	FirstExp	Exp	FirstCoin	Coin	FirstGold	Gold	AbilityLimit	AttributeNames	AttributeValues	LoadingTips	FirstShowGroupId	ShowGroupId	LockCharacterId
9002	Normal		1	1				[1012]	[1001, 1002]	125	25	80	10	50	10				"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	1	2	
9003	Advanced	9002	1	2				[1013]	[1003, 1004]	420	140	200	40	150	30	60			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	3	4	
9004	Challenge	9003	1	3				[1014, 1015]	[1006, 1007]	750	200	500	80	300	60	300			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	5	6	
9005	Hard	9004	1	4				[1014, 1015]	[1006, 1007]	1800	400	250	100	400	80	600			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	5	6	
9006	Nightmare	9005	1	5			True	[1008, 1009]	[1010, 1011]	3500	700	150	120	500	100	800			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	7	8	
9008	Advanced		2	2				[1013]	[1003, 1004]	420	140	200	40	150	30	60			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	3	4	
9009	Challenge	9008	2	3				[1014, 1015]	[1006, 1007]	750	200	500	80	300	60	300			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	5	6	
9010	Hard	9009	2	4				[1014, 1015]	[1006, 1007]	1800	400	250	100	400	80	600			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	5	6	
9011	Nightmare	9010	2	5			True	[1008, 1009]	[1010, 1011]	3500	700	150	120	500	100	800			"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	7	8	
9001	Tutorial		3	1				[1001]		50				25					"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"	1		10210051
9012	Training		3	1															"['A well-balanced team class composition can effectively lower combat difficulty.', ""If you're stuck, Equipment Enhancement might provide the solution."", 'Tap when the portrait is highlighted to cast the battle-turning Ultimate Skill.', 'Using Signature Moves consecutively with teammates can trigger a Joint Attack.', ""Matching special module slot equipment to your class equipment's class grants a Trait Level bonus."", 'Are all your skill hits dealing identical damage? This is likely due to the Damage Cap.', 'Try to scrap redundant gear.', 'Outside of combat, characters can switch to a secondary form, unlocking a completely different approach to battle.']"			
