Id	FeatureIds	BuffGroupIds
1	[57, 55, 52]	
2	[28, 54, 49]	
3	[53, 48, 25]	
4	[28, 49, 47]	
5	[54, 53, 52]	
6	[55, 44, 37]	
7	[58, 44, 25]	[701, 702, 703]
8	[59, 54, 37]	[801, 802, 803]
9	[57, 55, 52]	[901, 902, 903]
10	[59, 56, 54]	[1001, 1002, 1003]
11	[58, 47, 37]	[1101, 1102, 1103]
12	[52, 48, 44]	[1201, 1202, 1203]
13	[52, 50, 49]	
14	[38, 37, 25]	
15	[52, 49, 44]	
16	[53, 47, 44]	
17	[52, 28, 25]	
18	[48, 37, 28]	
19	[53, 49, 38]	
101	[54, 48, 44]	
102	[55, 52, 25]	
103	[50, 37, 28]	
104	[55, 52, 44]	
105	[54, 53, 47]	
106	[53, 49, 37]	
