PeriodId	TimeId	MainTemplateId	MainTemplateCount
4100101	44704	[50005, 102]	[100, 200]
4100201	44703	[90031, 31204, 1]	[1, 10, 12000]
4100301	44501	[90031, 31204, 1]	[1, 10, 12000]
4100401	44705	[90031, 31204, 1]	[1, 10, 12000]
4100501	44701	[50005, 102, 13019708]	[250, 200, 5]
4100601	44910	[50005, 102, 40301]	[2500, 2000, 50]
4100701	44101	[50005, 102]	[500, 750]
4100801	44102	[50003, 102, 96004]	[500, 1000, 50]
4100901	44601	[50005, 102]	[250, 500]
4101001	44410	[3, 102]	[100, 100]
4000801	43920	[50005]	[250]
