Id	GroupId	Name	Title	HeadIconStyleId	InteractOptionTexts
1800001	2009	Female X Standby Action 02 (Story)			['Start Mission']
1800002	2009	Lucia			['【NpcName】', '【NpcName】', '【NpcName】', '【NpcName】']
1800003	2009	Male y Standby Action 01 (Ecological)			
1800004	2009	Square Background Thinker (Male)			
1800005	2009	Male X Standby Action 03 (Story)			
1800006	2009	Male Waiter 3 (Story)			
1800007	2009	Male Construct 1 (Ecosystem 2)			
1800008	2009	PV Trio Bubble Casual Male NPC (Story)			
1800009	2009	PV Duo Bubble Female NPC (Story)			
1800011	2009	Male X Standby Action 02 (Story)			
1800013	2009	Lounge Background Group 01 Female (Story)			
1800014	2009	Asimov			['【NpcName】', '【NpcName】', '【NpcName】', '【NpcName】']
1800015	2009	Kowloong Female NPC 02 (Black)			
1800018	2009	Akdilek Male NPC 02 (Yellow)			
1800019	2009	Kuprinkle			
1800020	2009	New Blonde Female (Ecological)			
1800021	2009	Female Construct 3 (Ecological)			
1800022	2009	Male Construct 3 (Ecological)			
1800010	2009	Kowloong Female NPC 02 (Black)			
1800025	2009	Kowloong Female NPC 01 (White)			
1800026	2009	Female X Standby Action 01 (Ecosystem 2)			
1800028	2009	Male Construct 2 (Ecosystem 2)			
1800029	2009	Female Construct 1 (Ecosystem 2)			
1800030	2009	白色工程师服女2			
1800031	2009	Uniformed Male NPC01 (Gray Ecosystem 2)			
1800035	2009	Akdilek Male NPC 03 (Blue)			
1800037	2009	Kuprinkle			
1800038	2009	Floor-Sweeping Kuroro			
1800039	2009	Kuprinkle			
1800040	2009	Robot NPC			
1800033	2009	Dormitory Background Investigator (Female)			
1800034	2009	Waitress 9 (Ecological)			
1800036	2009	Lounge Background Group 01 (Female)			
1800043	2009	极地男NPC3			
1800044	2009	极地女NPC3			
