Id	GroupId	HeadIconStyleId	Name	Title	InteractOptionTexts
1000001	1002		Rosetta's Activation Pod		
1000002	1002		Deep Dive Device		['Begin Deep Dive']
1000003	1002		军备区观察点		['Observe']
1000004	1002		军备区观察点2		['Observe']
1000010	1002		军备区观察点4		['Observe']
1000011	1002		军备区观察点3		['Observe']
1000005	1002		Elevator Unavailable Notification		['Check']
1000006	1002		Elevator Unavailable Notification		['Check']
1000007	1002		军备区电梯内2		['Go to the Upper Floor', 'Go to the Lower Floor']
1000008	1002		军备区电梯内1		['Go to the Upper Floor', 'Go to the Lower Floor']
1000009	1002		军备区电梯外1		
1000012	1002		军备区电梯外2		
1000013	1002		军备区电梯内空气墙2		
1000014	1002		军备区电梯内空气墙1		
1000015	1002		军备区电梯内区域检测2-1		
1000016	1002		军备区电梯内区域检测2-2		
1000017	1002		军备区电梯内区域检测1-1		
1000018	1002		军备区电梯内区域检测1-2		
1000019	1002		Military Security Area Glass Wall 1		
1000020	1002		Military Security Area Glass Wall 2		
1000021	1002		Military Security Area Glass Wall 3		
1000022	1002		Military Security Area Chair		
1000023	1002		Military Security Area Chair		
1000024	1002		Military Security Area Chair		
1000025	1002		Military Security Area Chair		
1000026	1002		军备区玻璃门		
1000027	1002		军备区玻璃门		
1000028	1002		军备区入口大门		
1000029	1002		军备区点光源1		
1000030	1002		军备区点光源2		
1000031	1002		军备区点光源3		
1000032	1002		Operate equipment		
