Id	CullingLayer	HasCollider	PositionX	PositionY	PositionZ	QuaternionX	QuaternionY	QuaternionZ	QuaternionW	ScaleX	ScaleY	ScaleZ	PrefabPath	ParentPathStr	EntityName	GridLocX	GridLocY	GridLocZ	EntityDataPath
1		True	546.0	100.0	882.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X149_Y141.prefab		MG_Main_L0_X149_Y141	141	149		
2		True	588.0	100.0	882.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X149_Y142.prefab		MG_Main_L0_X149_Y142	142	149		
3		True	588.0	100.0	840.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X148_Y142.prefab		MG_Main_L0_X148_Y142	142	148		
4		True	588.0	100.0	924.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X150_Y142.prefab		MG_Main_L0_X150_Y142	142	150		
5		True	546.0	100.0	798.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X147_Y141.prefab		MG_Main_L0_X147_Y141	141	147		
6		True	546.0	100.0	924.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X150_Y141.prefab		MG_Main_L0_X150_Y141	141	150		
7		True	546.0	100.0	966.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X151_Y141.prefab		MG_Main_L0_X151_Y141	141	151		
8		True	588.0	100.0	966.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X151_Y142.prefab		MG_Main_L0_X151_Y142	142	151		
9		True	630.0	100.0	924.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X150_Y143.prefab		MG_Main_L0_X150_Y143	143	150		
10		True	630.0	100.0	882.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X149_Y143.prefab		MG_Main_L0_X149_Y143	143	149		
11		True	630.0	100.0	966.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X151_Y143.prefab		MG_Main_L0_X151_Y143	143	151		
12		True	630.0	100.0	840.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X148_Y143.prefab		MG_Main_L0_X148_Y143	143	148		
13		True	504.0	100.0	882.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X149_Y140.prefab		MG_Main_L0_X149_Y140	140	149		
14		True	504.0	100.0	840.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X148_Y140.prefab		MG_Main_L0_X148_Y140	140	148		
15		True	546.0	100.0	840.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X148_Y141.prefab		MG_Main_L0_X148_Y141	141	148		
16		True	504.0	100.0	924.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X150_Y140.prefab		MG_Main_L0_X150_Y140	140	150		
17		True	504.0	100.0	798.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X147_Y140.prefab		MG_Main_L0_X147_Y140	140	147		
18		True	588.0	100.0	798.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X147_Y142.prefab		MG_Main_L0_X147_Y142	142	147		
19		True	588.0	100.0	1008.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X152_Y142.prefab		MG_Main_L0_X152_Y142	142	152		
20		True	630.0	100.0	1008.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X152_Y143.prefab		MG_Main_L0_X152_Y143	143	152		
21			630.0	100.0	1050.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X153_Y143.prefab		MG_Main_L0_X153_Y143	143	153		
22		True	588.0	100.0	1050.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X153_Y142.prefab		MG_Main_L0_X153_Y142	142	153		
23		True	546.0	100.0	1050.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X153_Y141.prefab		MG_Main_L0_X153_Y141	141	153		
24		True	588.0	100.0	1092.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X154_Y142.prefab		MG_Main_L0_X154_Y142	142	154		
25		True	546.0	100.0	1092.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X154_Y141.prefab		MG_Main_L0_X154_Y141	141	154		
26		True	546.0	100.0	1008.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X152_Y141.prefab		MG_Main_L0_X152_Y141	141	152		
27				100.0					1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X128_Y128.prefab		MG_Main_L0_X128_Y128	128	128		
28		True	462.0	100.0	1008.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X152_Y139.prefab		MG_Main_L0_X152_Y139	139	152		
29		True	462.0	100.0	1050.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X153_Y139.prefab		MG_Main_L0_X153_Y139	139	153		
30		True	504.0	100.0	1008.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X152_Y140.prefab		MG_Main_L0_X152_Y140	140	152		
31		True	504.0	100.0	1050.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X153_Y140.prefab		MG_Main_L0_X153_Y140	140	153		
32		True	462.0	100.0	966.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X151_Y139.prefab		MG_Main_L0_X151_Y139	139	151		
33		True	504.0	100.0	966.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X151_Y140.prefab		MG_Main_L0_X151_Y140	140	151		
34		True		100.0	966.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X151_Y128.prefab		MG_Main_L0_X151_Y128	128	151		
35		True	462.0	100.0	924.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X150_Y139.prefab		MG_Main_L0_X150_Y139	139	150		
36		True	294.0	100.0	882.0				1.0	1.0	1.0	1.0	Assets/Product/BigWorld/SkyGarden/StaticPrefabs/Scene_Main01/MG_Main_L0_X149_Y135.prefab		MG_Main_L0_X149_Y135	135	149		
