Key	Note	Values
LineRenderProperty		['Assets/Product/Effect/Prefab/FxUi/FxUiBlackRockChessBattle/FxUiBlackRockXian02.prefab', 'Assets/Product/Effect/Prefab/FxUi/FxUiBlackRockChessBattle/FxUiBlackRockXian03.prefab', '5', '1', '30']
PieceController	棋子状态机	['Assets/Product/Scene/BlackRockChess/Animation/ChessOnly.controller']
ForbidSwitchWeaponText	禁止切换武器提示	['移动中无法切换武器', '额外回合中，只能使用漆黑之刃', '使用了焰燃我心，不允许切换岩石炮']
WeaponLockText	武器解锁相关提示	['【%s】未解锁']
SkillLockText	技能未解锁	['不能使用未解锁的技能噢']
EnergyNotEnoughText	能量不足	['能量不足，无法使用此技能', '技能冷却中', '露西亚在场时无法使用', '怒气未满，无法使用此技能']
WeaponMoveText		['超出武器移动范围，返回至初始地点']
MoveConfig	1. 棋子移动需要的时间2. 棋子跳动的高度	['0.9', '2']
ViewOfNormal	1-2 正常视角距离范围，3.上下拖动速度	['7', '10.9', '300']
ViewOfDown	1-2 俯视视角距离范围， 3左右拖动最大距离，4 上下拖动最大距离	['7', '10.9', '8', '8']
DragAndZoomSpeed	拖动，缩放速度	['12', '10']
ViewOfWin	1. 角色移动的坐标；2.相机移动到的位置；3.相机移动时间	['7|2', '3.7|1.3|-3', '4.5', '0.5']
MaxBloodGridCount	最大血量格子数	['10']
RoundBroadcastText	回合播报文本	['我方回合开始', '额外回合开始（伤害-3）', '敌方回合开始']
ReviveBroadcastText	死亡播报	['棋局应急机制启动，除国王外所有棋子HP设置为1']
IsMovingText	移动中操作提示	['请等待移动结束']
SettleText	结算文案	['回合数：%s', '击杀目标：%s', '复活次数：%s']
SettleLoseTipId		['18']
Chapter1Prefab	章节1预制体	['Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelChapterNor01.prefab', 'Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelChapterNor02.prefab']
Chapter2Prefab	章节2预制体	['Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelChapterHard01.prefab', 'Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelChapterHard02.prefab']
CommonEffectId	特效Id 1:眩晕	['34', '33']
PieceWarningEffectId	棋子攻击预警特效	['20', '18', '17', '19', '16', '15']
PieceHitEffectId	棋子受击特效	['38', '37', '35', '39', '40', '36']
PiecePreviewEffectId		['31', '27', '25', '29', '23', '21']
ClashEffectId	备战棋子冲突特效	['15', '16', '17', '18', '19', '20']
DeadEffectDelay	棋子死亡特效延时 1:播放延时，2:销毁棋子延时	['800', '1400']
PieceMoveCdText		['即将移动', '行动倒计时：%s', '即将攻击', '增援倒计时：%s']
ChapterScrollOffset	自动定位关卡时的偏移	['800']
MainRewardShowId	主界面商店道具展示	['66420']
LongPressTimer		['1100']
PCInterval	"""Pc按键时间配置 1：切换武器CD,2：切换镜头CD,3：按键移动镜头速度"""	['0.5', '1', '0.5']
PreviewIconAlpha	预览头像的Alpha值	['0.7']
ManualTriggeringGuide	手动触发的引导id	['61717', '61718']
OnSelectRoleTip	选择角色提示	['角色未上场', '角色操作结束']
RetractWarnTip	悔棋提示	['是否确认悔棋？ 剩余悔棋次数:%s', '回合数低于1，无法悔棋', '悔棋次数已经用尽']
ArchiveTypeButtonText		['播放剧情', '开始通讯']
GeniusIds	天赋Id	['36', '37']
LuciaBeheadedEffectId	白毛斩杀特效	['55']
IsAllActorOperaEndTip	角色未操作完的提示	['结束提示', '仍有可行动角色，回合结束后敌方将直接行动，确认结束回合？']
SecondaryConfirmationText		['放弃棋局会丢失当前进度和星级奖励是否确认放弃？', '放弃棋局会丢失当前进度和星级奖励是否确认放弃？']
IsArchiveOpen	不填内容就隐藏回顾按钮，填任意内容则显示回顾按钮	
EmenyHpColor	敌方棋子颜色	['CA0800', 'FF6200', 'FFB800', 'B3D941', '69EEBB', '009AFE', '4B5FF4', 'E30A79', 'D598F6', 'BC08DE']
FriendHpColor	友军棋子颜色	['CAFF00', '7FFF00', '00FF04', '00FFBC']
ToastShowTime	横幅界面显示时间（毫秒）	['2000']
ToastRoundShowTime	战前播报界面显示时间（毫秒）	['2000']
CoinIcon	金币图标	['Assets/Product/Texture/Atlas/Common/CommonKujiequ.png']
CoinDesc	金币描述	['金色传说']
SettlePanelPrefab	结算界面预制体路径	['Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelSuccess.prefab', 'Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelFail.prefab']
SettleBgPrefab	结算界面预制体路径	['Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelSuccessBg.prefab', 'Assets/Product/Ui/ComponentPrefab/UiBlackRockChess/PanelFailBg.prefab']
MovePauseDistance	距离，用于移动顿帧表现	['0.5']
EnergyBg	能量底图	['Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBgPoint.png', 'Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSkillBgPointRed.png']
ActionCountdownTips	行动倒计时提示文本	['释放倒计时：%s', '即将释放']
BtnFightName	战斗按钮	['战斗准备', '继续战斗']
GiveUpStageTips	查看其他关卡详情时，提示放弃当前关卡	['当前有进行中的关卡，是否放弃并开始此关卡？', '开始新关卡', '取消']
ShopItemTextColor	可购买物品价格颜色/不可购买物品价格颜色	['fcf69b', '4D0D0DFF']
