Id	Note	EffectPrefab	Offset	Rotate	Scale	IsDirection	InitAngle
1	霰弹枪普攻发射	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunShootA.prefab	0.25|0.45|0.25	180|0|0			
2	霰弹枪技能1发射	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunShootB.prefab	0.25|0.45|0.25	180|0|0			
3	霰弹枪普攻飞行	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunBulletA.prefab	0.08|0.45|0.6	180|0|0			
4	霰弹枪技能1飞行	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunBulletB.prefab	0.08|0.45|0.6	180|0|0			
5	普攻敌人正面受击	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunEXFrontA.prefab					
6	技能1敌人正面受击	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunEXFrontB.prefab					
7	普攻敌人侧面受击	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunEXAngleA.prefab				1	180.0
8	技能1敌人侧面受击	Assets/Product/Effect/Prefab/FxWanfa/FxBRSGunEXAngleB.prefab				1	180.0
9	单体刀光特效	Assets/Product/Effect/Prefab/FxWanfa/FxBRSSwordSlash.prefab	0|0.45|0	0|180|0			
10	横排一字斩特效	Assets/Product/Effect/Prefab/FxWanfa/FxBRSSwordBigSlash.prefab	0|0.45|0	0|180|0			
11	大炮发射	Assets/Product/Effect/Prefab/FxWanfa/FxBRSBigGunShoot.prefab	0.25|0.45|0.25	180|0|0			
12	大炮飞行	Assets/Product/Effect/Prefab/FxWanfa/FxBRSBigGunBullet.prefab	0.08|0.45|0.6	180|0|0			
13	大炮爆炸	Assets/Product/Effect/Prefab/FxWanfa/FxBRSBigGunEX.prefab				1	180.0
14	武器变化特效	Assets/Product/Effect/Prefab/FxWanfa/FxBRSBigGunChange.prefab					
15	国王即将行动（闪红光）	Assets/Product/Effect/Prefab/FxWanfa/FxChessWarningKing.prefab					
16	女王即将行动（闪红光）	Assets/Product/Effect/Prefab/FxWanfa/FxChessWarningQueen.prefab					
