Key	Params
ElementIdList	['1', '2', '3', '4', '5', '6']
GeneralSkillIdList	['3', '2', '5', '4', '6', '-1']
SpecialGeneralSkillIdList	['-1', '-1', '-1', '7', '-1', '1']
DefaultElementName	['暂无']
DefaultElementIcon	['Assets/Product/Texture/Image/IconType/IconTypeYsWeizhiWhite.png']
CharacterDamageDesc1	['1.能量/效应的伤害受到能量/效应的抗性、增伤、弱点的影响\\n2.效应的伤害还会受能量抗性、增伤的影响，但不受能量弱点的影响（熠光效应除外）']
CharacterDamageRow	['能量伤害', '衍生效应伤害']
CharacterDamageColumn	['能量抗性', '能量增伤', '能量弱点', '效应抗性', '效应增伤', '效应弱点']
CharacterDamageDesc2	['3.熠光效应较特殊，其伤害同时受雷、电束、熠光的抗性、增伤、弱点的影响']
CharacterDamageOther	['熠光效应伤害', '抗性、增伤、弱点', '雷', '电束', '熠光']
