DrawId	IsUp	Name	Type	ProbShow	Sort
101		['S级泛用机体(含保底)', 'S级泛用机体(基础掉落)', 'B、A级泛用机体', '角色碎片', '紫色装备', '突破材料', '经验材料', '螺母箱']		['1.90%', '0.50%', '13.95%', '22.11%', '28.39%', '14.42%', '4.81%', '14.42%']	
201		['六星武器', '五星武器', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['5.00%', '15.00%', '33.40%', '27.90%', '9.35%', '9.35%']	
211		['六星意识', '五星意识', '紫色意识', '蓝色意识', '螺母箱']		['5.00%', '15.00%', '34.00%', '38.50%', '7.50%']	
301	[True, True]	['【6星】噬狼枪', '【5星】暗影紫光', '【6星】狂乱融合炮', '【6星】神赐者', '【5星】熔岩之柱', '【5星】卫士挂载', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
302	[True, True]	['【6星】红莲狂士', '【5星】九字之定', '【6星】斩魂者', '【6星】漆黑', '【5星】石之心', '【5星】动轮大剑', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
303	[True, True]	['【6星】影打—逆断', '【5星】九字之定', '【6星】奇美拉-逆断', '【6星】大神威', '【5星】电光石火', '【5星】动轮大剑', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
304	[True, True]	['【6星】零式', '【5星】卫士挂载', '【6星】雷米尔', '【6星】狂乱融合炮', '【5星】猎隼E-3320', '【5星】熔岩之柱', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
305	[True, True]	['【6星】神赐者', '【5星】卫士挂载', '【6星】噬狼枪', '【6星】红莲狂士', '【5星】暗影紫光', '【5星】九字之定', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
306	[True, True]	['【6星】天龙之风', '【5星】卫士挂载', '【6星】大神威', '【6星】雷米尔', '【5星】动轮大剑', '【5星】猎隼E-3320', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
307	[True, True]	['【6星】雷米尔', '【5星】猎隼E-3320', '【6星】红莲狂士', '【6星】斩魂者', '【5星】九字之定', '【5星】石之心', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
308	[True, True]	['【6星】奇美拉-逆断', '【5星】电光石火', '【6星】影打—逆断', '【6星】斩魂者', '【5星】九字之定', '【5星】石之心', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
309	[True, True]	['【6星】大神威', '【5星】动轮大剑', '【6星】零式', '【6星】噬狼枪', '【5星】卫士挂载', '【5星】暗影紫光', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
310	[True, True]	['【6星】漆黑', '【5星】动轮大剑', '【6星】神赐者', '【6星】奇美拉-逆断', '【5星】卫士挂载', '【5星】电光石火', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
311	[True, True]	['【6星】狂乱融合炮', '【5星】熔岩之柱', '【6星】天龙之风', '【6星】影打—逆断', '【5星】卫士挂载', '【5星】九字之定', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
312	[True, True]	['【6星】斩魂者', '【5星】石之心', '【6星】漆黑', '【6星】零式', '【5星】动轮大剑', '【5星】卫士挂载', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
313	[True, True]	['【6星】零度定标', '【5星】暗影紫光', '【6星】狂乱融合炮', '【6星】神赐者', '【5星】熔岩之柱', '【5星】卫士挂载', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
314	[True, True]	['【6星】核基红龙', '【5星】熔岩之柱', '【6星】天龙之风', '【6星】影打—逆断', '【5星】卫士挂载', '【5星】九字之定', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
315	[True, True]	['【6星】机韵', '【5星】电光石火', '【6星】漆黑', '【6星】斩魂者', '【5星】动轮大剑', '【5星】石之心', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
501		['初始家具图纸', '咖啡厅家具图纸', '赛博朋克家具图纸', '家具币X5', '家具币X10', '家具币X15', '家具币X20', '咖啡厅家具', '赛博朋克家具', '涂装设计草稿', '宿舍入住凭证']		['7.50%', '7.50%', '7.00%', '15.00%', '10.00%', '8.00%', '5.00%', '10.00%', '10.00%', '15.00%', '5.00%']	
1001	[True, True]	['【6星】红樱', '【5星】九字之定', '【6星】噬狼枪', '【6星】零式', '【5星】暗影紫光', '【5星】卫士挂载', '紫色武器', '蓝色武器', '螺母箱', '突破材料']		['4.00%', '12.00%', '0.50%', '0.50%', '1.50%', '1.50%', '33.40%', '27.90%', '9.35%', '9.35%']	
1002		['S级泛用机体(含保底)', 'S级泛用机体(基础掉落)', 'B、A级泛用机体', '角色碎片', '紫色装备', '突破材料', '经验材料', '螺母箱']		['1.90%', '0.50%', '13.95%', '22.11%', '28.39%', '14.42%', '4.81%', '14.42%']	
1003		['S级泛用机体(含保底)', 'S级泛用机体(基础掉落)', 'B、A级泛用机体', '角色碎片', '紫色装备', '突破材料', '经验材料', '螺母箱']		['1.90%', '0.50%', '13.95%', '22.11%', '28.39%', '14.42%', '4.81%', '14.42%']	
1004		['S级泛用机体(含保底)', 'S级泛用机体(基础掉落)', 'B、A级泛用机体', '角色碎片', '紫色装备', '突破材料', '经验材料', '螺母箱']		['1.90%', '0.50%', '13.95%', '22.11%', '28.39%', '14.42%', '4.81%', '14.42%']	
