Id	GroupId	GroupName	GroupNameEn	GroupLogo	GroupDescription	CharacterId	HeadPortrait	GraduationPortrait	Port	Type	InVisible	CanClickGroup
1	1	灰鸦小队	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1021001	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	1	1		
2	1	灰鸦小队	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1031001	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	2	1		
3	2	灰鸦小队·中级	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1021002	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4S.png	3	1		
4	2	灰鸦小队·中级	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1011002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	4	1		
5	2	灰鸦小队·中级	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1031002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4S.png	5	1		
6	3	灰鸦小队·高级	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1021004	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya4.png	6	1		
7	3	灰鸦小队·高级	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1011003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4SS.png	7	1		
8	3	灰鸦小队·高级	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	空中花园执行者部队下属灰鸦小队，擅长执行地面作战任务。	1031003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4SS.png	8	1		
9	4	突击鹰小队	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	1061002	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	9	1		
10	4	突击鹰小队	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	1061003	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4SS.png	10	1		
11	4	突击鹰小队	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	空中花园执行者部队下属突击鹰小队，斥候小队，主要负责地面侦查任务。	1121002	Assets/Product/Texture/Image/RolePlayer/RoleHeadKuluomu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKuluomu4.png	11	1		
