FashionId	GroupId
6000505	52
6000506	53
6000605	55
6000705	99
6000804	56
6000805	57
6000806	58
6001404	45
6001405	46
6001406	47
6001605	48
6001606	49
6001607	50
6001804	18
6001805	19
6001905	103
6001906	104
6002005	107
6002305	39
6002306	40
6002307	41
6002504	24
6002505	25
6002506	26
6002604	67
6002605	68
6002606	69
6002704	3
6002705	4
6002805	43
6002806	44
6002904	9
6002905	10
6002906	11
6002907	12
6002909	13
6003005	70
6003105	65
6003106	66
6003205	74
6003304	75
6003305	76
6003306	77
6003404	78
6003405	79
6003406	80
6003605	42
6003704	100
6003705	101
6003706	102
6003804	81
6003805	82
6003806	83
6003904	59
6003905	60
6003906	61
6003907	62
6004004	85
6004005	86
6004104	71
6004105	72
6004106	73
6004204	63
6004205	64
6004304	14
6004305	15
6004306	16
6004404	87
6004504	30
6004505	31
6004506	32
6004604	88
6004605	89
6004606	90
6004704	91
6004705	92
6004706	93
6004804	105
6004805	106
6004904	94
6004905	95
6005004	51
6005005	108
6005304	27
6005305	28
6005404	96
6005405	97
6005504	98
6005604	20
6005704	84
6005804	54
6005904	109
6110306	1
6110307	2
6210307	5
6210404	6
6210405	7
6210406	8
6310205	17
6410305	21
6410306	22
6410307	23
6510307	29
6610306	33
6610307	34
6710105	35
6710306	36
6710307	37
6710308	38
12010001	2
12010002	1
12020001	6
12020002	5
12020004	7
12020005	8
12030001	17
12040001	21
12040002	22
12040003	23
12040005	75
12040006	76
12040007	77
12050001	29
12060001	33
12060004	34
12070001	35
12070002	37
12070003	38
12070004	36
12110002	53
12110003	52
12130001	99
12140001	55
12170001	56
12170002	57
12170004	58
12200001	45
12200002	46
12200003	47
12230002	48
12230003	49
12230004	50
12240001	18
12240003	19
12250001	103
12250002	104
12260001	107
12280001	39
12280002	40
12280003	41
12300001	24
12300002	25
12300003	26
12310001	67
12310002	68
12310003	69
12320001	3
12320002	4
12330001	43
12330002	44
12340001	9
12340002	10
12340003	11
12340004	12
12340005	13
12350001	70
12360001	65
12360002	66
12370001	74
12380001	78
12380002	79
12380003	80
12400001	42
12410001	100
12410002	101
12410003	102
12420001	81
12420002	82
12420003	83
12430001	59
12430002	60
12430003	61
12430004	62
12440001	85
12440002	86
12450001	71
12450002	72
12450003	73
12460001	63
12460002	64
12470001	14
12470002	15
12470004	16
12480001	87
12490001	30
12490002	31
12490003	32
12500001	88
12500002	89
12500003	90
12510001	91
12510002	92
12510003	93
12520001	105
12520002	106
12530001	94
12530002	95
12540001	51
12540003	108
12570001	27
12570002	28
12580001	96
12580002	97
12590001	98
12600001	20
12610001	84
12620001	54
12630001	109
