Id	Priority	EffectName	DetailDesc	TypeToPrefabPaths
		FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
1		FxUiTacticsModeLine	Test	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
2		FxUiFightTipsGuidedAim	Test	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
3		FxUiFightTipsGuidedAim	Test	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
103002090		FxUiTacticsModeLine	指示器	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
749910		FxUiTacticsModeLine	目标点	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
752149		FxUiTacticsModeLine	？	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
4		FxUiTacticsModeLine	目标点	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim02.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips02.prefab']
5	5	FxUiTacticsModeLine	可调查	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim03.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips03.prefab']
6	10	FxUiTacticsModeLine	可调查	['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
7	10	FxUiTacticsModeLine		['Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAim.prefab', 'Assets/Product/Ui/UiFightPrefab/UiFightNavigationMarker/FightNavigationMarkerAimTips.prefab']
