Key	Describe	UiTemplate	UiCotainer	RollCharRandomRangeHorizontal	RollCharRandomRangeVertical	RollCharMinDir	RollCharMaxDir	RollCharSpeed	RollCharLifeTime	RollCharBeginOpacity	RollCharEndOpacity	RollCharChangeOpacityTime	RollCharStayDuration	RollCharStayTime	RollCharOffsetX	RollCharOffsetY	GeneralTemplate	IconUrl	IconColor	IconColorAlpha	TextColor	TextScale
Normal	物理	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True		FFFFFF	1.0	FFFFFF	0.8999
Crit	物理暴击	Assets/Product/Ui/UiFightPrefab/CritTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FFFFFF	0.1	FAE52A	0.8999
Fire	火	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Electric	雷	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Ice	冰	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Dark	暗	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.5	FFFFFF	0.8999
Nihility	空	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Lifesteal	生命偷取（目前没用）	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightSuckBloodTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Cure	治疗	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	15.0	15.0			160.0	0.75		1.0	0.2	1.5	0.5		60.0	True	Assets/Product/Texture/Image/UiFight/UiFightCureTemplate.png	FFFFFF	0.5	FFFFFF	0.8999
Execute	独域处决	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0			FF9D01	0.6299	FF9743	0.8999
DoubleCrit	双倍暴击（目前没用）	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.6999	0.2	1.0	0.1	0.4	0.1	20.0	-65.0		Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FF9743	0.8999
NormalMyself	物理 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True		FFFFFF	1.0	FF4A64	0.8999
CritMyself	物理暴击 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True		FFFFFF	0.5	FF4A64	0.8999
FireMyself	火 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FF4A64	0.8999
ElectricMyself	雷 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FF4A64	0.8999
IceMyself	冰 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/ImgIceTemplate.png	FFFFFF	0.5	FF4A64	0.8999
DarkMyself	暗 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightDarkTemplate.png	9E84FF	0.0549	FF4A64	0.8999
Nihilityself	空 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	0.8	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightNihilityTemplate.png	9E84FF	0.0549	FF4A64	0.8999
LifestealMyself	生命偷取（目前没用） 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightSuckBloodTemplate.png	FFFFFF	0.5	76DF9E	0.8999
CureMyself	治疗 自伤	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	15.0	15.0			160.0	0.75		1.0	0.2	1.5	0.5		60.0	True	Assets/Product/Texture/Image/UiFight/UiFightCureTemplate.png	FFFFFF	0.5	76DF9E	0.8999
ExecuteMyself	独域处决 自伤	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0		Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FF9743	0.8999
DoubleCritMyself	双倍暴击（目前没用） 自伤	Assets/Product/Ui/UiFightPrefab/Execution.prefab	NormalContainer	40.0	20.0	35.0	40.0	-150.0	0.75	0.5	1.0	0.1	1.5	0.5	-30.0	20.0	True	Assets/Product/Texture/Image/UiFight/UiFightCritTemplate.png	FF9D01	0.6299	FF9743	0.8999
Sword	斩击	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True			0.5	FFAA4E	0.8999
BurnDamage	燃烧	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightFireTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
ThunderShield	雷盾	Assets/Product/Ui/UiFightPrefab/GirdTemplate.prefab	NormalContainer	50.0	55.0	-20.0	-25.0	120.0	0.5	0.2	0.6	0.1	0.4	0.1	20.0	-65.0	True	Assets/Product/Texture/Image/UiFight/UiFightThunderTemplate.png	FFFFFF	0.5	FFAA4E	0.8999
