Id	GroupId	ActionName	PlayType	UnlockDesc	PlayParams
1	1	动作1	1	动作解锁描述1	['0', 'Attack01', '1', '0', 'Attack01', 'FxR5LuxiyaAtk01']
2	1	动作2	1	动作解锁描述2	['0', 'Attack02', '1', '0', 'Attack02', 'FxR5LuxiyaAtk02']
3	1	动作3	1	动作解锁描述3	['0', 'Attack03', '1', '0', 'Attack03', 'FxR5LuxiyaAtk03']
4	1	动作4	1	动作解锁描述4	['0', 'Attack04', '1', '0', 'Attack04', 'FxR5LuxiyaAtk04']
5	1	动作5	1	动作解锁描述5	['0', 'Attack05']
6	1	动作6	1	动作解锁描述6	['0', 'Attack06']
7	1	动作7	1	动作解锁描述7	['0', 'Attack07']
8	1	动作8	1	动作解锁描述8	['0', 'Attack08']
9	1	动作9	1	动作解锁描述9	['1', 'Attack11']
10	1	动作10	1	动作解锁描述10	['1', 'Attack12']
11	1	动作11	1	动作解锁描述11	['1', 'Attack13']
12	1	动作12	1	动作解锁描述12	
13	1	动作13	1	动作解锁描述13	
14	1	动作14	1	动作解锁描述14	
15	1	动作15	1	动作解锁描述15	
16	1	动作16	1	动作解锁描述16	
17	1	动作17	1	动作解锁描述17	
103201	10320119	可爱的拍照动作	1	可爱的拍照动作	['2', 'LevelAttack01', '1', '0']
103202	10320119	元气满满的拍照动作	1	元气满满的拍照动作	['2', 'LevelAttack02', '1', '0']
103203	10320119	动感十足的拍照动作	1	动感十足的拍照动作	['2', 'LevelAttack03', '1', '0']
112501	11250101	希声·泛用式涂装姿势I	1	希声·泛用式涂装姿势I	['3', 'LevelAttack38']
112502	11250101	希声·泛用式涂装姿势Ⅱ	1	希声·泛用式涂装姿势Ⅱ	['3', 'LevelAttack23']
112511	11250102	希声·曜弦游吟涂装姿势Ⅱ	1	希声·曜弦游吟涂装姿势Ⅱ	['3', 'LevelAttack29']
112512	11250102	希声·曜弦游吟涂装姿势I	1	希声·曜弦游吟涂装姿势I	['3', 'LevelAttack30']
15021401	150214171	帅气的动作	1	那把椅子	['2', 'LevelAttack07']
