Id	StageType	Title	Image	Desc1	Desc2
1	67	绿色炸弹	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips1.png	绿色炸弹	以角色所处方格为中心，附近九宫格的范围内将发生爆炸，审判阶段站在对应爆炸范围的队友将不可得分。（角色可免疫自身所携带的炸弹）
2	67	蓝色炸弹	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips2.png	蓝色炸弹	以角色所处方格为中心，斜向的方格且一直延续至地图边缘的范围内将发生爆炸，审判阶段站在对应爆炸范围的队友将不可得分。（角色可免疫自身所携带的炸弹）
3	67	黄色炸弹	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips3.png	黄色炸弹	以角色所处方格为中心，相邻十字向的方格且一直延续至地图边缘的范围内将发生爆炸，审判阶段站在对应爆炸范围的队友将不可得分。（角色可免疫自身所携带的炸弹）
4	67	红潮方格	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips4.png	红潮方格	当方格显出现红色提示时，对应单个方格将有红潮蔓出，审判阶段站在对应爆炸范围的角色均不可得分。
5	68	切换赛道	Assets/Product/Texture/Image/UiMoeWar/UiParkourTips02.png	上下滑动可以让机体切换赛道	
6	68	跳跃	Assets/Product/Texture/Image/UiMoeWar/UiParkourTips03.png	使用技能可以让机体跳起来躲避低障碍物	
7	68	滑铲	Assets/Product/Texture/Image/UiMoeWar/UiParkourTips01.png	使用技能可以让机体滑铲躲过高障碍物	
8	76	绿色炸弹	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips1.png	绿色炸弹	以角色所处方格为中心，附近九宫格的范围内将发生爆炸。（角色可免疫自身所携带的炸弹）
9	76	蓝色炸弹	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips2.png	蓝色炸弹	以角色所处方格为中心，斜向的方格且一直延续至地图边缘的范围内将发生爆炸。（角色可免疫自身所携带的炸弹）
10	76	黄色炸弹	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialTrainBreakthroughTips3.png	黄色炸弹	以角色所处方格为中心，相邻十字向的方格且一直延续至地图边缘的范围内将发生爆炸。（角色可免疫自身所携带的炸弹）
11	61	材料及工具	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialYuanXiao.png	材料及工具	用于制作汤圆的各种材料及工具，与出球栏显示的材料及工具技能球相对应。
12	61	制作出球栏	Assets/Product/Texture/Image/UiFubenSpecialTrainBreakthrough/UiSpecialYuanXiao2.png	制作出球栏	每碗汤圆所需的材料及工具不同，将随机生成不同数量不同顺序的组合。根据显示按顺序点击对应的材料及工具技能球。
13	59	红色技能球	Assets/Product/Texture/Image/UiFubenSnowGame/UiFightSnowGameTips1.png	红色技能球	向正前方发射1个水球，命中玩家时可直接束缚，或直接处决束缚状态下的玩家。
14	59	蓝色技能球	Assets/Product/Texture/Image/UiFubenSnowGame/UiFightSnowGameTips4.png	蓝色技能球	向正前方连续发射2个水球，连续命中玩家时可直接处决。
15	59	黄色技能球	Assets/Product/Texture/Image/UiFubenSnowGame/UiFightSnowGameTips3.png	黄色技能球	为自身增加一层持续5秒的护盾，可免疫1次攻击。
16	59	紫色技能球	Assets/Product/Texture/Image/UiFubenSnowGame/UiFightSnowGameTips2.png	紫色技能球	在原地生成一片旋涡，位于旋涡内的玩家将被吸附。
