Id	Name	BeginStoryId	RankTitle	RewardId
1	巴别塔计划			
2	无垠沙海旧约	1111031		
3	巴别塔·游乐场	HD00201BA		
4	巴别塔·极光天穹	HD00201BB		
5	巴别塔·白泽枢	HD00201BC		
6	巴别塔·荒尘蜃楼			
7	巴别塔·洋流涡			
8	巴别塔·黑星坠落			1003
9	巴别塔·岖夜行			1003
10	巴别塔·无垠沙海			542506
11	巴别塔·化物归墟			542505
12	巴别塔·游乐场			542508
13	巴别塔··凯旋潮			542507
14	巴别塔·极光天穹			542510
15	巴别塔·印象星空			542509
16	巴别塔·白泽枢			542512
17	巴别塔·幽界林海			542511
18	巴别塔·荒尘蜃楼			61541
19	巴别塔·无隙星泊			61540
20	巴别塔·洋流涡			63069
21	巴别塔·烬域墟影			63068
22	巴别塔·烬域墟影			64683
23	巴别塔·湮维残厄			64682
24	巴别塔·黯潮蚀光			66863
