Id	MainUiBg	StagePrefab	StageGuidePrefab	Name	Title	Number	ChallengeUiBg	SupportUiBg	ProtectTipText
30090421		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	None				
30090422		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	None				
30090423		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	None				
30090424		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-4	None				
30090425		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-5	None				
30150222		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPV-2	None				
30150223		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPV-1	None				
30150224		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPV-3	None				
30150221		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPV-4	None				
30150225		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPV-5	None				
30150231		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	None				
30150232		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	None				
30150233		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-4	None				
30150234		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	None				
30150235		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	None				
30150236		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	None				
30150237		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	None				
30150238		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	None				
30150239		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	None				
30150240		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	None				
30150241		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	None1	1			
30150242		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	None2	2			
30150243		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	None3	3			
30150244		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	洋流涡	1			
30150245		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	洋流涡	2			
30150246		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	洋流涡	3			
30150247		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	岖夜行	3			
30150248		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	岖夜行	2			
30150249		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	岖夜行	1			
30150260		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	黑星坠落	1			
30150261		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	黑星坠落	2			
30150262		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	黑星坠落	3			
30150263		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	黑星坠落	4			
30150264		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	黑星坠落	5			
30150265		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-1	化物归墟	1			
30150266		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-2	化物归墟	2			
30150267		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BP-3	化物归墟	3			
30150268		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-1	无垠沙海	1			
30150269		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-2	无垠沙海	2			
30150270		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-3	无垠沙海	3			
30150271		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-4	无垠沙海	4			
30150272		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerReprint.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-5	无垠沙海	5			
30150273		Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTowerNew.prefab	Assets/Product/Ui/ComponentPrefab/BabelTower/GrideStageBabelTower.prefab	BPR-1	游乐园	1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerMainBg4.png	
