Id	Name	GuideBg	Description
1	BP1-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	5
2	BP1-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	9
3	BP1-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	13
4	BP1-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
5	BP2-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	3
6	BP2-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	8
7	BP2-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	12
8	BP2-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
9	BP3-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	2
10	BP3-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	7
11	BP3-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	14
12	BP3-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
13	BP4-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	5
14	BP4-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	10
15	BP4-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	15
16	BP4-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
17	BP5-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	4
18	BP5-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	7
19	BP5-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	12
20	BP5-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
21	BPV4-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	4
22	BPV4-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	8
23	BPV4-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	13
24	BPV4-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
25	BPV2-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	3
26	BPV2-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	6
27	BPV2-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	13
28	BPV2-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
29	BPV1-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	2
30	BPV1-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	8
31	BPV1-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	12
32	BPV1-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
33	BPV3-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	4
34	BPV3-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	8
35	BPV3-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	12
36	BPV3-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
37	BPV5-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	3
38	BPV5-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	8
39	BPV5-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	13
40	BPV5-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
41	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
42	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
43	BP-4	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
44	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
45	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
46	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
47	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
48	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
49	BP-2	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
50	BP-3	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
51	BP-1	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerDifficultBg.png	自选
