Type	Description	DescriptionRevert	DescriptionEmpty
101			
102	电流涌动，你失去了插件单元：<color=#0e70bd>%s</color>		尚未获得插件单元，似乎无事发生
103		所有插件单元均已满级，似乎无事发生	尚未获得插件单元，似乎无事发生
201	柔和的恢复力场笼罩全体队员：小队全体成员血量恢复<color=#0e70bd>%d%%</color>	诡异的迷雾开始溢散：小队全体成员血量失去<color=#0e70bd>%d%%</color>	
202	<color=#0e70bd>%s</color>获得能力补给，恢复生命<color=#0e70bd>%d%%</color>	<color=#0e70bd>%s</color>机体损伤，失去生命<color=#0e70bd>%d%%</color>	
301	补给无异常：获得<color=#0e70bd>%s</color>个畸变方块	发现异常力场：失去<color=#0e70bd>%s</color>个畸变方块	发现异常力场：失去<color=#0e70bd>%s</color>个畸变方块
302	补给无异常：获得<color=#0e70bd>%s</color>个畸变方块	发现异常力场：失去<color=#0e70bd>%s</color>个畸变方块	发现异常力场：失去<color=#0e70bd>%s</color>个畸变方块
303	补给无异常：获得<color=#0e70bd>%s</color>个畸变方块	发现异常力场：失去<color=#0e70bd>%s</color>个畸变方块	发现异常力场：失去<color=#0e70bd>%s</color>个畸变方块
401	行动模块强化：获得<color=#0e70bd>%s</color>点行动力	行动模块发生异常：失去<color=#0e70bd>%s</color>点行动力	行动模块发生异常：失去行动力
501	帕弥什浓度异常波动，对机体造成损伤：获得负面效果<color=#0e70bd>%s</color>		
502	洗消成功，净化了负面效果		小队成员并无负面效果，洗消中断…
