ChapterId	Note	SkipCondition	TRPGChapterId	StoryImgs	StorySkipId	StorySkipName	StoryChpterType	StoryChapterId	StoryChapterName
1009	第九章	84100913		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump09.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump04.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump06.png']	[5109, 5204, 5206]	['隐藏剧情', '间章', '间章']	[0, 77, 77]	[1109, 1006002, 1009001]	['黑星坠落', '陨落陆地之星', '帷幕与画布']
1109	第九章	84200903		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump10.png']	[5010]	['下一章节']	[0]	[1010]	['永久列车']
1010	第十章	84101012		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump10.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump05.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump07.png']	[5110, 5205, 5207]	['隐藏剧情', '间章', '间章']	[0, 77, 77]	[1110, 1007002, 1010001]	['永久列车', '迷途真理', '准星所向']
1110	第十章	84201006		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump11.png']	[5011]	['下一章节']	[0]	[1011]	['九龙夜航']
1011	第十一章	84101112		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump11.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump08.png']	[5111, 5208]	['隐藏剧情', '间章']	[0, 77]	[1111, 1011001]	['九龙夜航', '无瑕者']
1111	第十一章	84201105		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump12.png']	[5012]	['下一章节']	[0]	[1012]	['九龙环城']
1012	第十二章	84201207		['Assets/Product/Texture/Image/StoryJump/StoryPrequelJump02.png', 'Assets/Product/Texture/Image/StoryJump/StoryMainLineJump13.png', 'Assets/Product/Texture/Image/StoryJump/StoryExChapterJump01.png']	[5202, 5013, 5302]	['间章', '下一章节', '外篇旧闻·第一章']	[77, 0, 74]	[1001003, 1013, 2001]	['宝物', '终焉福音', '湛蓝曙日']
1112	第十二章	84201207		['Assets/Product/Texture/Image/StoryJump/StoryPrequelJump02.png', 'Assets/Product/Texture/Image/StoryJump/StoryMainLineJump13.png', 'Assets/Product/Texture/Image/StoryJump/StoryExChapterJump01.png']	[5202, 5013, 5302]	['间章', '下一章节', '外篇旧闻·第一章']	[77, 0, 74]	[1001003, 1013, 2001]	['宝物', '终焉福音', '湛蓝曙日']
1013	第十三章	84101358	4	['Assets/Product/Texture/Image/StoryJump/StoryPrequelJump16.png', 'Assets/Product/Texture/Image/StoryJump/StoryExChapterJump04.png']	[5216, 5308]	['间章', '下一章节']	[77, 74]	[1017001, 2004]	['虚妄的曙光', '咏叹回声']
1014	第十四章	84101415		['Assets/Product/Texture/Image/StoryJump/StoryMainLineJump14.png', 'Assets/Product/Texture/Image/StoryJump/StoryPrequelJump09.png']	[5114, 5209]	['隐藏剧情', '间章']	[0, 77]	[1114, 1011002]	['视线囚笼', '执棋者']
