Id	Type	NextMessageIds	Name	CueId	RoleIcon	Desc	ShowIcon	ConfirmContent
1041001	1		埃丽安娜的战术物资包			埃丽安娜的战术物资包，里面装着1支过期的血清，半卷脏兮兮的绷带，一个用于存储星舰平面图的小巧存储器，和一个压缩饼干的纸壳子，纸壳上认真写着瓦伦的通讯联络方式和她的名字。她最后的力气全部用来按下那个关门的按钮，她没来得及留下任何遗言。		['结束']
1041002	1	[1041003]				这个存储器被丢在通讯塔下方，大约是有人刻意丢下来的，法奥斯教官服的结实材质很好地充当了降落伞的结构。存储器还能勉强打开，打开之后，是一小段录像。		['继续']
1041003	1	[1041004]	瓦伦			埃丽安娜，对不起啊，要失约了。我没有保护好艾尔和托比……哈哈，虽然我很快也要下去见他们了。但无论如何，我们成功了！我们成功保护了通讯塔！		['继续']
1041004	1	[1041005]	瓦伦			尽管也还是有点遗憾，之前答应过你要一起去吃空中花园的那家特色餐厅……哎，也不知道那边情况怎么样，希望等你回去的时候，那家餐厅还能开着吧。		['继续']
1041005	1	[1041006]	瓦伦			要替我尝尝特色烧鱼的味道啊！那个宣传图看起来是真的很好吃！		['继续']
1041006	1	[1041007]	瓦伦			咳……好啦，其他也没什么事情了。我的账户密码是你的生日，剩下的钱你随便花，这可能是我最后能留给你的东西了。其他也没什么……那就这样吧。		['继续']
1041007	1	[1041008]				他俯身看向镜头，沾染鲜血的面孔温柔而缱绻。		['继续']
1041008	1	[1041009]	瓦伦			埃丽安娜，你不要追上我的脚步，慢一点来，不要着急。你要返回空中花园，幸福的变老，但……请允许我的自私，请不要忘记我。		['继续']
1041009	1		瓦伦			因为我会在群星的尽头等待你，我们会在那里……再次相见。		['结束']
1041010	1	[1041011]	凡妮莎			按照埃丽安娜的地图，仓库位置就在这里……		['继续']
1041011	1	[1041012]	构造体士兵A			凡妮莎指挥官，不建议进去，里面帕弥什浓度很高……		['继续']
1041012	1	[1041013]	凡妮莎			不进去，我用你当重火力炮吗？想办法把门打开。		['继续']
1041013	1	[1041014]	构造体士兵B			明、明白……		['继续']
1041014	1	[1041015]	构造体士兵A			掩护——！好多怪物——！撤、撤退——		['继续']
1041015	1	[1041016]	凡妮莎			——撤退什么！给我搜集物资！能拿多少拿多少！呃……		['继续']
1041016	1	[1041017]	构造体士兵B			凡妮莎指挥官！你受伤了——！		['继续']
1041017	1		凡妮莎			——别废话！快搬！能搬多少就搬多少！重火力炮，还有那组弹药——快！		['结束']
1041018	2	[1041019]				地面散落着很多战术物资包。这一个战术物资包旁边别着一个很小的猫咪徽章，除去标配的战术物资以外，里面还装着一个已经损坏的游戏机。		['继续']
1041019	1	[1041020]				这个战术物资包上沾染着大片血迹，里面有一页从笔记本上撕下来的小纸条，上面写着：		['继续']
1041020	1	[1041021]				没有人会在意蜉蝣的死去，也没有人会在意我的死去。一切都在冉冉升起，一切都在沉沉坠下。		['继续']
1041021	1	[1041022]				另一个战术包夹层里藏了一排大口径子弹，和一些违规改造的枪支零件——这些是违反法奥斯校规的！		['继续']
1041022	1					可是……他们的主人在哪里呢？		['结束']
1041023	1	[1041024]				半块沾染灰尘的饼干。不知道被什么人丢在废墟里的半块饼干，一侧有一个被用力握过的手印。		['继续']
1041024	1					在这样物资紧缺的环境下，会是谁这样“奢侈”地丢掉了这半块饼干？		['结束']
1041025	1	[1041026]				研究院的花圃中摇曳着几丛蒲公英。它们长的歪歪扭扭，叶片边缘带着些营养不良的黄色。		['继续']
1041026	1					但它们一直活在花圃中，它们注视着这一切。		['结束']
1041027	1	[1041028]				露西亚的“成长记录盒”，里面装满了露西亚成长中的痕迹。		['继续']
1041028	1	[1041029]				第一次画的画，第一次用到只剩下短短一截的蜡笔。第一次考试拿回来的成绩单，第一次做出来的剪报手册。还有……		['继续']
1041029	1					刚刚被放进去的一副耳机，和法奥斯学院的录取通知书。		['结束']
1041030	1	[1041031]	法奥斯校报			本报讯：近日，学院“空中指挥所”在往返地面轮值实训时于高空遭遇武装劫持，计划利用“空中指挥所”撞毁天堂桥。		['继续']
1041031	1	[1041032]	法奥斯校报			令人振奋的是，在此次突发事件中，空中指挥所轮值的两名学员与地面通讯员联手，在多名在校生的协助下，击溃武装劫持者的阴谋。		['继续']
1041032	1	[1041033]	法奥斯校报			幸存伤员已被转移到法奥斯校医院，学院与相关保险机构已为阵亡的机组人员启动最高级别的抚恤补偿机制。		['继续']
1041033	1	[1041034]	法奥斯校报			目前，天堂桥和被损毁的法奥斯训练场正在维修当中，有需要预约使用的同学，请转至第八至第十一训练场……		['继续']
1041034	1		法奥斯校报			接下来，为您报道下一条新闻。		['结束']
1041035	1	[1041036]				一本抄录了“法奥斯校歌”的笔记本，上面有一些增删和划改的痕迹。		['继续']
1041036	1	[1041037]				远方，烽火正在蔓延。先行者，衣袍沾染鲜血。		['继续']
1041037	1	[1041038]				我将与昨日的校园告别，带着曾被教导的一切。		['继续']
1041038	1	[1041039]				梦想……黄金时代发芽。火种，反击时代重燃。		['继续']
1041039	1	[1041040]				废墟中依稀有道路浮现——		['继续']
1041040	1	[1041041]				那是……无数先行者的足迹。		['继续']
