Id	Name	Description	Icon	BuffType	Priority
773000	利刃Ⅰ	普通攻击额外伤害加成提升15%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	1	1
773001	利刃Ⅱ	普通攻击额外伤害加成提升30%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21012.png	1	2
773002	利刃Ⅲ	普通攻击额外伤害加成提升45%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21013.png	1	3
773006	超频Ⅰ	技能额外伤害加成提升10%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	1	1
773007	超频Ⅱ	技能额外伤害加成提升20%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21062.png	1	2
773008	超频Ⅲ	技能额外伤害加成提升30%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21063.png	1	3
773012	高热切割Ⅰ	近战伤害时降低目标10%的防御	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32111.png	1	1
773013	高热切割Ⅱ	近战伤害时降低目标20%的防御	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32112.png	1	2
773014	高热切割Ⅲ	近战伤害时降低目标30%的防御	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32113.png	1	3
773027	结构变形	攻击可使目标额外伤害加成降低40%，持续5秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12241.png	1	1
773034	金属疲劳	造成伤害时，额外伤害加成提升30%，持续10秒，冷却15秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon32101.png	1	1
773041	固守	攻击有20%概率获得15%最大生命护盾，持续5秒，冷却8秒	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21161.png	1	1
