Id	Description	Title
2001	消耗1点次数，出战构造体的生命值恢复至100%。	维修工具组
2002	消耗1点次数，获得支援配额。	配额空投舱
2003	消耗1点次数，获得3名支援角色。	支援小队
2004	消耗45个支援配额，获得一名支援角色	支援角色
3001	随机获得了1个增益效果	事件结果
3002	获得3名支援角色	事件结果
3003	出战构造体的生命值恢复至100%	事件结果
3004	获得1点挑战次数	事件结果
3005	失去1点挑战次数	事件结果
3006	出战构造体失去30%的当前生命值	事件结果
3007	获得{0}个支援配额	事件结果
3008	失去{0}个支援配额	事件结果
3009	出战构造体的生命值恢复至100%	事件结果
3010	出战构造体失去50%的当前生命值	事件结果
3011	获得1名支援角色	事件结果
3012	失去{0}个支援配额	事件结果
3013	获得{0}个支援配额	事件结果
3014	获得{0}个支援配额	事件结果
3015	获得{0}个支援配额	事件结果
3016	没有任何事情发生	事件结果
3017	随机获得了1个增益效果	事件结果
3018	随机获得了1个增益效果	事件结果
3019	随机获得了1个增益效果	事件结果
3020	随机获得了1个增益效果	事件结果
4001	获得{0}个支援配额	事件结果
4002	获得{0}个支援配额	事件结果
4003	获得{0}个支援配额	事件结果
4004	获得{0}个支援配额	事件结果
4005	获得{0}个万圣节糖果	事件结果
4006	获得{0}个支援证物	事件结果
4007	失去{0}个支援配额	事件结果
4008	失去{0}个支援配额	事件结果
4009	失去{0}个支援配额	事件结果
4010	失去{0}个支援配额	事件结果
4011	出战构造体失去5%的当前生命值	事件结果
4012	出战构造体失去15%的当前生命值	事件结果
4013	出战构造体失去30%的当前生命值	事件结果
4014	生命值低于50%的出战构造体的生命值恢复至50%	事件结果
4015	出战构造体的生命值恢复至100%	事件结果
4016	没有任何事情发生	事件结果
