Id	CharacterId	TalentType	Name	TalentDes	Icon	BattleRoomBg
1	1041003	1	游侠	高机动能力并简化核心攻击	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
2	1041003	2	疾电叱雷	额外必杀并留下雷阵强化	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
3	1531004	1	殿堂首席	强化必杀与流星球攻击	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
4	1531004	2	隐者	离场后仍会协助战斗	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
5	1231002	1	时空契约	高效闪避并频繁触发超算	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
6	1231002	2	璃心人偶	切换后可迅速高额爆发	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
7	1221002	1	小家伙	高速连击获得多种强化	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
8	1221002	2	Boom！	诺克提会提供一些…帮助？	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
9	1031002	1	圣裁	轻而易举地控制敌人	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconSingle.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDi.png
10	1031002	2	领域供能	在后台为友军提供助力	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerIconRotations.png	Assets/Product/Texture/Atlas/UiRpgTower/UiRpgTowerTagDiTwo.png
