FightEventId	Name	Icon	Desc
2266101	背水一战	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongZhongliyindao.png	无法获取护盾值，来自成员自身的所有治疗效果降低90%（不影响驻守治疗效果）
2266102	寸步难行	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12053.png	每隔30秒，指定一个方格落下陨石：\n陨石会对我方造成伤害并生成红色减速区域，区域内我方移速-50%；\n同时最多存在3个减速区域，减速区域也会继承至后续战斗
2266103	极度虚弱	Assets/Product/Texture/Image/IconSkill/R3ShenweiSS1.png	每隔30秒，指定一个方格落下陨石：\n陨石会对我方造成伤害并生成绿色虚弱区域，区域内我方攻击力-30%；\n同时最多存在3个虚弱区域，虚弱区域也会继承至后续战斗
2266104	背水	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongShezhiyoubao.png	来自成员自身的所有治疗效果降低90%（不影响驻守治疗效果）
2266105	泥沼	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12051.png	每场战斗开始时，随机生成一个红色减速区域，区域内我方移速-50%；\n同时最多存在3个减速区域，减速区域也会继承至后续战斗
2266106	虚弱	Assets/Product/Texture/Image/IconSkill/R2dubianSSS1.png	每场战斗开始时，随机生成一个绿色虚弱区域，区域内我方攻击力-30%；\n同时最多存在3个虚弱区域，虚弱区域也会继承至后续战斗
2266107	buff名字	Assets/Product/Texture/Image/IconSkill/R2dubianSSS1.png	高难继承玩法-环境词缀-不是空怪则清除免疫效果-默认免疫上述所有buff，检测到不是空怪才移除免疫（记得补充技能标记buff）
2266111	衰弱	Assets/Product/Texture/Image/IconSkill/IconSkillEquipPool18.png	敌人对我方造成伤害后，我方移速-30%，持续5秒。
2266112	强攻	Assets/Product/Texture/Image/IconSkill/R2Bulijitehexin1.png	敌人攻击提升30%。
2266113	过热	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongFanyingzhuangjia.png	我方同一成员若释放必杀间隔小于10秒，则累计释放4次必杀后，10秒内无法再释放必杀。
2266121	驻守强化-进攻&先锋型	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon04.png	驻守后，出战角色中<color=#1f93e5>不包含</color>进攻&先锋型成员时，驻守获得以下效果：\n额外伤害加成+50%；\n成功闪避敌人攻击时，造成一次4000%倍率的对应属性伤害，有1秒冷却时间；
2266122	驻守强化-装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	驻守后，出战角色中<color=#1f93e5>不包含</color>装甲型成员时，驻守获得以下效果：\n造成伤害削减目标25%额外伤害减免、60%属性抗性，物理额外削减100%防御；\n每秒获取一颗信号球；
2266123	驻守强化-辅助&增幅型	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon05.png	驻守后，出战角色中<color=#1f93e5>不包含</color>辅助&增幅型成员时，驻守获得以下效果：\n攻击力+50%、对应属性伤害加成+50%，物理属性额外提供+100%暴击率；\n成功闪避敌人攻击时，回复5%最大生命值；
2266124	驻守强化-进攻&先锋型	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon04.png	驻守后，出战角色中<color=#1f93e5>不包含</color>进攻&先锋型成员时，驻守获得以下效果：\n额外伤害加成+50%；\n成功闪避敌人攻击时，造成一次4000%倍率的对应属性伤害，有1秒冷却时间；
2266125	驻守强化-装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	驻守后，出战角色中<color=#1f93e5>不包含</color>装甲型成员时，驻守获得以下效果：\n造成伤害削减目标25%额外伤害减免、60%属性抗性；物理额外削减100%防御；\n每秒获取一颗信号球；
2266126	驻守强化-辅助&增幅型	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon05.png	驻守后，出战角色中<color=#1f93e5>不包含</color>辅助&增幅型成员时，驻守获得以下效果：\n攻击力+50%、对应属性伤害加成+50%，物理属性额外提供+100%暴击率；\n成功闪避敌人攻击时，回复5%最大生命值；
2266127	强健体魄	Assets/Product/Texture/Image/IconSkill/R1lifuSSS1.png	我方成员根据当前血量获得加成，无法重复获取：\n大于80%：获得100%额外伤害加成、霸体与30%额外伤害减免；\n大于50%：获得50%额外伤害加成；大于20%：获得20%额外伤害加成
2266128	驻守强化-湮灭型	Assets/Product/Texture/Image/IconType/IconCharacter6.png	驻守后，出战角色中<color=#1f93e5>不包含</color>湮灭&进攻&先锋型成员时，驻守获得以下效果：\n额外伤害加成+50%；\n成功闪避敌人攻击时，造成一次4000%倍率的对应属性伤害，有1秒冷却时间；
2266129	驻守强化-观测型	Assets/Product/Texture/Image/IconType/IconCharacter8.png	<size=24>驻守后，出战角色中<color=#1f93e5>包含</color>装甲型，<color=#1f93e5>不包含</color>辅助&增幅型成员时，驻守获得以下效果：攻击力+50%、对应属性伤害加成+50%；物理属性额外提供+100%暴击率；成功闪避敌人攻击时，回复5%最大生命值；<color=#1f93e5>包含</color>辅助&增幅型，<color=#1f93e5>不包含</color>装甲型成员时，驻守获得以下效果：造成伤害削减目标25%额外伤害减免、60%属性抗性，物理额外削减100%防御；每秒获取一颗信号球；</size>
2266131	锋锐	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1002.png	敌人受到物理伤害显著提升
2266132	易燃	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerhuo.png	敌人受到火属性伤害显著提升
2266133	雷潮	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1004.png	敌人受到雷属性伤害显著提升
2266134	霜结	Assets/Product/Texture/Image/UiFubenBossSingle/BossSingleIconPowerbing.png	敌人受到冰属性伤害显著提升
2266135	暗蚀	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1006.png	敌人受到暗属性伤害显著提升
2266136	强袭	Assets/Product/Texture/Image/IconAffix/AffixIconNewMod1007.png	敌人受到空属性伤害显著提升
2266141	审戒残诗	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon03.png	后续战斗中，其他敌人在特定时机会召唤维罗妮卡协助作战
2266142	笼幕棘雨	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon02.png	后续战斗中，其他敌人在特定时机会召唤回音协助作战
2266143	熔泉沸炀	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon01.png	后续战斗中，其他敌人在特定时机会召唤斯凯奇协助作战
2266144	琉瓴	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongZhongliyindao.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成怪物5%攻击力的物理伤害，冷却时间2秒，与目标距离越远，概率越高。
2266145	哕血	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12053.png	攻击命中目标叠加一层禁疗，每层降低20%治疗量，持续8秒，最高5层。
2266146	积重	Assets/Product/Texture/Image/IconSkill/R3ShenweiSS1.png	闪避消耗提升50%，闪避值清空后降低30%移速，持续5秒。
2266147	瓦影	Assets/Product/Texture/Image/IconSkill/IconSkillEquipTongyongShezhiyoubao.png	受击时，有15%-25%的几率在攻击者的位置释放雷电，造成怪物8%攻击力的物理伤害，冷却时间2秒，与目标距离越远，概率越高。
2266148	创痕	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon12051.png	攻击命中目标叠加一层禁疗，每层降低20%治疗量，持续5秒，最高3层。
2266149	沉凝	Assets/Product/Texture/Image/IconSkill/R2dubianSSS1.png	闪避消耗提升50%。
2266150	缚狼索	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon08.png	后续战斗中，其他敌人在特定时机会召唤芬里尔协助作战。
2266151	截铳道	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon06.png	后续战斗中，其他敌人在特定时机会召唤蒙扎诺夫人协助作战。
2266152	御征踏	Assets/Product/Texture/Image/UiSucceedBoss/UiSucceedIcon07.png	后续战斗中，其他敌人在特定时机会召唤“国王”协助作战。
