Id	Name	Description	Icon	Level
70001	信号支援	每隔6秒随机获得一个信号球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon015.png	1
70002	进攻强化	进攻型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70003	装甲强化	装甲型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1
70004	链路优化	QTE冷却时间减少1秒	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	1
70005	指挥链	召唤qte后，释放以角色为中心直径6米300%物理伤害的冲击波	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	1
70006	物理强化	物理伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1
70007	反应装甲	构造体的额外伤害减免提升15%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	1
70008	战术切换	每次切换出场都会获得额外2个信号球。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon008.png	1
70009	生命恢复	辅助型泛用机体的治疗效果增加25%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon009.png	1
70010	机动升级	闪避槽上限增加400	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1
70011	反伤	每次受到＞300点伤害都会对伤害来源造成攻击力的300%的伤害。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1
70012	辅助强化	辅助型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	1
70013	元素强化	元素伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	1
70014	进攻强化	进攻型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70015	机械学习	每次成功闪避会降低目标10%的防御，最多可叠加3层	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon021.png	1
70016	强袭型辅助	辅助型泛用机体造成的伤害增加50%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon010.png	1
70017	反伤	每次受到＞300点伤害都会对伤害来源造成攻击力的300%的伤害。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	1
70018	进攻强化	进攻型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70019	元素强化	元素伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	1
70020	物理强化	物理伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1
70021	机动升级	闪避槽上限增加400	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1
70022	算力优势	进入超算空间时，以角色为中心直径6米释放一次冲击波，造成600%物理伤害。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon022.png	1
70023	战术破敌	怪物的霸体值降低25%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon023.png	1
70024	破盾	每次打破霸体，都会眩晕目标2秒。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon012.png	1
70025	怒袭	暴击几率增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	1
70026	进攻强化	进攻型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70027	装甲强化	装甲型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	1
70028	辅助强化	辅助型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	1
70029	元素强化	元素伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	1
70030	整备	初始能量50点	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon024.png	1
70031	机动升级	闪避槽上限增加400	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	1
70032	怒击	暴击伤害增加25%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	1
70033	汲取	进攻型泛用机体每次造成伤害都会为后台未上场的角色恢复自身10%攻击力的生命值	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	1
70034	进攻强化	进攻型泛用机体攻击力增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	1
70035	能源回收	单消/双消/三消时额外获得1/2/3点能量。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	1
70036	电磁振荡	额外伤害加成增加24%，并且释放必杀技能后会获得10秒的霸体效果。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon018.png	1
70037	元素强化	元素伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	1
70038	物理强化	物理伤害增加20%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon005.png	1
70039	固守阵地	释放必杀后构造体会免疫受击，并且免伤效果增加30%，持续10秒。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon019.png	1
70040	信号增强	每消除1个球可使自身额外伤害加成提升3%，持续5秒，可叠加5层。	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	1
70041	信号支援	每隔3秒随机获得一个信号球	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon015.png	2
70042	进攻强化	进攻型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	2
70043	装甲强化	装甲型泛用机体攻击力增加40%	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	2
70044	链路优化	QTE冷却时间减少3秒	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	2
70045	指挥链	召唤qte后，释放以角色为中心直径6米600%物理伤害的冲击波	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon026.png	2
