Type	Name	ColliderName	OffsetXPercent	OffsetYPercent	RadiusPercent	SizeXPercent	SizeYPercent	ShipTip	ButtonTip	IgnoreStoneTypeList
1	普通钩爪	CircleCollider2D		-833	800			等待钩爪晃动到合适的角度	点击按钮使用钩爪	
2	电磁钩爪	CircleCollider2D		-833	800			等待钩爪晃动到合适的角度	点击按钮使用钩爪	
3	大钩爪	CircleCollider2D		-6000	6000			等待钩爪晃动到合适的角度	点击按钮使用钩爪	
4	瞄准	CircleCollider2D		-833	800			通过左下方的按钮改变钩爪角度	点击按钮使用钩爪	
5	蓄力钩爪	CircleCollider2D		-833	800			等待钩爪晃动到合适的角度	长按按钮使用钩爪，松手收回	
6	替身钩爪	CircleCollider2D		-6000	6000			等待钩爪晃动到合适的角度	点击按钮使用钩爪	
7	锤子钩爪	PolygonCollider2D		-6000	6000			等待钩爪晃动到合适的角度	点击按钮使用钩爪	
8	弹网钩爪	BoxCollider2D						等待钩爪晃动到合适的角度	点击按钮使用钩爪，再次点击收回	
9	复制钩爪	CircleCollider2D						等待钩爪晃动到合适的角度	点击按钮使用钩爪	
10	多重钩爪	CircleCollider2D		-833	800			等待钩爪晃动到合适的角度	点击按钮使用钩爪	
