Id	Content	Time
10101	['说起来，指挥官去哪儿了……']	[2000]
10201	['消暑的物资应该准备好了吧……']	[2000]
10202	['不知道能不能带回去……']	[2000]
10301	['这就是大海吗……']	[2000]
10302	['这就是大海吗……']	[2000]
10401	['真是适合睡觉的天气啊……']	[2000]
10402	['嗯……ZZZ……']	[2000]
10501	['风平浪静……']	[2000]
10601	['那边好像有好多好吃的……']	[2000]
10602	['好难选择啊……']	[2000]
10701	['这个天气……']	[2000]
10702	['这人去哪儿了……']	[2000]
10801	['除了这些，还有什么是夏夜的证据呢……']	[2000]
10802	['如此徜徉在沙与沫之间……']	[2000]
10901	['神威又跑到哪儿去了……']	[2000]
11001	['没什么异样……']	[2000]
11101	['……假期就先到这里吧……']	[2000]
30001	['本周的拟真围剿行动……是吗，是这个完成进度啊。']	[2000]
30002	['目前的排期要不要推后一些呢……']	[2000]
30003	['下班下班——']	[2000]
30101	['嗯，闻起来真不错。']	[2000]
30102	['这种味型，是怎么调制的呢？']	[2000]
30103	['指挥官，我先回休息室了。']	[2000]
30201	['受风面积扩大10%效率更高。']	[2000]
30202	['如果调整下骨架的角度……']	[2000]
30203	['我先回去了，你也记得按时回去。']	[2000]
30301	['运势？平时指挥官也会参考这个吗？']	[2000]
30302	['啊，不小心按到了！']	[2000]
30303	['今天晚上会格外冷，指挥官一定要早些回来。']	[2000]
30401	['这种色泽，应该是人工改良的品种——果然。']	[2000]
30402	['……这里变了不少。']	[2000]
30403	['新年快乐。要说的话说了，我走了。']	[2000]
30501	['真怀念……']	[2000]
30502	['看起来确实有卡列尼娜的设计手笔。']	[2000]
30503	['那么，今天就到这里了。']	[2000]
30601	['呜哇，墨水滴上去了！']	[2000]
30602	['嗯嗯，这一次发挥得不错！']	[2000]
30603	['诶，返程时间已经到了啊。']	[2000]
30701	['嗯……']	[2000]
30702	['分量小，易保存。不错的特产商品。']	[2000]
30703	['我会把你的祝福传达给贾米拉的。']	[2000]
40101	['指挥官在做什么……']	[2000]
40201	['诶，可以摸到云吗。']	[2000]
40301	['呼……检修完毕。']	[2000]
40302	['短时间应该不会出问题了。']	[2000]
40401	['这里看上去很适合休息。']	[2000]
40501	['静音式引擎吗……']	[2000]
40502	['零食被海鸥抢走了！']	[2000]
40601	['哇！我们在好大一块石头上！']	[2000]
40602	['全速——前进！']	[2000]
40701	['看不到我看不到我……']	[2000]
40801	['这里看起来也很合适……']	[2000]
40802	['原来夏天是这样子……']	[2000]
40901	['现在，要起飞了……']	[2000]
41001	['嗅——熟悉的气味……']	[2000]
41002	['21号，害怕高处……']	[2000]
41101	['……假期就先到这里吧……']	[2000]
50101	['年货……具体是指什么？']	[2000]
50102	['冲冲冲，今天的任务是全场半价大采购！']	[2000]
50103	['这里可真漂亮啊……']	[2000]
50104	['这里还真是清静。']	[2000]
50105	['不如在这里多停留一会。']	[2000]
50106	['在这里守株待兔……能蹲到什么人呢？']	[2000]
50107	['还是待在角落里吧……']	[2000]
50108	['又是新的一年。']	[2000]
50109	['风景不错，周围也很安全。']	[2000]
50110	['指挥官……去哪里了？']	[2000]
50111	['是个令人安心的地方。']	[2000]
50112	['哼哼哼~吃不完的零食~']	[2000]
50113	['万物同春，恭贺新禧。']	[2000]
50114	['很适合闲暇休憩的院子。']	[2000]
50115	['好热闹！']	[2000]
50116	['我的选择是……冬眠……']	[2000]
50117	['有香味……这里卖九龙小吃吗？']	[2000]
50118	['堆雪人~打雪仗~']	[2000]
50119	['很特殊的节日。']	[2000]
50120	['再等等吧，应该不至于迷路。']	[2000]
50121	['本大爷准备了最特别的烟花！']	[2000]
50122	['秋千，再荡高一点。']	[2000]
50123	['邦比娜塔……第一次见到这样的地方。']	[2000]
50124	['很安静的地方。']	[2000]
50125	['是适合吃冰淇淋的时节……']	[2000]
