Id	Name	Function	Describe	IsShowCourse	ImageAsset	TextGroupIds	SubIds
1010	新成员培养	UiCharacterSystemV2P6	成员培养图文教程	1	['Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P61.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P62.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P63.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P64.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P65.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P66.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P67.png', 'Assets/Product/Texture/Image/UiHelp/UiCharacterSystemV2P68.png']		
10001	意识营救战	Trial	这里是意识营救战的图文教程\n意识营救战会产出大量的高级意识，请指挥官积极参与。\n这里能稳定产出高级意识。	1	['Assets/Product/Texture/Image/UiHelp/UiHelpTrial1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpTrial2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpTrial3.jpg']		
10002	人物培养	Character	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpCharacter1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter8.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter9.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter10.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpCharacter11.png']		
10003	武器培养	EquipWeapon	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew5.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew8.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpArmsNew9.png']		
10004	意识培养	EquipAwareness	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew1.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew2.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew3.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew4.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew5.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew8.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew9.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew10.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpWaferNew11.png']		
10005	赛利卡补习班	Practice	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpPractice1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpPractice2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpPractice3.jpg']		
10006	幻痛囚笼	BossSingle	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle5.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle6.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle7.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle8.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpBossSingle11.jpg']		
10007	纷争战区	Arena	111	1	['Assets/Product/Texture/Image/UiHelp/UiArenaNewHelp1.png', 'Assets/Product/Texture/Image/UiHelp/UiArenaNewHelp2.png', 'Assets/Product/Texture/Image/UiHelp/UiArenaNewHelp3.png', 'Assets/Product/Texture/Image/UiHelp/UiArenaNewHelp4.png', 'Assets/Product/Texture/Image/UiHelp/UiArenaNewHelp5.png']		
10008	黄金之涡	Explore	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpExplore1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExplore2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExplore3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExplore4.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpExplore5.jpg']		
10009	宿舍	Dorm	111	1	['Assets/Product/Texture/Image/UiHelp/UiHelpDorm1.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm2.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm3.jpg', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm6.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm7.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm8.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm10.png', 'Assets/Product/Texture/Image/UiHelp/UiHelpDorm9.png']		
