Key	Values
TaskPreviewRewardId	['69080']
CurVersionChapterId	['60']
MainLineExhibitionSkipChapterId	['56']
HelpCourseVideoConfigId	['生命树脉络', '所有意识海皆孕育于这片名为「<color=#335eaa>生命树</color>」的数据潮汐，众人的意识宛若涓流光点，萦绕在树的脉络间浮沉。\\n待有朝一日树冠丰茂，这些光点便将沿枝而上，蜕变为完整的「<color=#335eaa>质点</color>」。\\n「<color=#335eaa>质点</color>」凝结了文明最丰沛的「<color=#335eaa>信息</color>」，将众生交融为树冠的果实，交由被选中的托举者——去直面宇宙的终极筛选。', '20009']
VideoIdPV	['20009']
VideoIdOpen	['20008']
GuideMovieId	['HD05301BA']
GuideGuideId	['51001']
OfflineTips	['源树辉迹即将映现']
CameraDragSpeed	['0.1', '0.06']
CameraSwitchTime	['2']
