Id	Name	TradeName	HeadIcon	CharacterId
1	比安卡	晖暮	Assets/Product/Texture/Image/Role/RoleHeadR5Bianka2Q.png	[1041002, 1041003, 1041004, 1041005]
2	露西亚	誓焰	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya2Q.png	[1021006, 1021001, 1021002, 1021004]
3	里	超刻	Assets/Product/Texture/Image/Role/RoleHeadR4Li2Q.png	[1011002, 1011003, 1011004]
4	丽芙	极昼	Assets/Product/Texture/Image/Role/RoleHeadR4Lifu3Q.png	[1031001, 1031002, 1031004, 1031003]
5	薇拉	灼惘	Assets/Product/Texture/Image/Role/RoleHeadR4Weila2Q.png	[1131002, 1131003, 1131004]
6	苏菲亚	银牙	Assets/Product/Texture/Image/Role/RoleHeadSufeiya3Q.png	[1111002]
7	常羽	游麟	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	[1161002]
8	库洛姆	荣光	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	[1121002, 1121003]
9	神威	暗能	Assets/Product/Texture/Image/Role/RoleHeadShenwei3SSQ.png	[1061002, 1061003]
10	万事	明晰梦	Assets/Product/Texture/Image/Role/RoleHeadR3Wanshi2Q.png	[1211002, 1211003]
11	卡穆	狂犬	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	[1511003]
12	卡列尼娜	辉晓	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	[1071002, 1071003, 1071004]
13	露娜	终焉	Assets/Product/Texture/Image/Role/RoleHeadR4Luna2Q.png	[1171003, 1171004]
14	露西亚	深红囚影	Assets/Product/Texture/Image/Role/RoleHeadR5Luxiya2Q.png	[1021003, 1021005]
15	罗兰	戏炎	Assets/Product/Texture/Image/Role/RoleHeadR2Luolan3Q.png	[1541003]
16	拉弥亚	深谣	Assets/Product/Texture/Image/Role/RoleHeadR3Lamiya2Q.png	[1271003]
17	渡边	尘铭	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian2Q.png	[1081002, 1081003, 1081004]
18	艾拉	万华	Assets/Product/Texture/Image/Role/RoleHeadR3Aila2Q.png	[1091002, 1091003]
19	赛琳娜	希声	Assets/Product/Texture/Image/Role/RoleHeadR5Sailinna2Q.png	[1531003, 1531004, 1531005]
20	七实	芒星之迹	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao2Q.png	[1051001, 1051003, 1051004, 1051005]
21	哈卡玛	隐星	Assets/Product/Texture/Image/Role/RoleHeadHakama3Qnew.png	[1561003]
22	含英	檀心	Assets/Product/Texture/Image/Role/RoleHeadR3Hanying2Q.png	[1241002, 1241003]
23	罗塞塔	凛冽	Assets/Product/Texture/Image/Role/RoleHeadLuosaita3Q.png	[1141003]
24	21号	森息	Assets/Product/Texture/Image/Role/RoleHeadR3Twentyone2Q.png	[1221002, 1221003]
25	诺克提	擎驱	Assets/Product/Texture/Image/Role/RoleHeadR1Nuoketi3Q.png	[1251002]
26	曲	启明	Assets/Product/Texture/Image/Role/RoleHeadR3Qu2Q.png	[1521003, 1521004]
27	蒲牢	华钟	Assets/Product/Texture/Image/Role/RoleHeadPulao3Qnew.png	[1551003]
28	邦比娜塔	琉璃	Assets/Product/Texture/Image/Role/RoleHeadR2Bangbinata2Q.png	[1231002]
29	诺安	逆旅	Assets/Product/Texture/Image/Role/RoleHeadNuoan3Qnew.png	[1571003]
30	亚里莎	回音	Assets/Product/Texture/Image/Role/RoleHeadR3Yalisha2Q.png	[1261003]
31	布偶熊	觅语	Assets/Product/Texture/Image/Role/RoleHeadR2Buouxiong2Q.png	[1291002]
32	布丽姬特	耀炎	Assets/Product/Texture/Image/Role/RoleHeadR2Bulijite2Q.png	[1301002]
33	八咫	徊闪	Assets/Product/Texture/Image/Role/RoleHeadR2Bazhi2Q.png	[1311002]
34	伊什梅尔	幻日	Assets/Product/Texture/Image/Role/RoleHeadR3Cibeizhe2Q.png	[1321003]
35	莉莉丝	谬影	Assets/Product/Texture/Image/Role/RoleHeadR3Lilith2Q.png	[1331003]
36	洁塔薇	破晓	Assets/Product/Texture/Image/Role/RoleHeadR2Jietawei2Q.png	[1341002]
37	鲨士碧儿	鲨士碧儿	Assets/Product/Texture/Image/Role/RoleHeadShashibier3Q.png	[837000]
