Id	Icon	CircularIcon	LineTips	LineRoundWin	LineRoundLose	LineRoundDraw	LineGameWin	LineGameLose	LineChangeSelfCard	LineChangeEnemyCard	Order	EmojiRoundWin	EmojiRoundLose	EmojiRoundDraw	EmojiGameWin	EmojiGameLose	EmojiChangeSelfCard	EmojiChangeEnemyCard	ChangeCardIcon
1021006	Assets/Product/Texture/Image/RoleStory/V2150lxyNormal14.png	Assets/Product/Texture/Image/Role/RoleHeadR6Luxiya2.png	指挥官，对方的下一张牌会是<color=#FFCB60>%s</color>。	['距离胜利更近了一步。', '指挥官，我们继续吧。']	['没事，我们还有很多次机会。']		['我们胜利了，指挥官。', '任务完成，接下来呢？']	['再尝试一次吧。']			1	['Assets/Product/Texture/Image/IconExpression/IconExpressA159.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA209.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA36.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA49.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA205.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA16.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA210.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA29.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA36.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA207.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA126.png']	Assets/Product/Texture/Image/IconTools/ItGift0302.png
1011004	Assets/Product/Texture/Image/RoleStory/V132lNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR4Li2.png	根据推断，对方下一步应该会出<color=#FFCB60>%s</color>。	['嗯，你做得很好。', '再接再厉。']	['是哪里出了问题吗，我再深入分析一下......']		['我一直都相信你能够做到。', '因为是你，胜利也在预测之中。']	['下一局，我们一起努力。']			2	['Assets/Product/Texture/Image/IconExpression/IconExpressA10.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA40.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA28.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA106.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA103.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA40.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA9.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA9.png']	Assets/Product/Texture/Image/IconTools/ItGift0301.png
1031001	Assets/Product/Texture/Image/RoleStory/V4000LifuNormal04.png	Assets/Product/Texture/Image/Role/RoleHeadR5Lifu2.png	让我来预测吗？嗯……那我猜对面手上的是<color=#FFCB60>%s</color>。	['太好了，赢下一局了呢。', '看来指挥官很擅长这个游戏。']	['这局的运气没站在我们这边。']		['能和指挥官一起取得胜利……我很开心。', '太好了，我们赢了！']	['真可惜……']			3	['Assets/Product/Texture/Image/IconExpression/IconExpressA38.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA6.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA26.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA30.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA38.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA26.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA37.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA27.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA27.png']	Assets/Product/Texture/Image/IconTools/ItGift0303.png
1041003	Assets/Product/Texture/Image/RoleStory/V3600BiankaNormal04.png	Assets/Product/Texture/Image/Role/RoleHeadR5Bianka2.png	对手会是<color=#FFCB60>%s</color>，指挥官阁下也是这样想的吧？	['保持这个势头吧，指挥官阁下。', '胜利近在咫尺了。']	['直到胜利的那一刻，我都会陪伴在您身边。']		['接下来的时光，我们一起去庆祝胜利吧。', '这是您应得的胜利。']	['没关系的，再尝试一次。']			4	['Assets/Product/Texture/Image/IconExpression/IconExpressA276.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA46.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA31.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA99.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA274.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA31.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA267.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA272.png']	Assets/Product/Texture/Image/IconTools/ItGift0304.png
1051005	Assets/Product/Texture/Image/RoleStory/V2170qsNormal02.png	Assets/Product/Texture/Image/Role/RoleHeadR6Yongyechao2.png	唔，嗯，七实觉得，下一张会是<color=#FFCB60>%s</color>！	['咻——是一小步的胜利！加油喔！', '嗯嗯！不要掉以轻心哦！']	['还有机会！我们再来一局吧！这次一定行！']		['来个庆祝胜利的大拥抱！', '好耶！是七实和指挥官胜利了！']	['呜啊！输掉了！没关系！我们再来！']			5	['Assets/Product/Texture/Image/IconExpression/IconExpressA220.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA76.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA42.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA216.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA224.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA75.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA32.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA216.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA42.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA218.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA218.png']	Assets/Product/Texture/Image/IconTools/ItGift0305.png
1061002	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3.png	透视眼技能启动！对面是<color=#FFCB60>%s</color>！	['不错~拿下一局。', '稳住，就这个状态！']	['就是逆风局才有意思！']		['完胜完胜~', '简直轻轻松松！']	['别泄气，我们还能翻盘。']			6	['Assets/Product/Texture/Image/IconExpression/IconExpressA1.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA33.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA39.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA39.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA17.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA39.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA33.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA33.png']	Assets/Product/Texture/Image/IconTools/ItGift0306.png
1071004	Assets/Product/Texture/Image/RoleStory/KalieninaNomal05.png	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3.png	对面的牌是<color=#FFCB60>%s</color>啦！大！笨！蛋！	['不愧是你嘛……啊！我刚才没什么都没说！', '要一直赢下去哦！']	['可恶……这一次要认真点哦！']		['要去那边尝尝新口味的冰激凌吗……就、就当是奖励你的！', '唔……我就勉为其难接受获胜后的邀请了！']	['那岂不是要再来一局……']			7	['Assets/Product/Texture/Image/IconExpression/IconExpressA87.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA86.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA34.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA88.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA41.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA102.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA89.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA87.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA132.png']	Assets/Product/Texture/Image/IconTools/ItGift0307.png
1081004	Assets/Product/Texture/Image/RoleStory/V280dbNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR4Dubian2.png	问我的意见吗？那从余牌的数量看来……对面的牌应该是<color=#FFCB60>%s</color>。	['你好像比我更精通这个游戏。', '值得举杯庆祝。']	['下一局一定会表现得更好。']		['我早猜到你一定会将胜利收入囊中。', '这是你努力的回报。']	['这对我们来说并不算挫折。']			8	['Assets/Product/Texture/Image/IconExpression/IconExpressA161.png']			['Assets/Product/Texture/Image/IconExpression/IconExpressA161.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA105.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA44.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA44.png']	Assets/Product/Texture/Image/IconTools/ItGift0308.png
1021005	Assets/Product/Texture/Image/RoleStory/V210aefNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR5Luxiya2.png	对方会出<color=#FFCB60>%s</color>，毫无挑战性的游戏，快点结束吧。	['好眼力，出色的判断。', '配合得不错。']	['事情有趣了些。']		['他们选错了对手。', '理所当然的胜利。']	['不要大意。']			9	['Assets/Product/Texture/Image/IconExpression/IconExpressA104.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA120.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA160.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA118.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA121.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA125.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA118.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA118.png']	Assets/Product/Texture/Image/IconTools/ItGift0302.png
1091003	Assets/Product/Texture/Image/RoleStory/V200alNormal01.png	Assets/Product/Texture/Image/Role/RoleHeadR3Aila2.png	场外支援来了！哼哼，我很确定就是<color=#FFCB60>%s</color>！	['我们拿下一局啦~', '好耶！我们的目标是终极大奖，对吧？']	['别灰心，下一局才是逆袭的开始！']		['优胜绩点……我已经帮你记下啦！', '哪怕是玩游戏也要全力以赴！']	['没关系啦，友谊第一~']			10	['Assets/Product/Texture/Image/IconExpression/IconExpressA45.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA113.png', 'Assets/Product/Texture/Image/IconExpression/IconExpressA112.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA114.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA45.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA115.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA113.png']	['Assets/Product/Texture/Image/IconExpression/IconExpressA113.png']	Assets/Product/Texture/Image/IconTools/ItGift0309.png
