Key	Note	Params
HelpKey	帮助Key	['Pcg1Help']
CardColorNames	卡面颜色球名称	['红球', '蓝球', '黄球']
CardColorIcons	卡面颜色球图标	['Assets/Product/Texture/Image/IconSkill/hongse.png', 'Assets/Product/Texture/Image/IconSkill/lanse.png', 'Assets/Product/Texture/Image/IconSkill/huangse.png']
CardSuitIcons	卡面套装图	['Assets/Product/Texture/Image/UiPcg/UiPcgCardIconSpade.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardIconClub.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardIconDiamond.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardIconHeart.png']
CardPointTexts	卡面点数显示文本	['A', '2', '3', '4', '5', '6', '7', '8', '9', '10', 'J', 'Q', 'K']
CommanderName	指挥官名称	['指挥官']
CommanderHeadIcon	指挥官头像	['Assets/Product/Texture/Image/UiPcg/UiPcgGameCommanderRole.png']
CommanderSkillIcon	指挥官技能图标	['Assets/Product/Texture/Image/UiPcg/UiPcgGameCommanderSkill.png']
CommanderSkillName	指挥官技能名称	['首席的实力！']
CommanderSkillDesc	指挥官技能名称描述	['消耗5充能，拖动任意一张手牌，移动其位置。消耗行动点以为指挥官技能充能。']
StageLockTips	关卡未解锁点击提示	['通关%s后解锁！']
CanNoPlayCardTips	非出牌阶段非法操作	['当前非出牌阶段！']
ActionPointNoEnoughTips	出牌阶段行动点不足提示	['当前行动点不足！']
NoSelectedEnoughCharacterTips	未选择足够角色提示	['请至少选择%s个角色！']
NoChangeCharacterTips	教学关不能切换角色提示	['教学关卡不能切换角色!']
CharacterSelectedTips	选人时提示	['该成员已上阵']
NoSelectCharacterTips	教学关无解锁角色提示	['当前位置暂无解锁角色']
CharacterNoUnlockTips	角色未解锁提示	['角色未解锁！']
CardSpacing	卡牌数量对应间隔	['0', '-81', '-81', '-81', '-81', '-81', '-119', '-146', '-165', '-180', '-192', '-200']
CardBriefDetailLength	卡牌简短详情显示的长度，超出长度显示…	['30']
GiveUpGameTips	放弃对局二次确认	['是否放弃当前对局?']
ChallengeFailTips	挑战关卡时，已有正在进行中的关卡	['已有正在进行中的关卡！']
SetTargetMonsterFailTips	设置目标怪物失败提示	['怪物已死亡！']
PopupDetailPrefabs	弹窗详情预制体，依次是指挥官、怪物、成员	['Assets/Product/Ui/ComponentPrefab/UiPcg/UiPcgPopupCommanderDetail.prefab', 'Assets/Product/Ui/ComponentPrefab/UiPcg/UiPcgPopupMonsterDetail.prefab', 'Assets/Product/Ui/ComponentPrefab/UiPcg/UiPcgPopupCharacterDetail.prefab']
MonsterBehaviorIcons	怪物行动预览图标	['Assets/Product/Texture/Image/UiPcg/UiPcgCardAttlkIcon01.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardAttlkIcon02.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardAttlkIcon03.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardAttlkIcon06.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardAttlkIcon05.png', 'Assets/Product/Texture/Image/UiPcg/UiPcgCardAttlkIcon04.png']
RoundTxt	回合日志显示第几回合	['第%s回合']
EffectSettleLog1	效果结算日志，造成伤害	['<color=#B7B7B764><color=#B7B7B764>·</color></color><color=#FFFFFF> <%s> </color>对<color=#FFFFFF> <%s> </color>造成了 <Icon=IconAttack|25|25|0.5/> <color=#E76D88>%s</color>']
EffectSettleLog2	效果结算日志，目标血量变化	['<color=#B7B7B764>·</color><color=#FFFFFF> <%s> </color>HP -> %s']
EffectSettleLog3	效果结算日志，目标护甲变化	['<color=#B7B7B764>·</color><color=#FFFFFF> <%s> </color> <Icon=IconArmor|25|25|0.5/> -><color=#FAD364FF> %s </color>']
EffectSettleLog4	效果结算日志，行动点变化	['<color=#B7B7B764>·</color> 行动点  -> %s']
EffectSettleLog5	效果结算日志，角色切换到中间	['<color=#B7B7B764>·</color><color=#FFFFFF> <%s> </color>切换出场']
EffectSettleLog6	效果结算日志，牌堆变化	['<color=#B7B7B764>·</color> 卡牌 %s 从%s进入%s']
EffectSettleLog7	效果结算日志，标记变化	['<color=#B7B7B764>·</color><color=#FFFFFF> <%s> </color>的标记<color=#FFFFFF>【%s】</color>  -> %s层']
EffectSettleLog8	效果结算日志，新一波怪物刷新	['<color=#B7B7B764>·</color> 新的怪物出现: %s']
EffectSettleLog9	效果结算日志，手牌排序	['<color=#B7B7B764>·</color> 对手牌进行了排序']
EffectSettleLog10	效果结算日志，调整卡牌在卡池中的顺序	['<color=#B7B7B764>·</color> 卡牌 %s 移动至手牌第 %s 位']
EffectSettleLog11	效果结算日志，弃置手牌	['<color=#B7B7B764>·</color> 卡牌 %s 被弃置，进入弃牌堆']
EffectSettleLog12	效果结算日志，移除卡牌	
EffectSettleLog13	效果结算日志，直接生成卡牌	['<color=#B7B7B764>·</color> 卡牌 %s 从衍生区进入%s']
EffectSettleLog14	效果结算日志，怪物波次死亡	
CardPos	卡牌位置	['抽牌堆', '弃牌堆', '手牌', '0', '衍生区生成，']
DrawPoolTips	抽牌堆提示	['此处排序不影响实际抽牌']
DropPoolTips	弃牌堆提示	['抽牌堆为空时进行抽牌，弃牌堆所有卡牌将重新洗入抽牌堆']
ProgressTxt	玩法入口进度	['进度：%s/%s']
ChapterProgressTxt	章节进度文本，第一个是UiPcgMain显示，第二个是UiPcgStage显示	['%s<color=#FFFFFF><size=34>/%s</size></color>', '%s/<color=#FFFFFF>%s</color>']
EnterActivityFail	进入活动失败，第一个是活动未开启，第二个是活动已结束	['当前不在活动时间内', '当前不在活动时间内']
StartPlayCardTips	开始出牌提示，参数1是提示文本，参数2是提示持续时间(毫秒)	['我方行动', '1000']
ReStartContent	重新开始文本	['是否重新开始对局？']
CharacterUnlockTips	角色图鉴未解锁提示	['通关%s后解锁']
EnergyNoEnoughTips	使用指挥官技能能量不足提示	['技能能量不足']
NoValidCardTips	行动记录下发卡牌Id为0的卡牌时提示	['牌库里没有符合要求的卡牌！']
IconSpade	花色黑桃，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardIconSpade.png']
IconClub	花色梅花，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardIconClub.png']
IconDiamond	花色方块，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardIconDiamond.png']
IconHeart	花色红桃，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardIconHeart.png']
IconDualBlades	红莲核心双刀术，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/R1luxiyahexin1.png']
IconMercy	零度核心饶恕，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/R2biankahexin1.png']
IconDance	清商核心曼舞，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/R2Hanyinhexin1.png']
IconSingularity	银冕核心奇点，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/R3Lunahexin1.png']
IconAnnihilation	银冕核心湮灭，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/R3Lunadazhao1.png']
IconReprise	幻奏核心重奏，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/R4Sailinnahexin1.png']
IconAttack	效果攻击，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardSmallIcon04.png']
IconArmor	效果护甲，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardSmallIcon05.png']
IconHeal	效果治疗，用于图文混排图标显示	['Assets/Product/Texture/Image/UiPcg/UiPcgCardSmallIcon06.png']
IconRedSkill	红球，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/hongse.png']
IconBlueSkill	蓝球，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/lanse.png']
IconYellowSkill	黄球，用于图文混排图标显示	['Assets/Product/Texture/Image/IconSkill/huangse.png']
IconPower	增幅型QTE力量，用于图文混排图标显示	['Assets/Product/Texture/Image/IconAffix/AffixIconQianggong.png']
