ModelName	StandAnimaName	RunAnimaNames	FlyAnimNames	AtkAnimaName	ElectricFenceAnimaName	AlarmAnimaName	DrownAnimaName	AdsorbAnimaName	TransferDisAnimaName	TransferAnimaName	BubblePushAnimaName	DropPickAnimaName	EffectRoot	SentrySignYOffset	XOffSet	YOffSet	ZOffSet	Name	Desc	Icon
Mo1KuroMd1001DW	Stand2	['Run']			ElectricFence	Alarm	Drown	Adsorb01	TransferDis	Transfer			Dummy001				-0.2	库洛洛	非常胆小的敌人，当构造体在身边出现，就会逃跑。构造体与之碰撞，可以将其消除。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon02.png
QR1AolajiangMd010011DW	Stand02			Attack01	ElectricFence	Alarm							Bip001				-0.1	鲨士碧儿	静止不动的敌人。停在击杀视野中会被它消除。试着从背后消除它。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon03.png
QR0TaieMd010011DW	Stand01	['Run']		Attack01	ElectricFence	Alarm							Bip001				-0.1	太阿	会沿着一定路径来回巡逻的敌人。找到其规律，可以反过来利用它。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon04.png
QR4LuxiyaMd010011DW	Stand02	['Run01']		Attack01	ElectricFence	Alarm							Bip001				-0.1			
QR1ChangyuMd010011DW	Stand02	['Run']		Attack01	ElectricFence	Alarm							Bip001	1000			-0.1			
QR2DubianMd010011DW	Stand02	['Run']		Attack01	ElectricFence	Alarm							Bip001				-0.1			
QR2TwentyoneMd010011DW	Stand02	['Run']		Attack01	ElectricFence	Alarm							Bip001				-0.1			
QR1SailikaMd010011DW	Stand02	['Run01']			ElectricFence01	Alarm01							Bip001				-0.1	赛利卡	被卷入谜题的无辜友军(?)。和库洛洛一样会被吓跑、会被消除。不能伤害她。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon12.png
QR1GuanjiaMd010011DW	Stand02	['Run01']		Attack01									Bip001	1000			-0.1	蔷薇之剑	当视野中出现异常时，蔷薇之剑将在下一回合移动到异常发生的位置并停留一定的回合数。	Assets/Product/Texture/Atlas/UiFubenRpgMakerGame/UiFubenRpgMakerGameModelIcon09.png
QR2LuolanMd010011DW	Stand02	['Run01']		Attack01	ElectricFence01								Bip001				-0.1			
QR2QuMd010011DW	Stand02	['Run01']		Attack01	ElectricFence01								Bip001							
QR2KamuMd010011DW	Stand02	['Run']		Attack01	ElectricFence01								Bip001				-0.1			
QR3SailinnaMd010011DW	Stand02	['Run01']		Attack01	ElectricFence01								Bip001							
QR3KuluomuMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR3LiangMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR4LifuMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR3WeilaMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR4SailinnaMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR1LifuMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR4LiangMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR2HanyingMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR3AilaMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR5LuxiyaMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
QR3WeiluonikaMd010011DW	Stand02	['Run']		Attack01	ElectricFence		Drown	Adsorb01	TransferDis	Transfer	Push01	Pick	Bip001				-0.1			
Puzzle_05Tenman	loop	['Run01', 'Run03', 'Run02', 'Run04']	['Run01', 'Run03', 'Run02', 'Run04']															藤球		
