Key	Icon	Name	Layer
BlockIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon10.png	阻挡物	
GapIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon09.png	墙	
NormalMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon01.png	库洛洛	
BossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	危险敌人	
StartPointIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon02.png	起点	
EndPointIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon03.png	终点	
TriggerIcon1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon06.png	石门开关	2
TriggerIcon2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon07.png	石门	2
TriggerIcon3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon08.png	尖刺	2
MoveLineIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon16.png	过关路径	
ElectricFencTrigger	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon14.png	电墙开关	2
ShadowIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon12.png	影子	
ElectricFenceIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon13.png	电墙	
HumanIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon15.png	赛利卡	
TrapIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon17.png	地洞陷阱	6
CrystalMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon20.png	冰霜库洛洛	
FlameMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon19.png	烈焰库洛洛	
RaidenMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon21.png	雷电库洛洛	
DarkMonsterIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon22.png	暗元素库洛洛	
CrystalBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	冰霜危险敌人	
FlameBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	烈焰危险敌人	
RaidenBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	雷电危险敌人	
DarkBossIcon	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon05.png	暗元素危险敌人	
EntityIcon1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon24.png	水面	4
EntityIcon2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon25.png	冰面	3
EntityIcon3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon23.png	草圃	1
EntityIcon4	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon26.png	钢板	5
TransferPointIcon1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon27.png	传送点1	
TransferPointIcon2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon27.png	传送点2	
TransferPointIcon3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon27.png	传送点3	
Bubble	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon29.png	泡泡	
Drop1	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon30.png	小兔子	
Drop2	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon30.png	小兔子	
Drop3	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon30.png	小兔子	
Drop4	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon30.png	小兔子	
Magic	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon28.png	换位法阵	
Sepaktakraw	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon31.png	藤球	
SwitchSkillPoint	Assets/Product/Texture/Image/UiFubenRpgMakerGame/UiFubenRpgMakerGameIcon26.png	换属性阵	
