Id	Type	Duration	NpcId	Text	Params
1	8	5		异色的地块相连时，分数增加2分	['101']
2	8	5		同色地块组合在一起时，每有一格增加2分	['102']
3	1	5		喂，路都被堵死了！	
4	2	5		不行，这里空间不够了	
5	3	5		可以，不错的创意	['10']
6	4	5		完美的规划，庆典一定很精彩。	['3000']
7	5	5		要试试放置表演舞台吗？	['舞台']
8	6	5		“不可思议”旁十字区域存在≥10分格子，且游览路线经过可加1000分！	['801', '901']
9	7	5	1001	御园料理摊……有点感兴趣	
10	7	5	1002	听说露西亚对娃娃机感兴趣	
11	7	5	1003	听说里对四驱车拼装感兴趣	
12	7	5	1004	听说赛琳娜对钢琴感兴趣	
13	7	5	1005	听说丽芙对花卉店感兴趣	
14	7	5	1006	听说七实对街机诺曼英雄感兴趣	
15	7	5	1007	听说比安卡对《七本枪》电影感兴趣	
16	7	5	1008	听说万事对气球射击感兴趣	
17	7	5	1009	听说库洛姆对西装感兴趣	
