Id	RuleType	Name	RuleDesc	Params	Bubble	NpcId	EffectiveTimes	IconRule	IconGrid
101	1	异色	颜色不同的地块相连时分数增加2分。	[2]					
201	2	同色	同色地块组合在一起的时候，每有一格增加2分。	[2]					
301	3	异色翻倍	跟此地块直接相连的不同色地块最终分数X2	[2]				IconRuleDouble	IconGridDouble
401	4	同色翻倍	跟此地块直接相连的同色地块最终分数X2	[2]				IconRuleDouble	IconGridDouble
601	5	特殊	八咫：日料小摊		101	1001		IconRuleLike	IconGridLike
602	5	特殊	露西亚：小玩具摊		102	1002		IconRuleLike	IconGridLike
603	5	特殊	里：四驱车拼装小店		103	1003		IconRuleLike	IconGridLike
604	5	特殊	赛琳娜：钢琴		104	1004		IconRuleLike	IconGridLike
605	5	特殊	丽芙：花卉店		105	1005		IconRuleLike	IconGridLike
606	5	特殊	七实：诺曼英雄游戏机		106	1006		IconRuleLike	IconGridLike
607	5	特殊	比安卡：和风电影海报		107	1007		IconRuleLike	IconGridLike
608	5	特殊	万事：气球打靶游戏摊		108	1008		IconRuleLike	IconGridLike
609	5	特殊	库洛姆：西装店		109	1009		IconRuleLike	IconGridLike
701	5	特殊	八咫：日料小摊		301	1001			
702	5	特殊	露西亚：小玩具摊		302	1002			
703	5	特殊	里：四驱车拼装小店		303	1003			
704	5	特殊	赛琳娜：钢琴		304	1004			
705	5	特殊	丽芙：花卉店		305	1005			
706	5	特殊	七实：诺曼英雄游戏机		306	1006			
707	5	特殊	比安卡：和风电影海报		307	1007			
708	5	特殊	万事：气球打靶游戏摊		308	1008			
709	5	特殊	库洛姆：西装店		309	1009			
801	7	不相连	周围没有和任何东西相连	[1000]				IconRuleTask	IconGridTask
901	8	不可思议	周围有超过10分的艺术品	[1000, 1, 10]				IconRuleTask	IconGridTask
1001	9	剧情	八咫超过一定分数后，播放剧情	[0]	201	1001			
1002	9	剧情	露西亚超过一定分数后，播放剧情	[0]	202	1002			
1003	9	剧情	里超过一定分数后，播放剧情	[0]	203	1003			
1004	9	剧情	赛琳娜超过一定分数后，播放剧情	[0]	204	1004			
1005	9	剧情	丽芙超过一定分数后，播放剧情	[0]	205	1005			
1006	9	剧情	七实超过一定分数后，播放剧情	[0]	206	1006			
1007	9	剧情	比安卡超过一定分数后，播放剧情	[0]	207	1007			
1008	9	剧情	万事超过一定分数后，播放剧情	[0]	208	1008			
1009	9	剧情	库洛姆超过一定分数后，播放剧情	[0]	209	1009			
