Id	Name	ModelName	CareerName	CareerIcon	CampName	Description	IntroAnim	IntroCv	IntroLength	ThankAnim	ThankCv	ThankLength	SquareHead	CircleHead	ActionBg	BigCharacterImage	ShareImg	WinAnimGroupId	LoseAnimGroupId
201	里	QR3LiangMd010011MZ	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	灰鸦小队	灰鸦小队队员，出身自黑野特别行动组，有着丰富的机械相关知识和枪械使用经验。习惯使用计算和数据结果说话，平日里给人冷淡和直言不讳的印象，但在冲突场合会主动庇护与自己亲近的人。与目前生活在空中花园的弟弟有一个约定。	['Show03', 'Show05']	100000316	[5.0, 5.0]	['Thanks03', 'Thanks05']	100000317	[6.0, 6.0]	Assets/Product/Texture/Image/Role/RoleHeadLiSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadLi3SSQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLiSS.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLi.png	[1011, 2011, 3011, 4011, 4011]	[1012, 2012, 3012, 4013, 4013]
202	万事	QR2WanshiMd010011MZ	辅助型	Assets/Product/Texture/Image/IconType/IconCharacter2.png	突击鹰小队	突击鹰小队队员，总是一副睡不醒的样子，但与其相处后都会知道他是一个在危急时刻无比可靠的存在。	['Show03', 'Show05']	100000348	[9.0, 9.0]	['Thanks03', 'Thanks05']	100000349	[11.0, 11.0]	Assets/Product/Texture/Image/Role/RoleHeadWanShiQ.png	Assets/Product/Texture/Image/Role/RoleHeadWanShi3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadWanShi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleWanshi.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleWanshi.png	[1021, 2021, 3021, 4021, 4021]	[1022, 2022, 3022, 4023, 4023]
203	罗兰	QR2LuolanMd010011MZ	先锋型	Assets/Product/Texture/Image/IconType/IconCharacter4.png	升格者	曾经被弥天大谎欺骗，因此执着于求索真相。为了自己理想的王，愿意奉献一切直到死亡的偏执骑士。	['Show04', 'Show05']	100000324	[6.0, 6.0]	['Thanks04', 'Thanks05']	100000325	[7.0, 7.0]	Assets/Product/Texture/Image/Role/RoleHeadR2LuolanQ.png	Assets/Product/Texture/Image/Role/RoleHeadLuolan3Qnew.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadLuolan.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuolan.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleLuolan.png	[1031, 2031, 3031, 4031, 4031]	[1032, 2032, 3032, 4033, 4033]
204	卡穆	QR2KamuMd010011MZ	先锋型	Assets/Product/Texture/Image/IconType/IconCharacter4.png	突击鹰小队	曾存在于神威的意识海之中，如今作为空中花园特别派遣的执行者，负责执行重灾区相关任务，喜欢吃各种美食。	['Show03', 'Show05']	100000312	[6.0, 6.0]	['Thanks03', 'Thanks05']	100000313	[9.0, 9.0]	Assets/Product/Texture/Image/Role/RoleHeadKamuQ.png	Assets/Product/Texture/Image/Role/RoleHeadKamu3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadKamu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKamu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKamu.png	[1041, 2041, 3041, 4041, 4041]	[1042, 2042, 3042, 4043, 4043]
205	渡边	QR2DubianMd010011MZ	进攻型	Assets/Product/Texture/Image/IconType/IconCharacter3.png	遗忘者	遗忘者们的领袖，曾经选择了离开空中花园，与那些被世界遗忘的战友们共同安守住一方绿洲，而遗忘者的信条，正是铭记。	['Show03', 'Show05']	100000306	[3.0, 3.0]	['Thanks03', 'Thanks05']	100000307	[6.0, 6.0]	Assets/Product/Texture/Image/Role/RoleHeadDubianSSQ.png	Assets/Product/Texture/Image/Role/RoleHeadDubian3SSQ.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadDubian.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleDubian.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleDubian.png	[1051, 2051, 3051, 4051, 4051]	[1052, 2052, 3052, 4053, 4053]
206	库洛姆	QR3KuluomuMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	突击鹰小队	突击鹰小队队长，拥有特化型逆元装置，能够通过专用的稳定信道远程交换重要信息，十分重视队员，认真负责，完美执行每一次任务指令是他的行为准则。曾在法奥斯学院学习过。	['Show03', 'Show05']	100000314	[4.0, 4.0]	['Thanks03', 'Thanks05']	100000315	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadR3KuluomuQ.png	Assets/Product/Texture/Image/Role/RoleHeadR3Kuluomu3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadKulomu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKuluomu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKuluomu.png	[1061, 2061, 3061, 4061, 4061]	[1062, 2062, 3062, 4063, 4063]
207	常羽	QR1ChangyuMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	阿迪莱商会	出身于九龙，原本在剧院工作，几经波折来到奥赛兰姆号上，成为了列车的护卫之一。剧院的工作让常羽坚持着四功五法的训练。	['Show04', 'Show05']	100000304	[6.0, 6.0]	['Thanks04', 'Thanks06']	100000305	[8.0, 8.0]	Assets/Product/Texture/Image/Role/RoleHeadChangYuQ.png	Assets/Product/Texture/Image/Role/RoleHeadChangYu3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadChangYu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleChangyu.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleChangyu.png	[1071, 2071, 3071, 4071, 4071]	[1072, 2072, 3072, 4073, 4073]
208	神威	QR2ShenweiMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	突击鹰小队	突击鹰小队队员，擅长单独行动。无论在日常还是战斗中都保持着乐观的心态，但脱线的性格也让他惹出过不少麻烦，但即便如此，也以自己的方式关心着身边的同伴。	['Show04', 'Show05']	100000342	[6.0, 6.0]	['Thanks04', 'Thanks06']	100000343	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadShenweiQ.png	Assets/Product/Texture/Image/Role/RoleHeadShenwei3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadShenwei.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleShenwei.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleShenwei.png	[1081, 2081, 3081, 4081, 4081]	[1082, 2082, 3082, 4083, 4083]
209	卡列尼娜	QR4KalieninaMd010011MZ	装甲型	Assets/Product/Texture/Image/IconType/IconCharacter1.png	工程部队	工程部队的成员，出身自寰宇技师工会，生性暴躁单纯，比起谋略更倾向用爆炸解决问题。很在意自己有没有赢过露西亚。	['Show02', 'Show07']	100000310	[4.0, 4.0]	['Thanks02', 'Thanks07']	100000311	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadR4KalieninaQ.png	Assets/Product/Texture/Image/Role/RoleHeadR4Kalienina3Q.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadKalienina.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKalienina.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRoleKalienina.png	[1091, 2091, 3091, 4091, 4091]	[1092, 2092, 3092, 4093, 4093]
2010	蒲牢	QR2PulaoMd010011MZ	先锋型	Assets/Product/Texture/Image/IconType/IconCharacter4.png	九龙商会	九龙夜航船仿照九龙商会设立的九龙众，其中代表蒲牢众概念的构造体。作为维里耶为华胥准备的躯体之一，由于意识转移实验，丢失了以往的记忆。	['Show02', 'Show06']	100000330	[7.0, 7.0]	['Thanks02', 'Thanks07']	100000331	[5.0, 5.0]	Assets/Product/Texture/Image/Role/RoleHeadPulaoQnew.png	Assets/Product/Texture/Image/Role/RoleHeadPulao3Qnew.png	Assets/Product/Texture/Atlas/UiMoeWar/UiMoeWarHeadPuLao.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRolePulao.png	Assets/Product/Texture/Image/UiMoeWar/UiMoeWarRolePulao.png	[1101, 2101, 3101, 4101, 4101]	[1102, 2102, 3102, 4103, 4103]
