Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		401			AniZhuanchangEnd				{1: '1', 2: '202'}
2	2		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory84.jpg'}
3	3		301							{3: '在缺少里的情况下，突然的袭击让小队显得措手不及。'}
4	4		201							{1: '1', 2: '500166', 3: '4'}
5	5		301							{1: '1', 2: '露西亚', 3: '这些机型…为什么都是百戏班的相关型号？', 4: '1'}
6	6		201							{1: '1', 2: '500145'}
7	7		301							{1: '1', 2: '蒲牢', 3: '……', 4: '1'}
8	8		202							{1: '1'}
9	9		201							{1: '1', 2: '500026'}
10	10		301							{1: '1', 2: '里', 3: '嗯?……为什么这里会有‘九龙夜航船’的标识…', 4: '1'}
11	11		301							{2: '里', 3: '也就是说这个设施跟‘九龙夜航船’有关系吗……', 4: '1'}
12	12		202							{1: '1'}
13	13		301							{3: '……感觉到身后传来异样的感觉，转头一看，蒲牢不知道什么时候不见了。'}
14	14		201							{1: '1', 2: '500145'}
15	15		203							{1: '1', 2: '0.25', 6: '100'}
16	16		301							{1: '1', 2: '蒲牢', 3: '……对不住了。', 4: '1'}
17	17		302							{2: '……?', 3: '18'}
18	18		301							{3: '……身上传来似曾相识的束缚感。'}
19	19		301							{3: '看来不用费心去做结构探测了，估计跟之前的‘枷’一样，是只要主人不授权，就无法解除的麻烦东西吧。'}
20	20		301							{2: '蒲牢', 3: '……你可别给我乱动喔。只要跟我的直线距离超过两米，神经毒素就会注射到你的血管里。', 4: '1'}
21	21		301							{2: '蒲牢', 3: '……按那商贩的说法，你会从里面烂到外面。', 4: '1'}
22	22		203							{1: '1', 2: '0.25', 3: '400'}
23	23		201							{1: '2', 2: '1091001', 4: '-400'}
24	24		301							{1: '1', 2: '比安卡', 3: '这就是你一开始让我们放下武器的真正用意吗！', 4: '2'}
25	25		301							{2: '蒲牢', 3: '抱歉…我并不想与各位为敌。', 4: '1'}
26	26		301							{2: '蒲牢', 3: '这里是首领指定的备份数据点，只要取得这里的数据，也许就能…', 4: '1'}
27	27		301							{2: '比安卡', 3: '这不是你劫持【kuroname】的理由！', 4: '2'}
28	28		301							{2: '蒲牢', 3: '等九龙夜航船的同伴们提走数据，我会把你们的指挥官交还给你们，其他的数据也任你们拿走。', 4: '1'}
29	29		301							{2: '蒲牢', 3: '我们不需要别的东西，但是我们依然需要首领。', 4: '1'}
30	30		302							{2: '蒲牢，没必要这么做。', 3: '31'}
31	31		301							{2: '蒲牢', 3: '【kuroname】…这一切过于碰巧，以致于让我无法相信你们……如果你们也是来夺取首领的数据的话，那我只能…跟你们为敌。', 4: '1'}
32	32		302							{2: '（启用超近距离红外通信）', 3: '33'}
33	33		301							{3: '这样就能用摩尔斯电码了，信道设置…空中花园保留信道。'}
34	34		302							{2: '哈桑议长不会食言。', 3: '35'}
35	35		301							{2: '蒲牢', 3: '……', 4: '1'}
36	36		202							{1: '2'}
37	37		201							{1: '2', 2: '500026', 4: '-400'}
38	38		301							{3: 'S.H.O.T(射击)。'}
39	39		301							{1: '1', 2: '里', 3: '？', 4: '2'}
40	40		301							{2: '里', 3: '……', 4: '2'}
41	41		301							{3: '里抬枪指向蒲牢的面门，这正是我想要的。'}
42	42		301			RImgBg1Shake				{3: '趁着蒲牢愣神的刹那，我拖着蒲牢滚向一侧，撞入了墙壁内的夹层房间的同时，侧身用反器材手枪顶住了蒲牢的后脑。'}
43	43		302							{2: '将军。', 3: '44'}
44	44		301				AniZhuanchangBegin			{2: '蒲牢', 3: '可恶，你们空中花园果然都是无胆匪类！', 4: '1'}
45	45		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory29.jpg'}
46	46		201							{1: '2', 2: '1091001', 4: '-400', 7: '1'}
47	47		301			AniZhuanchangEnd				{2: '蒲牢', 3: '可恶！放开我！', 4: '1'}
48	48		301							{1: '1', 2: '比安卡', 3: '除非你现在保证不再反抗。', 4: '2'}
49	49		301							{2: '比安卡', 3: '不过，不管你现在回答什么，我都不会相信的。', 4: '2'}
50	50		301							{2: '蒲牢', 3: '……哼！', 4: '1'}
51	51		202							{1: '1', 2: '2'}
52	52		201							{1: '1', 2: '500026'}
53	53		301							{1: '1', 2: '里', 3: '文件块的加密解开了，但是……', 4: '1'}
54	54		302							{2: '？', 3: '55'}
55	55		301							{2: '里', 3: '都是空的，试图还原日志之后，只勉强截取出来两条。', 4: '1'}
56	56		301							{3: '日志：■年■日……监控录音截取……啧啧，人工智能的备份资料？还不是母本？这些东西难道比升格网络的秘密更有意思？'}
57	57		301							{3: '日志：■年■日……监控录音截取……露娜小姐想要，我们执行。'}
