Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory68.jpg'}
2	2		401							{1: '1', 2: '10'}
3	3		201							{1: '1', 2: '1031001', 3: '14'}
4	4		301			DialogEnable				{1: '1', 2: '丽芙', 3: '守墓人先生真的丢下我们了吗…？', 4: '1'}
5	5		202							{1: '1'}
6	6		301							{2: '遗忘者', 3: '这就是他的惯用套路。'}
7	7		201							{1: '1', 2: '500026'}
8	8		301							{1: '1', 2: '里', 3: '虽然继续前进会让指挥官处于一定的风险状态下，但是只要及时到达基地，情况应该还在控制之中。', 4: '1'}
9	9		201							{1: '1', 2: '1101001'}
10	10		301							{1: '1', 2: '渡边', 3: '指挥官，你怎么看？', 4: '1'}
11	11		302							{2: '继续前进。', 3: '12', 4: '再等等吧。', 5: '107'}
12	12		301							{2: '渡边', 3: '全体休整，侦察兵去勘测情报。五分钟后继续前行。', 4: '1'}
13	13		201							{1: '1', 2: '500154'}
14	14		201							{1: '2', 2: '500154', 4: '-600'}
15	15		201							{1: '3', 2: '500154', 4: '600'}
16	16		301							{1: '1', 2: '遗忘者', 3: '是！', 4: '1', 5: '2', 6: '3'}
17	17		201							{1: '1', 2: '500005'}
18	18		301							{1: '1', 2: '山本', 3: '那我去了。', 4: '1'}
19	19		202							{1: '1', 2: '2', 3: '3'}
20	20		301							{3: '五分钟后，山本跑了回来，通知大家可以继续前进。'}
21	21		301							{3: '众人沉默着继续步行，一个小时后，大家终于抵达了野滨岬空军基地外围。'}
22	22		301							{3: '在众人正想暂停休整的时候，一声鲸啸划破了寂静。'}
23	23		302							{2: '鲸…？', 3: '24'}
24	24		201							{1: '1', 2: '1101001'}
25	25		301							{1: '1', 2: '渡边', 3: '嗯，我记得它也是你们的老朋友了。', 4: '1'}
26	26		301							{2: '渡边', 3: '从摩尔曼斯克之后，它就一直在这一带巡回。', 4: '1'}
27	27		302							{2: '你怎么知道。', 3: '28'}
28	28		204							{1: '1', 2: '1'}
29	29		301							{2: '渡边', 3: '指挥官，我知道很多事情。', 4: '1'}
30	30		301							{2: '渡边', 3: '能在这个世界活下来的人都有自己的生存之道。', 4: '1'}
31	31		301							{2: '渡边', 3: '那个守墓人说的没错。', 4: '1'}
32	32		301							{2: '渡边', 3: '【kuroname】，不要轻易相信任何一个活着站在你面前的人。', 4: '1'}
33	33		302							{2: '但你还是选择相信他。', 3: '34'}
34	34		301							{2: '渡边', 3: '并非是我相信他。', 4: '1'}
35	35		301							{2: '渡边', 3: '走吧。', 4: '1'}
36	36		301				AniZhuanchangBegin			{2: '渡边', 3: '暴风雪要来了。', 4: '1'}
37	37		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory105.png'}
38	38		201							{1: '1', 2: '500026'}
39	39		301			AniZhuanchangEnd				{1: '1', 2: '里', 3: '这附近的帕弥什病毒浓度越来越高了…', 4: '1'}
40	40		201							{1: '1', 2: '1101001'}
41	41		301							{1: '1', 2: '渡边', 3: '给。', 4: '1'}
42	42		302							{2: '这是…？', 3: '43'}
43	43		301							{2: '渡边', 3: '血清。比不上空中花园的制式产品，但也还算够用。', 4: '1'}
44	44		301							{2: '渡边', 3: '步行的消耗跟车辆不一样，我猜你们身上未必有充裕的存量。', 4: '1'}
45	45		302							{2: '有丽芙在。', 3: '46'}
46	46		301							{2: '渡边', 3: '你不能保证她无时无刻跟着你，也不能保证我能一直看着你。你先是她们的指挥官，然后才是一名军人。', 4: '1'}
47	47		302							{2: '（接过血清）', 3: '48'}
48	48		201							{1: '1', 2: '500166'}
49	49		301							{1: '1', 2: '露西亚', 3: '渡边，你们想对德……对机械角鲸做什么？', 4: '1'}
50	50		201							{1: '1', 2: '1101001'}
51	51		301							{1: '1', 2: '渡边', 3: '不做什么，或者说，避免它要对我们的海边据点做些什么。', 4: '1'}
52	52		201							{1: '1', 2: '500026'}
53	53		301							{1: '1', 2: '里', 3: '这就是原因吗…', 4: '1'}
54	54		201							{1: '1', 2: '1101001'}
55	55		301							{1: '1', 2: '渡边', 3: '分开行动，我带人去东边，十分钟后六点钟方向集合。', 4: '1'}
56	56		302							{2: '没问题。', 3: '57'}
57	57		202							{1: '1'}
58	58		301							{3: '就在前行的片刻间，这场突如其来的暴风雪已然越过海鬼町，如同自深海出逃的囚犯，嘶吼着，向这世间行走之人发泄着自己的不满。'}
59	1001		401							{1: '2', 2: '10001004'}
60	59		301							{3: '漫天雪絮中，突然一阵枪声响起，一辆车如同脱缰野马，伴随着发动机的震鸣声，从风雪的屏障中猛地撞了出来，吓了众人一跳，纷纷端起枪。'}
61	60		301			RImgBg1Shake				{3: '随着一阵急速漂移，那辆车几乎是贴着众人的鼻尖，猛地打了个转。数根铰链从车后飞脱而出，扫倒一大片追在车后的感染体。'}
62	61		201							{1: '1', 2: '1031001', 3: '7'}
63	62		301				AniZhuanchangBegin			{1: '1', 2: '丽芙', 3: '…………守墓人先生？！', 4: '1'}
64	63		201							{1: '1', 2: '500140'}
65	64		301			AniZhuanchangEnd				{1: '1', 2: '守墓人', 3: '【哔——】，你们果然是要来我的‘坟墓’吗！', 4: '1'}
66	65		202							{1: '1'}
67	66		301							{3: '男人吐掉叼在嘴里的卷烟，骂骂咧咧道。'}
68	67		201							{1: '1', 2: '500005'}
69	68		301							{1: '1', 2: '山本', 3: '这人…怎么回来了！？', 4: '1'}
70	69		201							{1: '1', 2: '1101001'}
