Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory103.png'}
2	2		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStorySnowNew.prefab', 2: '2'}
3	3		401							{1: '1', 2: '201'}
4	4		301			DialogEnable				{3: '雪山中的风雪逐渐遮蔽了日光，周围的光线变得暗淡，罗塞塔依然在这样恶劣的环境中前行着。'}
5	5		301							{3: '——看不到方向。'}
6	6		301							{3: '——该往何处前进。'}
7	7		301							{3: '黑暗，恐惧，寂寞。'}
8	8		301							{3: '——一如过去的无数岁月。'}
9	9		201							{1: '1', 2: '500214'}
10	10		301							{1: '1', 2: '罗塞塔', 3: '但我是守护同伴的骑士。', 4: '1'}
11	11		202							{1: '1', 6: '1'}
12	12		301							{3: '——守护即是使命。'}
13	13		301							{3: '——那么该如何守护？'}
14	14		301							{3: '——谁来告诉骑士该做些什么呢？'}
15	15		201							{1: '1', 2: '500214'}
16	16		301							{1: '1', 2: '罗塞塔', 3: '该怎么做呢？', 4: '1'}
17	17		301							{3: '——我想，只有不断磨砺自己的锋芒，让自己强大到可以守护一切吧。'}
18	18		301							{3: '嘶——'}
19	19		301							{3: '不是自己吹响的哨声，而是在那个雪林间听到的，熟悉的喘息声。'}
20	20		301							{2: '罗塞塔', 3: '原来你在这里。', 4: '1'}
21	21		301							{2: '罗塞塔', 3: '快跟我回去，这样的天气，留在雪山太危险了。', 4: '1'}
22	22		202							{1: '1', 6: '1'}
23	23		301							{3: '罗塞塔快步朝辅助机走去，牵着辅助机就准备往来时的方向返回。'}
24	24		301							{3: '但是……'}
25	25		201							{1: '1', 2: '500214'}
26	26		301							{2: '罗塞塔', 3: '咦？我从哪过来的呢……', 4: '1'}
27	27		301							{3: '暴雪早已将一切掩埋，所有可以作为路标的参考都已不见踪影，视线中只剩猛烈风雪所留下的无限延伸的黑暗。'}
28	28		301							{2: '罗塞塔', 3: '总之，我们先下山比较好。', 4: '1'}
29	29		202							{1: '1', 6: '1'}
30	30		301			RImgBg1Shake				{3: '然而没走几步的罗塞塔却重重跌到在地。'}
31	31		301							{3: '如此恶劣的天气即使是构造体也受到了极大的限制。'}
32	32		301							{3: '罗塞塔撑着自己的长枪艰难地想要再次站起，却被风雪又一次压倒。'}
33	33		301							{3: '然而就在罗塞塔将要摔倒在雪中时，一股坚实的力量突然从她的身下传来。'}
34	34		201							{1: '1', 2: '500214'}
35	35		301							{1: '1', 2: '罗塞塔', 3: '你这是……', 4: '1'}
36	36		201							{1: '1', 2: '500332'}
37	37		301							{1: '1', 3: '没有收到任何命令的辅助机在罗塞塔摔倒前抢先一步来到她的身下，将她驮到自己的背上。'}
38	38		301							{3: '然而这一突然的行动却造成罗塞塔手中的长枪与辅助机的机体产生了碰撞。'}
39	39		301							{3: '使得辅助机的机体上留下了不少划痕，但辅助机却不以为意，驮好了罗塞塔后便迈出了脚步。'}
40	40		301							{3: '罗塞塔则明显地感受到，因为驮着疲惫的自己的缘故，辅助机走得并不快。'}
41	41		201							{1: '1', 2: '500214'}
42	42		301							{1: '1', 2: '罗塞塔', 3: '够了，这样下去我们两个都会被困在这里。', 4: '1'}
43	43		301							{2: '罗塞塔', 3: '现在不是任性的时候，这样下去，你会……', 4: '1'}
44	44		301							{3: '——报废。'}
45	45		301							{3: '然而这一词罗塞塔最终还是没能说出口。'}
46	46		201							{1: '1', 2: '500332'}
47	47		301							{1: '1', 3: '辅助机不顾罗塞塔的命令，坚定地驮着她在风雪中前行。'}
48	48		201							{1: '1', 2: '500214'}
49	49		301							{1: '1', 2: '罗塞塔', 3: '为什么呢……', 4: '1'}
50	50		301							{2: '罗塞塔', 3: '为什么明知道危险，却仍要站到我的身旁。', 4: '1'}
51	51		201							{1: '1', 2: '500332'}
52	52		401							{1: '1', 2: '36'}
53	53		301				AniZhuanchangBegin			{1: '1', 3: '黑暗逐渐向罗塞塔侵袭而来，在罗塞塔闭上眼的最后一刻，她看到的是辅助机那在风雪中坚守在自己身旁的身影。'}
54	54		202							{1: '1', 6: '1'}
55	55		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStorySnowNew.prefab'}
56	56		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
57	57		401							{1: '1', 2: '206'}
58	58		301			AniZhuanchangEnd				{3: '身旁的些许微光勉强照亮了黑暗中的道路，但最终一切光芒都暗淡下去，罗塞塔只得一人在黑暗中摸索前行。'}
59	59		301							{3: '罗塞塔一直都知道，自己的运气不算太好。'}
60	60		301							{3: '同伴会因为自己而受波及，一同前进的同伴最终会因站在自己身旁而受伤。'}
61	61		301							{3: '所以那个时候自己才会选择独自面对阿尔法，独自解决感染体的危机。'}
62	62		301							{3: '也许，只要没有同伴站在自己身旁，站在和自己一样危险的地方，那么就再也不会有同伴因自己受伤消失的那一天了吧。'}
63	63		301							{3: '所以自己需要走在前方，为保护同伴而拼尽全力。'}
64	64		301							{3: '不管这种保护是否过度，在罗塞塔的认知中，自己能做的事只有这样。'}
65	65		301				AniZhuanchangBegin			{3: '但是……'}
66	66		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory54.jpg'}
