Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		401							{1: '1', 2: '207'}
2	2		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory28.jpg'}
3	3		201							{1: '1', 2: '500013'}
4	4		301			DialogEnable				{1: '1', 2: '特殊感染体', 3: '故……故乡……回……', 4: '1'}
5	5		201							{1: '1', 2: '500166', 7: '1'}
6	6		301							{1: '1', 2: '露西亚', 3: '虽然行为很特殊，但战斗能力似乎和其他感染体并没有什么区别。', 4: '1'}
7	7		202							{1: '1', 6: '1'}
8	8		301							{3: '常羽走到特殊感染体的身边，拿起了感染体做的粽子，不为人察觉地低声说道。'}
9	9		201							{1: '1', 2: '500124', 3: '5', 7: '1'}
10	10		301							{1: '1', 2: '常羽', 3: '果然是阿福叔……没有别的人会在粽子上绑蝴蝶结的吧。', 4: '1'}
11	11		301							{2: '常羽', 3: '告诉你一件好事吧，夜航船已经回到你们日思夜想的九龙城了，不管好坏，那些夜航船上日夜漂泊的人们都已经回到了他们的故乡。', 4: '1'}
12	12		202							{1: '1', 6: '1'}
13	13		301							{3: '原本感染体暗淡的双眼竟然恢复了些许光彩。'}
14	14		201							{1: '1', 2: '500013', 7: '1'}
15	15		301							{1: '1', 2: '特殊感染体', 3: '九……龙……', 4: '1'}
16	16		201							{1: '1', 2: '500124', 3: '5', 7: '1'}
17	17		301							{1: '1', 2: '常羽', 3: '如果船上面有你的朋友、亲人，他们现在大概都在九龙城里安稳地过今年的端午节了。', 4: '1'}
18	18		301							{2: '常羽', 3: '还有一件事，虽然你可能已经听不见了，但我还是想告诉你一声——', 4: '1'}
19	19		204							{1: '1', 2: '1'}
20	20		301				AniZhuanchangBegin			{2: '常羽', 3: '阿福叔……你的粽子是天下第一好吃的。', 4: '1'}
21	21		202							{1: '1', 6: '1'}
22	22		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory31.jpg'}
23	23		401							{1: '1', 2: '208'}
24	24		301			AniZhuanchangEnd				{3: '——经过一番搜寻，渡边他们终于在瓦砾下找到了失踪的遗忘者士兵。'}
25	25		201							{1: '1', 2: '1101001', 3: '5', 7: '1'}
26	26		301							{1: '1', 2: '渡边', 3: '喂！你还活着吗？', 4: '1'}
27	27		203							{1: '1', 2: '0.25', 3: '-400'}
28	28		201							{1: '2', 2: '500172', 4: '400', 7: '1'}
29	29		301							{1: '1', 2: '遗忘者士兵', 3: '渡、渡边先生？还有灰鸦小队的各位，你们咋会在这里！？', 4: '2'}
30	30		301							{2: '渡边', 3: '我倒是要问你怎么会留在这里，为什么不和大家一起撤退！', 4: '1'}
31	31		301							{2: '遗忘者士兵', 3: '今天过节不是嘛，我想着无论如何都不能没有粽子的啦，于是就……', 4: '2'}
32	32		301							{2: '渡边', 3: '白痴！你死了的话大家就更加过不成节了。', 4: '1'}
33	33		301							{2: '渡边', 3: '现在立即给我放开那个货箱，我们要马上撤离。', 4: '1'}
34	34		301							{2: '遗忘者士兵', 3: '不行呐！弟兄们都盼着我能把食材带回去的！', 4: '2'}
35	35		202							{1: '1', 2: '2', 6: '1'}
36	36		201							{1: '1', 2: '500124', 3: '5', 7: '1'}
37	37		301							{1: '1', 2: '常羽', 3: '就让我们把货箱和他一起带出去吧！', 4: '1'}
38	38		301							{2: '常羽', 3: '这次我绝对不会再丢失任何一件货物的，不管是食材还是人。', 4: '1'}
39	39		202							{1: '1', 6: '1'}
40	40		301							{3: '看着常羽认真的表情，渡边不易察觉地笑了笑。'}
41	41		201							{1: '1', 2: '1101001', 3: '1', 4: '400', 7: '1'}
42	42		201							{1: '2', 2: '500124', 3: '1', 4: '-400', 7: '1'}
43	43		301							{1: '1', 2: '渡边', 3: '是吗，那就再次拜托你了，阿迪莱的常羽。', 4: '1'}
44	44		301							{1: '1', 2: '常羽', 3: '是！尽管交给我吧。', 4: '2'}
45	45		202							{1: '2', 6: '1'}
46	46		203							{1: '1', 2: '0.25'}
47	47		301							{2: '渡边', 3: '对了，灰鸦的指挥官，你还记得之前我说过甚至有人把自己的代号改成‘粽子’的吗？', 4: '1'}
48	53		302							{2: '当然记得', 3: '48', 4: '原来不是开玩笑的？', 5: '48'}
49	48		301							{3: '渡边指了指那个抱住食材货箱的遗忘者士兵叹了口气。'}
50	49		301							{2: '渡边', 3: '——就是那家伙。', 4: '1'}
51	50		201							{1: '1', 2: '500172', 7: '1'}
52	51		301		1		AniZhuanchangBegin			{1: '1', 2: '‘粽子’', 3: '你们在叫我吗？', 4: '1'}
