Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		401							{1: '1', 2: '208'}
2	2		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory71.jpg'}
3	3		201							{1: '1', 2: '500005', 7: '1'}
4	4		301			DialogEnable				{1: '1', 2: '遗忘者士兵', 3: '喂！渡边先生他们回来了！', 4: '1'}
5	5		203							{1: '1', 2: '0.25', 3: '400'}
6	6		201							{1: '2', 2: '500172', 4: '-400', 7: '1'}
7	7		301							{2: '‘粽子’', 3: '还有我也回来咯，食材我也带回来啦！！', 4: '2'}
8	8		202							{1: '1', 2: '2', 6: '1'}
9	9		301							{3: '遗忘者一阵欢呼，帮‘粽子’将食材卸下来准备开始包粽子。'}
10	10		201							{1: '1', 2: '500166', 3: '6', 7: '1'}
11	11		301							{1: '1', 2: '露西亚', 3: '看上去挺有意思的，指挥官，我和丽芙也能够去尝试一下吗？', 4: '1'}
12	12		302							{2: '当然可以', 3: '13', 4: '去吧', 5: '13'}
13	13		201							{1: '1', 2: '1031001', 3: '1', 7: '1'}
14	14		301							{1: '1', 2: '丽芙', 3: '里你也要一起去吗？', 4: '1'}
15	15		201							{1: '1', 2: '500026', 7: '1'}
16	16		301							{1: '1', 2: '里', 3: '不用，你们去就好……', 4: '1'}
17	17		202							{1: '1', 6: '1'}
18	18		301							{3: '走到半路，露西亚又折回来，看上去似乎有点犹豫。'}
19	19		201							{1: '1', 2: '500166', 3: '6', 7: '1'}
20	20		301							{1: '1', 2: '露西亚', 3: '指挥官，如果我做好了粽子的话，你会愿意试吃吗？', 4: '1'}
21	100		302							{2: '我要考虑一下', 3: '105', 4: '我很期待', 5: '106'}
22	105		204							{1: '1', 2: '5'}
23	21		301							{2: '露西亚', 3: '这样吗……确实，我对自己也没有多少信心……', 4: '1'}
24	101		302							{2: '我开玩笑的啦', 3: '23'}
25	106		204							{1: '1', 2: '1'}
26	22		301							{2: '露西亚', 3: '真的吗，嗯，我会努力尝试一下的。', 4: '1'}
27	23		201							{1: '1', 2: '500124', 3: '1', 7: '1'}
28	24		301							{1: '1', 2: '常羽', 3: '在夜航船上，偶尔也会有大家一起包粽子的时候。', 4: '1'}
29	25		301							{2: '常羽', 3: '虽然在船上基本上都不是什么好的记忆，但也有像这样让人怀念的情景。', 4: '1'}
30	26		201							{1: '1', 2: '1101001', 3: '1', 7: '1'}
31	27		301							{1: '1', 2: '渡边', 3: '是啊，就算多么残酷的现实，总会有那么几件让人挂念的事情。', 4: '1'}
32	28		202							{1: '1', 6: '1'}
33	29		301							{3: '常羽拿起一个煮好的粽子咬了一口，却忽然变了脸色。'}
34	30		401							{1: '1', 2: '205'}
35	31		201							{1: '1', 2: '500124', 3: '5', 7: '1'}
36	32		301							{1: '1', 2: '常羽', 3: '喂，等等，遗忘者，你能解释下这粽子为什么是甜的！', 4: '1'}
