Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory259.png'}
2	2		401							{1: '1', 2: '209'}
3	3		201							{1: '1', 2: '500146'}
4	4		301			DialogEnable				{1: '1', 2: '莫瑞', 3: '果然不会那么轻松呢。', 4: '1'}
5	5		301							{2: '莫瑞', 3: '既然如此……', 4: '1'}
6	6		301							{2: '莫瑞', 3: '得加快完成议长的任务了。', 4: '1'}
7	7		301				AniZhuanchangBegin			{3: '通过一条应急管线，莫瑞打开头顶的舱口，进入名为战术舰桥的核心部。', 4: '1'}
8	8		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory284.jpg'}
9	9		301			AniZhuanchangEnd				{2: '莫瑞', 3: '舰桥操作台，C.I.C（指挥中枢），后面是数据库吗……', 4: '1'}
10	10		201							{1: '1', 2: '500160'}
11	11		301							{1: '1', 2: '华胥', 3: '…………', 4: '1'}
12	12		301							{3: '庞大而混沌的数据体在此无声地守候，触角不断伸向附近的终端屏幕。'}
13	13		201							{1: '1', 2: '500146'}
14	14		301							{1: '1', 2: '莫瑞', 3: '（在环城战役中，最后的情报显示升格者一方取走了华胥的密钥，也就是说背后的……是升格者？）', 4: '1'}
15	15		301							{2: '莫瑞', 3: '（但我可没能力在这里跟华胥直接对抗，三头犬……也没有带进来。）', 4: '1'}
16	16		301							{2: '莫瑞', 3: '既然如此，就只能躲开那东西的数据侦测，直接朝着数据库去了。', 4: '1'}
17	17		301		1		AniZhuanchangBegin			{2: '莫瑞', 3: '（如果是哥哥在这里……这种程度的数据侦测一定能够轻松躲过吧。）', 4: '1'}
